VALEUR,#hydaspe,#phalante,#claridan,#berenice,#aronte,#le-page,#iolas,#cleonte,#iolante,#liliane,#le-chirurgien,#le-medecin,#carinte,#le-capitaine-des-gardes,#iarbe,#menandre,#almedor
Fréquences (scènes),0.1111111111111111,0.4074074074074074,0.037037037037037035,0.2962962962962963,0.14814814814814814,0.07407407407407407,0.2962962962962963,0.037037037037037035,0.3333333333333333,0.4444444444444444,0.037037037037037035,0.037037037037037035,0.25925925925925924,0.037037037037037035,0.18518518518518517,0.1111111111111111,0.037037037037037035
Fréquences(répliques),0.015735214324470972,0.29679869777536627,0.0005425935973955507,0.09495387954422138,0.020618556701030927,0.004340748779164406,0.15301139446554532,0.005425935973955507,0.09875203472599023,0.11068909386869234,0.0005425935973955507,0.0032555615843733042,0.050461204557786216,0.002170374389582203,0.08681497558328811,0.048833423765599564,0.00705371676614216
Confrontation,0.026595744680851064,0.13297872340425532,0.010638297872340425,0.1276595744680851,0.05851063829787234,0.03723404255319149,0.13297872340425532,0.005319148936170213,0.0851063829787234,0.14361702127659576,0.015957446808510637,0.015957446808510637,0.09042553191489362,0.02127659574468085,0.05851063829787234,0.026595744680851064,0.010638297872340425
Déviations,#hydaspe,#phalante,#claridan,#berenice,#aronte,#le-page,#iolas,#cleonte,#iolante,#liliane,#le-chirurgien,#le-medecin,#carinte,#le-capitaine-des-gardes,#iarbe,#menandre,#almedor
#hydaspe,21.333333333333332,2.5858585858585865,7.111111111111111,0.8888888888888888,0.4444444444444444,0.2222222222222222,0.8888888888888888,0.1111111111111111,1.0,1.3333333333333333,0.1111111111111111,0.1111111111111111,0.7777777777777776,0.1111111111111111,0.5555555555555556,1.3333333333333337,0.1111111111111111
#phalante,2.5858585858585865,9.481481481481485,0.8619528619528619,0.16835016835016844,1.6296296296296295,0.8148148148148148,0.929713804713805,0.4074074074074074,0.7575757575757575,0.16161616161616144,0.4074074074074074,0.4074074074074074,0.25444925444925437,0.8619528619528619,0.0006734006734006634,0.04040404040404036,0.4074074074074074
#claridan,7.111111111111111,0.8619528619528619,25.03703703703704,0.2962962962962963,0.14814814814814814,0.07407407407407407,0.2962962962962963,0.037037037037037035,0.3333333333333333,0.4444444444444444,0.037037037037037035,0.037037037037037035,0.25925925925925924,0.037037037037037035,0.18518518518518517,0.1111111111111111,0.037037037037037035
#berenice,0.8888888888888888,0.16835016835016844,0.2962962962962963,13.370370370370372,0.5601851851851853,3.342592592592593,5.557870370370371,0.2962962962962963,0.1666666666666666,0.0868055555555555,1.6712962962962965,1.6712962962962965,0.0026455026455026375,0.2962962962962963,0.15648148148148142,0.8888888888888888,0.2962962962962963
#aronte,0.4444444444444444,1.6296296296296295,0.14814814814814814,0.5601851851851853,19.59259259259259,9.796296296296296,0.028935185185185164,0.14814814814814814,0.0833333333333333,0.8402777777777779,0.14814814814814814,0.14814814814814814,0.8941798941798943,0.14814814814814814,0.7407407407407407,0.4444444444444444,0.14814814814814814
#le-page,0.2222222222222222,0.8148148148148148,0.07407407407407407,3.342592592592593,9.796296296296296,23.148148148148152,0.28009259259259267,0.07407407407407407,0.6666666666666666,0.013888888888888902,0.07407407407407407,0.07407407407407407,0.44708994708994715,0.07407407407407407,0.37037037037037035,0.2222222222222222,0.07407407407407407
