VALEUR,#alzonde,#amelie,#volfax,#vorcestre,#edouard,#ismene,#eugenie,#arondel,#glaston
Fréquences (scènes),0.2222222222222222,0.06666666666666667,0.2222222222222222,0.26666666666666666,0.37777777777777777,0.06666666666666667,0.3111111111111111,0.17777777777777778,0.06666666666666667
Fréquences(répliques),0.1577981651376147,0.014678899082568808,0.0819571865443425,0.22629969418960244,0.20305810397553517,0.010397553516819572,0.1730886850152905,0.12477064220183487,0.007951070336391437
Confrontation,0.1282051282051282,0.038461538461538464,0.10256410256410256,0.16666666666666666,0.20512820512820512,0.038461538461538464,0.15384615384615385,0.11538461538461539,0.05128205128205128
Déviations,#alzonde,#amelie,#volfax,#vorcestre,#edouard,#ismene,#eugenie,#arondel,#glaston
#alzonde,27.222222222222218,8.16666666666667,0.02222222222222224,1.0416666666666665,0.8366013071895425,0.6666666666666666,1.4325396825396826,0.3402777777777779,0.6666666666666666
#amelie,8.16666666666667,39.199999999999996,0.6666666666666666,0.8000000000000002,1.1333333333333333,0.20000000000000004,0.9333333333333333,0.5333333333333333,0.20000000000000004
#volfax,0.02222222222222224,0.6666666666666666,27.222222222222218,0.1666666666666666,0.8366013071895425,0.6666666666666666,1.4325396825396826,0.3402777777777779,0.6666666666666666
#vorcestre,1.0416666666666665,0.8000000000000002,0.1666666666666666,24.200000000000003,0.04803921568627453,0.8000000000000002,0.8047619047619048,0.00833333333333333,0.049999999999999975
#edouard,0.8366013071895425,1.1333333333333333,0.8366013071895425,0.04803921568627453,17.42222222222222,1.1333333333333333,0.9905695611577963,0.34575163398692804,0.6627450980392158
#ismene,0.6666666666666666,0.20000000000000004,0.6666666666666666,0.8000000000000002,1.1333333333333333,39.199999999999996,4.576190476190475,0.5333333333333333,0.20000000000000004
#eugenie,1.4325396825396823,0.9333333333333333,1.4325396825396823,0.8047619047619048,0.9905695611577963,4.576190476190475,21.35555555555555,0.09603174603174605,0.9333333333333333
#arondel,0.3402777777777777,0.5333333333333333,0.3402777777777777,0.00833333333333333,0.34575163398692804,0.5333333333333333,0.09603174603174605,30.422222222222217,0.4083333333333334
#glaston,0.6666666666666666,0.20000000000000004,0.6666666666666666,0.049999999999999975,0.6627450980392158,0.20000000000000004,0.9333333333333333,0.4083333333333334,39.199999999999996
Successions,#alzonde,#amelie,#volfax,#vorcestre,#edouard,#ismene,#eugenie,#arondel,#glaston
#alzonde,0.16666666666666666,0.2777777777777778,0.16666666666666666,0.05555555555555555,0.16666666666666666,0.0,0.1111111111111111,0.05555555555555555,0.0
#amelie,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#volfax,0.15,0.0,0.05,0.1,0.5,0.0,0.2,0.0,0.0
#vorcestre,0.07407407407407407,0.0,0.07407407407407407,0.037037037037037035,0.37037037037037035,0.0,0.2222222222222222,0.2222222222222222,0.0
#edouard,0.09090909090909091,0.0,0.20454545454545456,0.25,0.11363636363636363,0.0,0.20454545454545456,0.09090909090909091,0.045454545454545456
#ismene,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.0,0.0
#eugenie,0.05714285714285714,0.0,0.11428571428571428,0.17142857142857143,0.2571428571428571,0.14285714285714285,0.11428571428571428,0.14285714285714285,0.0
#arondel,0.0,0.0,0.05555555555555555,0.2777777777777778,0.2222222222222222,0.0,0.3333333333333333,0.05555555555555555,0.05555555555555555
#glaston,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
