VALEUR,#cloridan,#perside,#lisidor,#cleonice,#eristhene,#le-page,#la-nourrice,#erimand,#aliaste,#celinde,#oronte,#clarinde,#premier-voleur,#deuxieme-voleur,#premier-mort,#deuxieme-mort
Fréquences (scènes),0.38095238095238093,0.2857142857142857,0.19047619047619047,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.09523809523809523,0.14285714285714285,0.23809523809523808,0.047619047619047616,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
Fréquences(répliques),0.34497206703910616,0.11405959031657356,0.09450651769087523,0.18761638733705774,0.013966480446927373,0.0670391061452514,0.0037243947858473,0.01722532588454376,0.06843575418994413,0.00558659217877095,0.04795158286778398,0.012104283054003724,0.012104283054003724,0.002793296089385475,0.006052141527001862,0.00186219739292365
Confrontation,0.13291139240506328,0.0949367088607595,0.04430379746835443,0.15822784810126583,0.0379746835443038,0.10759493670886076,0.0379746835443038,0.06962025316455696,0.0949367088607595,0.012658227848101266,0.06962025316455696,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.05063291139240506,0.05063291139240506
Déviations,#cloridan,#perside,#lisidor,#cleonice,#eristhene,#le-page,#la-nourrice,#erimand,#aliaste,#celinde,#oronte,#clarinde,#premier-voleur,#deuxieme-voleur,#premier-mort,#deuxieme-mort
#cloridan,8.04761904761905,0.035714285714285685,0.18005952380952375,1.2901785714285716,0.017857142857142842,0.035714285714285685,2.0119047619047623,0.642857142857143,0.4297619047619047,0.38095238095238093,0.017857142857142842,0.38095238095238093,0.38095238095238093,0.38095238095238093,1.0059523809523812,1.0059523809523812
#perside,0.035714285714285685,10.714285714285714,1.1428571428571428,1.7202380952380951,0.8571428571428571,0.9642857142857145,0.5714285714285714,0.023809523809523826,1.7285714285714293,1.7857142857142858,1.5238095238095237,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.7857142857142858,1.7857142857142858
#lisidor,0.18005952380952375,1.1428571428571428,13.761904761904763,0.22321428571428584,10.321428571428573,1.1428571428571428,0.38095238095238093,0.5714285714285714,0.9523809523809523,0.19047619047619047,0.5714285714285714,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047
#cleonice,1.2901785714285716,1.7202380952380951,0.22321428571428584,3.857142857142858,0.04761904761904765,0.05357142857142853,0.642857142857143,0.04761904761904765,0.25714285714285695,0.5714285714285714,0.29761904761904756,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.3214285714285715,0.3214285714285715
#eristhene,0.017857142857142842,0.8571428571428571,10.321428571428573,0.04761904761904765,15.428571428571432,0.8571428571428571,0.2857142857142857,0.42857142857142855,0.7142857142857142,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
#le-page,0.035714285714285685,0.9642857142857145,1.1428571428571428,0.05357142857142853,0.8571428571428571,10.714285714285714,0.3214285714285715,0.023809523809523826,0.22857142857142873,0.2857142857142857,0.023809523809523826,0.2857142857142857,1.7857142857142858,1.7857142857142858,1.7857142857142858,1.7857142857142858
