VALEUR,#glaucias,#androclide,#helenus,#ericie,#illyrus,#neoptoleme,#pyrrhus,#cyneas,#ismene
Fréquences (scènes),0.27586206896551724,0.06896551724137931,0.3793103448275862,0.27586206896551724,0.1724137931034483,0.27586206896551724,0.2413793103448276,0.034482758620689655,0.034482758620689655
Fréquences(répliques),0.19876126126126126,0.033783783783783786,0.21227477477477477,0.21903153153153154,0.0625,0.16159909909909909,0.10810810810810811,0.002815315315315315,0.0011261261261261261
Confrontation,0.16666666666666666,0.041666666666666664,0.14583333333333334,0.14583333333333334,0.10416666666666667,0.1875,0.16666666666666666,0.020833333333333332,0.020833333333333332
Déviations,#glaucias,#androclide,#helenus,#ericie,#illyrus,#neoptoleme,#pyrrhus,#cyneas,#ismene
#glaucias,15.20689655172414,0.36422413793103453,0.3526645768025078,0.6600215517241379,0.10431034482758625,0.019396551724137925,0.44889162561576357,0.27586206896551724,0.27586206896551724
#androclide,0.36422413793103453,25.137931034482758,0.7586206896551724,0.5517241379310345,0.3448275862068966,0.5517241379310345,0.5541871921182264,0.06896551724137931,0.06896551724137931
#helenus,0.3526645768025078,0.7586206896551724,11.172413793103448,0.3526645768025078,0.005642633228840123,1.3640282131661439,2.6551724137931036,0.3793103448275862,0.3793103448275862
#ericie,0.6600215517241379,0.5517241379310345,0.3526645768025078,15.20689655172414,1.3793103448275863,0.019396551724137925,0.44889162561576357,0.27586206896551724,1.9008620689655176
#illyrus,0.10431034482758625,0.3448275862068966,0.005642633228840123,1.3793103448275863,19.862068965517242,0.10431034482758625,0.03546798029556649,0.1724137931034483,0.1724137931034483
#neoptoleme,0.019396551724137925,0.5517241379310345,1.3640282131661439,0.019396551724137925,0.10431034482758625,15.20689655172414,0.5917487684729063,0.27586206896551724,0.27586206896551724
#pyrrhus,0.44889162561576346,0.5541871921182268,2.655172413793103,0.44889162561576346,0.03546798029556649,0.5917487684729066,16.68965517241379,2.38423645320197,0.24137931034482757
#cyneas,0.27586206896551724,0.06896551724137931,0.3793103448275862,0.27586206896551724,0.1724137931034483,0.27586206896551724,2.38423645320197,27.034482758620694,0.034482758620689655
#ismene,0.27586206896551724,0.06896551724137931,0.3793103448275862,1.9008620689655176,0.1724137931034483,0.27586206896551724,0.2413793103448276,0.034482758620689655,27.034482758620694
Successions,#glaucias,#androclide,#helenus,#ericie,#illyrus,#neoptoleme,#pyrrhus,#cyneas,#ismene
#glaucias,0.03571428571428571,0.17857142857142858,0.4642857142857143,0.07142857142857142,0.07142857142857142,0.17857142857142858,0.0,0.0,0.0
#androclide,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
#helenus,0.3939393939393939,0.0,0.06060606060606061,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0
#ericie,0.06060606060606061,0.0,0.18181818181818182,0.12121212121212122,0.0,0.36363636363636365,0.24242424242424243,0.0,0.030303030303030304
#illyrus,0.2,0.0,0.7,0.0,0.0,0.0,0.1,0.0,0.0
#neoptoleme,0.15625,0.0,0.15625,0.40625,0.03125,0.03125,0.21875,0.0,0.0
#pyrrhus,0.0,0.13636363636363635,0.0,0.3181818181818182,0.045454545454545456,0.3181818181818182,0.13636363636363635,0.045454545454545456,0.0
#cyneas,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#ismene,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
