VALEUR,#premiere-voix,#deuxieme-voix,#troisieme-voix,#les-trois-voix-ensemble,#les-deux-musiciens,#l-avocat,#l-avocat-bredouilleur,#l-egyptienne,#choeur-des-musiciens,#l-egyptien,#l-egyptien #l-egyptienne,#le-petit-choeur,#monsieur-blondel,#tous-ensemble
Fréquences (scènes),0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fréquences(répliques),0.1111111111111111,0.12698412698412698,0.06349206349206349,0.1111111111111111,0.0,0.031746031746031744,0.0,0.23809523809523808,0.031746031746031744,0.14285714285714285,0.031746031746031744,0.031746031746031744,0.047619047619047616,0.031746031746031744
Confrontation,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Déviations,#premiere-voix,#deuxieme-voix,#troisieme-voix,#les-trois-voix-ensemble,#les-deux-musiciens,#l-avocat,#l-avocat-bredouilleur,#l-egyptienne,#choeur-des-musiciens,#l-egyptien,#l-egyptien #l-egyptienne,#le-petit-choeur,#monsieur-blondel,#tous-ensemble
#premiere-voix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premiere-voix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premiere-voix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premiere-voix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premiere-voix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premiere-voix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premiere-voix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premiere-voix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premiere-voix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premiere-voix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premiere-voix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premiere-voix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premiere-voix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premiere-voix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Successions,#premiere-voix,#deuxieme-voix,#troisieme-voix,#les-trois-voix-ensemble,#les-deux-musiciens,#l-avocat,#l-avocat-bredouilleur,#l-egyptienne,#choeur-des-musiciens,#l-egyptien,#l-egyptien #l-egyptienne,#le-petit-choeur,#monsieur-blondel,#tous-ensemble
#premiere-voix,,,,,,,,,,,,,,
#deuxieme-voix,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#troisieme-voix,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#les-trois-voix-ensemble,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#les-deux-musiciens,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-avocat,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-avocat-bredouilleur,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-egyptienne,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.6,0.0,0.0,0.0,0.0
#choeur-des-musiciens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-egyptien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0
#choeur-des-musiciens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-petit-choeur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#monsieur-blondel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#tous-ensemble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
