VALEUR,#clarimand,#clorinde,#amedor,#clytie,#taillebras,#lyzante,#beaurocher,#la-dupre
Fréquences (scènes),0.5769230769230769,0.38461538461538464,0.2692307692307692,0.4230769230769231,0.34615384615384615,0.2692307692307692,0.34615384615384615,0.2692307692307692
Fréquences(répliques),0.30484988452655887,0.08140877598152425,0.06062355658198614,0.12471131639722864,0.15069284064665128,0.07332563510392609,0.13048498845265588,0.07390300230946882
Confrontation,0.15979381443298968,0.13402061855670103,0.10309278350515463,0.14948453608247422,0.14432989690721648,0.07731958762886598,0.12371134020618557,0.10824742268041238
Déviations,#clarimand,#clorinde,#amedor,#clytie,#taillebras,#lyzante,#beaurocher,#la-dupre
#clarimand,4.653846153846159,0.10256410256410255,0.0003663003663003469,0.018881118881118753,0.2737891737891735,0.22893772893772948,0.007122507122507073,1.0289377289377282
#clorinde,0.10256410256410234,9.846153846153845,4.063736263736264,0.012587412587412593,0.06153846153846157,1.0637362637362635,0.06153846153846157,0.6351648351648355
#amedor,0.00036630036630036375,4.0637362637362635,13.884615384615383,0.0004995004995004959,0.07387057387057382,0.4152276295133438,0.07387057387057382,0.007064364207221354
#clytie,0.018881118881118847,0.012587412587412593,0.0004995004995005075,8.653846153846152,1.2622377622377625,0.0004995004995005075,0.17132867132867127,0.3641358641358644
#taillebras,0.2737891737891735,0.06153846153846157,0.07387057387057382,1.2622377622377625,11.115384615384617,1.0262515262515264,1.1400759734093067,1.0262515262515264
#lyzante,0.228937728937729,1.063736263736264,0.4152276295133438,0.0004995004995004959,1.0262515262515264,13.884615384615383,0.8357753357753356,1.8846153846153846
#beaurocher,0.007122507122507073,0.06153846153846157,0.07387057387057382,0.17132867132867127,1.1400759734093067,0.8357753357753356,11.115384615384617,2.740537240537241
#la-dupre,1.0289377289377288,0.6351648351648349,0.007064364207221354,0.3641358641358641,1.0262515262515264,1.8846153846153846,2.740537240537241,13.884615384615383
Successions,#clarimand,#clorinde,#amedor,#clytie,#taillebras,#lyzante,#beaurocher,#la-dupre
#clarimand,0.007751937984496124,0.14728682170542637,0.07751937984496124,0.20155038759689922,0.15503875968992248,0.12403100775193798,0.20930232558139536,0.07751937984496124
#clorinde,0.3269230769230769,0.0,0.36538461538461536,0.1346153846153846,0.019230769230769232,0.038461538461538464,0.019230769230769232,0.09615384615384616
#amedor,0.225,0.375,0.0,0.1,0.1,0.075,0.075,0.05
#clytie,0.46774193548387094,0.0967741935483871,0.03225806451612903,0.0,0.1935483870967742,0.06451612903225806,0.08064516129032258,0.06451612903225806
#taillebras,0.21794871794871795,0.05128205128205128,0.05128205128205128,0.14102564102564102,0.0,0.1794871794871795,0.23076923076923078,0.1282051282051282
#lyzante,0.4634146341463415,0.04878048780487805,0.04878048780487805,0.12195121951219512,0.2926829268292683,0.0,0.024390243902439025,0.0
#beaurocher,0.43283582089552236,0.029850746268656716,0.04477611940298507,0.08955223880597014,0.26865671641791045,0.014925373134328358,0.0,0.11940298507462686
#la-dupre,0.23076923076923078,0.10256410256410256,0.0,0.07692307692307693,0.28205128205128205,0.02564102564102564,0.28205128205128205,0.0
