VALEUR,#ismene,#antigone,#hemon,#creon,#un-thebain,#plusieurs-ensemble,#l-officier,#tiresias,#---
Fréquences (scènes),0.25,0.375,0.4166666666666667,0.7083333333333334,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.125,0.041666666666666664
Fréquences(répliques),0.07962962962962963,0.25555555555555554,0.22407407407407406,0.28888888888888886,0.001851851851851852,0.001851851851851852,0.03333333333333333,0.09814814814814815,0.016666666666666666
Confrontation,0.14893617021276595,0.18085106382978725,0.20212765957446807,0.24468085106382978,0.05319148936170213,0.05319148936170213,0.05319148936170213,0.06382978723404255,0.0
Déviations,#ismene,#antigone,#hemon,#creon,#un-thebain,#plusieurs-ensemble,#l-officier,#tiresias,#---
#ismene,13.5,3.361111111111111,0.1,0.36764705882352944,2.25,2.25,1.0,0.08333333333333333,0.25
#antigone,3.361111111111111,9.375,0.4166666666666667,0.8848039215686274,1.0416666666666667,1.0416666666666667,1.5,0.013888888888888888,0.375
#hemon,0.1,0.4166666666666667,8.166666666666664,0.11862745098039199,0.8166666666666669,0.8166666666666669,1.6666666666666665,0.05,0.41666666666666663
#creon,0.36764705882352944,0.8848039215686274,0.11862745098039199,2.0416666666666656,0.12009803921568635,0.12009803921568635,0.4803921568627454,0.007352941176470588,0.7083333333333334
#un-thebain,2.25,1.0416666666666667,0.8166666666666664,0.12009803921568624,22.04166666666667,22.04166666666667,0.16666666666666666,0.125,0.041666666666666664
#un-thebain,2.25,1.0416666666666667,0.8166666666666664,0.12009803921568624,22.04166666666667,22.04166666666667,0.16666666666666666,0.125,0.041666666666666664
#l-officier,1.0,1.5,1.6666666666666667,0.48039215686274495,0.16666666666666666,0.16666666666666666,16.66666666666667,0.5,0.16666666666666666
#tiresias,0.08333333333333333,0.013888888888888888,0.05,0.007352941176470588,0.125,0.125,0.5,18.375,0.125
#---,0.25,0.375,0.4166666666666667,0.7083333333333334,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.125,22.04166666666667
Successions,#ismene,#antigone,#hemon,#creon,#un-thebain,#plusieurs-ensemble,#l-officier,#tiresias,#---
#ismene,0.09090909090909091,0.5454545454545454,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.0,0.09090909090909091
#antigone,0.24242424242424243,0.09090909090909091,0.24242424242424243,0.3939393939393939,0.0,0.0,0.0,0.030303030303030304,0.0
#hemon,0.047619047619047616,0.19047619047619047,0.07142857142857142,0.6904761904761905,0.0,0.0,0.0,0.0,0.0
#creon,0.014925373134328358,0.1791044776119403,0.44776119402985076,0.11940298507462686,0.0,0.014925373134328358,0.07462686567164178,0.14925373134328357,0.0
#un-thebain,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#plusieurs-ensemble,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#l-officier,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.2,0.0
#tiresias,0.0,0.07692307692307693,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0
#---,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
