VALEUR,#poquelin,#clabaud,#chiffonne,#jeannot,#clabaud #chiffonne,#lubin,#moliere,#rohaut
Fréquences (scènes),0.5714285714285714,0.6428571428571429,0.42857142857142855,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.5714285714285714,0.14285714285714285
Fréquences(répliques),0.25,0.17083333333333334,0.10555555555555556,0.027777777777777776,0.001388888888888889,0.06111111111111111,0.3375,0.04583333333333333
Confrontation,0.225,0.25,0.1625,0.075,0.05,0.0375,0.15,0.05
Déviations,#poquelin,#clabaud,#chiffonne,#jeannot,#clabaud #chiffonne,#lubin,#moliere,#rohaut
#poquelin,2.571428571428572,0.14285714285714274,0.05357142857142853,0.642857142857143,0.3214285714285715,1.1428571428571428,0.04017857142857147,0.017857142857142842
#clabaud,0.14285714285714304,1.7857142857142847,0.3386243386243389,0.396825396825397,0.1984126984126985,0.06349206349206343,0.25396825396825373,0.06349206349206343
#chiffonne,0.05357142857142853,0.3386243386243383,4.571428571428573,0.023809523809523826,0.7619047619047619,1.5238095238095237,1.7202380952380951,0.8571428571428571
#jeannot,0.642857142857143,0.3968253968253967,0.023809523809523826,10.285714285714288,5.142857142857144,0.2857142857142857,1.1428571428571428,0.2857142857142857
#clabaud #chiffonne,0.3214285714285715,0.19841269841269835,0.7619047619047619,5.142857142857144,12.071428571428573,0.14285714285714285,0.5714285714285714,0.14285714285714285
#lubin,1.1428571428571428,0.06349206349206353,1.5238095238095237,0.2857142857142857,0.14285714285714285,10.285714285714288,1.1428571428571428,0.2857142857142857
#moliere,0.04017857142857147,0.2539682539682541,1.7202380952380951,1.1428571428571428,0.5714285714285714,1.1428571428571428,2.571428571428572,0.642857142857143
#rohaut,0.017857142857142842,0.06349206349206353,0.8571428571428571,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.642857142857143,10.285714285714288
Successions,#poquelin,#clabaud,#chiffonne,#jeannot,#clabaud #chiffonne,#lubin,#moliere,#rohaut
#poquelin,0.012987012987012988,0.2077922077922078,0.11688311688311688,0.025974025974025976,0.012987012987012988,0.0,0.4675324675324675,0.15584415584415584
#clabaud,0.21818181818181817,0.0,0.3090909090909091,0.05454545454545454,0.0,0.12727272727272726,0.2545454545454545,0.03636363636363636
#chiffonne,0.2702702702702703,0.43243243243243246,0.0,0.02702702702702703,0.0,0.24324324324324326,0.02702702702702703,0.0
#jeannot,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0
#clabaud #chiffonne,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#lubin,0.0,0.4375,0.5625,0.0,0.0,0.0,0.0,0.0
#moliere,0.6896551724137931,0.1206896551724138,0.034482758620689655,0.0,0.0,0.0,0.0,0.15517241379310345
#rohaut,0.4782608695652174,0.2608695652173913,0.0,0.0,0.0,0.0,0.2608695652173913,0.0
