VALEUR,#theane,#cephise,#filandre,#thimante,#celidor,#neree,#dorilas,#menalque,#damete
Fréquences (scènes),0.5,0.4375,0.46875,0.28125,0.28125,0.34375,0.03125,0.03125,0.03125
Fréquences(répliques),0.13142554319024907,0.25066242713301534,0.2564917859035506,0.07737148913619502,0.10333863275039745,0.13884472708002119,0.028616852146263912,0.011128775834658187,0.0021197668256491787
Confrontation,0.2013888888888889,0.16666666666666666,0.19444444444444445,0.09722222222222222,0.13194444444444445,0.1527777777777778,0.013888888888888888,0.020833333333333332,0.020833333333333332
Déviations,#theane,#cephise,#filandre,#thimante,#celidor,#neree,#dorilas,#menalque,#damete
#theane,8.0,0.0,0.3,0.05555555555555555,0.5,0.4090909090909091,0.5,0.5,0.5
#cephise,0.0,10.125,0.029166666666666667,0.22321428571428573,0.000992063492063492,1.6436688311688312,0.7232142857142857,0.4375,0.4375
#filandre,0.3,0.029166666666666667,9.03125,1.1668981481481482,0.7520833333333333,0.1380681818181818,0.6020833333333333,0.46875,0.46875
#thimante,0.05555555555555555,0.22321428571428573,1.1668981481481482,16.53125,0.9263117283950617,0.38667929292929293,0.28125,1.8368055555555556,1.8368055555555556
#celidor,0.5,0.000992063492063492,0.7520833333333333,0.9263117283950617,16.53125,1.1745580808080809,0.28125,0.28125,0.28125
#neree,0.4090909090909091,1.6436688311688312,0.1380681818181818,0.38667929292929293,1.1745580808080809,13.78125,0.34375,0.34375,0.34375
#dorilas,0.5,0.7232142857142857,0.6020833333333333,0.28125,0.28125,0.34375,30.03125,0.03125,0.03125
#menalque,0.5,0.4375,0.46875,1.8368055555555556,0.28125,0.34375,0.03125,30.03125,30.03125
#menalque,0.5,0.4375,0.46875,1.8368055555555556,0.28125,0.34375,0.03125,30.03125,30.03125
Successions,#theane,#cephise,#filandre,#thimante,#celidor,#neree,#dorilas,#menalque,#damete
#theane,0.0,0.3684210526315789,0.2631578947368421,0.12280701754385964,0.017543859649122806,0.22807017543859648,0.0,0.0,0.0
#cephise,0.2608695652173913,0.0,0.33695652173913043,0.13043478260869565,0.08695652173913043,0.16304347826086957,0.021739130434782608,0.0,0.0
#filandre,0.13541666666666666,0.3541666666666667,0.010416666666666666,0.03125,0.1875,0.2604166666666667,0.020833333333333332,0.0,0.0
#thimante,0.14814814814814814,0.48148148148148145,0.1111111111111111,0.0,0.037037037037037035,0.1111111111111111,0.0,0.037037037037037035,0.07407407407407407
#celidor,0.02564102564102564,0.20512820512820512,0.4358974358974359,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
#neree,0.2028985507246377,0.2318840579710145,0.36231884057971014,0.043478260869565216,0.15942028985507245,0.0,0.0,0.0,0.0
#dorilas,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#menalque,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
#damete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
