VALEUR,#galaor,#perion,#le-roi,#dariolette,#elizene,#l-ombre,#un-berger,#un-gaulois
Fréquences (scènes),0.38461538461538464,0.8461538461538461,0.38461538461538464,0.46153846153846156,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693
Fréquences(répliques),0.25301204819277107,0.463855421686747,0.060240963855421686,0.024096385542168676,0.0,0.03614457831325301,0.0783132530120482,0.08433734939759036
Confrontation,0.175,0.2375,0.1125,0.2,0.1125,0.0625,0.05,0.05
Déviations,#galaor,#perion,#le-roi,#dariolette,#elizene,#l-ombre,#un-berger,#un-gaulois
#galaor,4.9230769230769225,0.13986013986013984,0.44307692307692315,0.20769230769230754,0.6205128205128202,0.9846153846153847,0.9846153846153847,0.9846153846153847
#perion,0.13986013986013984,0.30769230769230743,0.012587412587412593,0.001165501165501184,0.11421911421911433,0.02797202797202793,0.02797202797202793,0.02797202797202793
#le-roi,0.44307692307692315,0.012587412587412593,4.9230769230769225,0.04102564102564109,0.020512820512820544,0.9846153846153847,0.38461538461538464,0.38461538461538464
#dariolette,0.20769230769230754,0.0011655011655011573,0.04102564102564109,3.7692307692307696,1.8846153846153848,0.6282051282051281,0.6282051282051281,0.6282051282051281
#elizene,0.6205128205128202,0.11421911421911417,0.020512820512820544,1.8846153846153848,7.692307692307691,2.5641025641025634,0.23076923076923078,0.23076923076923078
#l-ombre,0.9846153846153847,0.027972027972027975,0.9846153846153847,0.6282051282051281,2.5641025641025634,11.076923076923078,0.07692307692307693,0.07692307692307693
#un-berger,0.9846153846153847,0.027972027972027975,0.38461538461538464,0.6282051282051281,0.23076923076923078,0.07692307692307693,11.076923076923078,11.076923076923078
#un-berger,0.9846153846153847,0.027972027972027975,0.38461538461538464,0.6282051282051281,0.23076923076923078,0.07692307692307693,11.076923076923078,11.076923076923078
Successions,#galaor,#perion,#le-roi,#dariolette,#elizene,#l-ombre,#un-berger,#un-gaulois
#galaor,0.0,0.7692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693
#perion,0.2777777777777778,0.027777777777777776,0.25,0.3888888888888889,0.027777777777777776,0.027777777777777776,0.0,0.0
#le-roi,0.0,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0
#dariolette,0.09523809523809523,0.5238095238095238,0.047619047619047616,0.0,0.3333333333333333,0.0,0.0,0.0
#elizene,0.125,0.25,0.0,0.625,0.0,0.0,0.0,0.0
#l-ombre,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-berger,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-gaulois,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
