VALEUR,#licine,#maximian,#maxime,#martian,#fauste,#flavie,#severe,#constantin,#constance,#lucie
Fréquences (scènes),0.2,0.6666666666666666,0.1,0.06666666666666667,0.5333333333333333,0.03333333333333333,0.3,0.4666666666666667,0.26666666666666666,0.03333333333333333
Fréquences(répliques),0.08697788697788698,0.28255528255528256,0.009336609336609337,0.03292383292383293,0.12825552825552824,0.003931203931203931,0.15036855036855037,0.20884520884520885,0.09336609336609336,0.0034398034398034397
Confrontation,0.08860759493670886,0.25316455696202533,0.03164556962025317,0.03164556962025317,0.2088607594936709,0.006329113924050633,0.0949367088607595,0.1962025316455696,0.08227848101265822,0.006329113924050633
Déviations,#licine,#maximian,#maxime,#martian,#fauste,#flavie,#severe,#constantin,#constance,#lucie
#licine,19.199999999999996,0.25,0.2666666666666665,0.8999999999999999,0.012500000000000022,0.20000000000000004,1.7999999999999998,0.22857142857142848,0.09999999999999995,0.20000000000000004
#maximian,0.25,3.3333333333333344,0.0,0.3333333333333334,0.16666666666666682,0.6666666666666666,0.0,0.04761904761904753,1.020833333333333,0.6666666666666666
#maxime,0.2666666666666665,0.0,24.3,0.20000000000000004,1.6000000000000003,0.10000000000000002,0.8999999999999999,0.25714285714285723,0.8000000000000002,0.10000000000000002
#martian,0.8999999999999999,0.3333333333333334,0.20000000000000004,26.133333333333336,0.004166666666666665,0.06666666666666667,0.6,0.00476190476190476,0.5333333333333333,0.06666666666666667
#fauste,0.012500000000000022,0.16666666666666682,1.6000000000000003,0.004166666666666665,6.533333333333334,0.4083333333333334,0.008333333333333349,0.3148809523809524,1.2041666666666666,0.5333333333333333
#flavie,0.20000000000000004,0.6666666666666666,0.10000000000000002,0.06666666666666667,0.4083333333333334,28.03333333333333,0.3,0.4666666666666667,0.26666666666666666,0.03333333333333333
#severe,1.8,0.0,0.9,0.6,0.008333333333333349,0.3,14.700000000000006,0.3428571428571429,0.8166666666666665,0.3
#constantin,0.2285714285714287,0.0476190476190478,0.257142857142857,0.00476190476190476,0.3148809523809524,0.4666666666666667,0.3428571428571429,8.533333333333333,0.01904761904761904,0.4666666666666667
#constance,0.09999999999999995,1.020833333333333,0.8000000000000002,0.5333333333333333,1.2041666666666666,0.26666666666666666,0.8166666666666665,0.01904761904761904,16.133333333333336,2.016666666666667
#lucie,0.20000000000000004,0.6666666666666666,0.10000000000000002,0.06666666666666667,0.5333333333333333,0.03333333333333333,0.3,0.4666666666666667,2.016666666666667,28.03333333333333
Successions,#licine,#maximian,#maxime,#martian,#fauste,#flavie,#severe,#constantin,#constance,#lucie
#licine,0.0,0.3333333333333333,0.041666666666666664,0.125,0.041666666666666664,0.0,0.0,0.20833333333333334,0.20833333333333334,0.041666666666666664
#maximian,0.06944444444444445,0.013888888888888888,0.013888888888888888,0.08333333333333333,0.19444444444444445,0.0,0.20833333333333334,0.3333333333333333,0.08333333333333333,0.0
#maxime,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
#martian,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
#fauste,0.037037037037037035,0.3333333333333333,0.0,0.0,0.018518518518518517,0.09259259259259259,0.3888888888888889,0.12962962962962962,0.0,0.0
#flavie,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#severe,0.0,0.3333333333333333,0.0,0.0,0.4888888888888889,0.0,0.0,0.15555555555555556,0.022222222222222223,0.0
#constantin,0.1111111111111111,0.30158730158730157,0.06349206349206349,0.015873015873015872,0.15873015873015872,0.0,0.12698412698412698,0.07936507936507936,0.14285714285714285,0.0
#constance,0.30434782608695654,0.17391304347826086,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216,0.391304347826087,0.0,0.043478260869565216
#lucie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
