VALEUR,#iphigenie,#ismenie,#eumene,#thoas,#oreste,#pylade,#l-esclave,#arbas
Fréquences (scènes),0.75,0.2777777777777778,0.16666666666666666,0.2222222222222222,0.3055555555555556,0.2222222222222222,0.027777777777777776,0.05555555555555555
Fréquences(répliques),0.3858046380885453,0.10470836261419536,0.017568517217146872,0.11454673225579762,0.23049894588896697,0.11735769501054111,0.016163035839775124,0.013352073085031623
Confrontation,0.336734693877551,0.15306122448979592,0.10204081632653061,0.08163265306122448,0.15306122448979592,0.11224489795918367,0.02040816326530612,0.04081632653061224
Déviations,#iphigenie,#ismenie,#eumene,#thoas,#oreste,#pylade,#l-esclave,#arbas
#iphigenie,2.25,0.8333333333333334,0.5,0.6666666666666666,0.6136363636363636,0.16666666666666666,0.08333333333333333,0.16666666666666666
#ismenie,0.8333333333333334,18.77777777777778,3.2666666666666675,2.2222222222222223,3.055555555555556,2.2222222222222223,1.8777777777777775,0.5555555555555556
#eumene,0.5,3.2666666666666657,25.0,1.3333333333333333,1.8333333333333335,1.3333333333333333,0.16666666666666666,0.3333333333333333
#thoas,0.6666666666666666,2.2222222222222223,1.3333333333333333,21.77777777777778,0.08080808080808087,1.7777777777777777,0.2222222222222222,5.444444444444445
#oreste,0.6136363636363636,3.055555555555556,1.8333333333333333,0.08080808080808072,17.361111111111104,5.171717171717173,0.3055555555555555,0.2474747474747476
#pylade,0.16666666666666666,2.2222222222222223,1.3333333333333333,1.7777777777777777,5.171717171717171,21.77777777777778,0.2222222222222222,0.4444444444444444
#l-esclave,0.08333333333333333,1.8777777777777775,0.16666666666666666,0.2222222222222222,0.3055555555555556,0.2222222222222222,34.02777777777778,0.05555555555555555
#arbas,0.16666666666666666,0.5555555555555556,0.3333333333333333,5.444444444444445,0.24747474747474738,0.4444444444444444,0.05555555555555555,32.111111111111114
Successions,#iphigenie,#ismenie,#eumene,#thoas,#oreste,#pylade,#l-esclave,#arbas
#iphigenie,0.05737704918032787,0.23770491803278687,0.08196721311475409,0.11475409836065574,0.3524590163934426,0.14754098360655737,0.00819672131147541,0.0
#ismenie,0.9393939393939394,0.0,0.0,0.0,0.0,0.030303030303030304,0.030303030303030304,0.0
#eumene,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0
#thoas,0.5,0.0,0.0,0.125,0.20833333333333334,0.0,0.0,0.16666666666666666
#oreste,0.6282051282051282,0.0,0.0,0.038461538461538464,0.01282051282051282,0.32051282051282054,0.0,0.0
#pylade,0.3333333333333333,0.0,0.0,0.022222222222222223,0.6444444444444445,0.0,0.0,0.0
#l-esclave,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#arbas,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0
