VALEUR,#mademoiselle-beauval,#monsieur-dancour,#mademoiselle-desbrosses,#monsieur-dubocage,#momus,#lisette,#agathe,#albert,#crispin,#eraste
Fréquences (scènes),0.1282051282051282,0.07692307692307693,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.358974358974359,0.20512820512820512,0.5384615384615384,0.38461538461538464,0.41025641025641024
Fréquences(répliques),0.09293904646952324,0.0331925165962583,0.010863005431502716,0.009656004828002414,0.07845503922751962,0.14302957151478576,0.15087507543753773,0.2063971031985516,0.14785757392878696,0.12673506336753168
Confrontation,0.047619047619047616,0.041666666666666664,0.03571428571428571,0.02976190476190476,0.023809523809523808,0.16666666666666666,0.13095238095238096,0.20238095238095238,0.13690476190476192,0.18452380952380953
Déviations,#mademoiselle-beauval,#monsieur-dancour,#mademoiselle-desbrosses,#monsieur-dubocage,#momus,#lisette,#agathe,#albert,#crispin,#eraste
#mademoiselle-beauval,29.64102564102565,17.784615384615385,11.856410256410259,11.856410256410259,2.1564102564102567,1.794871794871795,1.0256410256410255,2.692307692307692,1.9230769230769231,2.051282051282051
#monsieur-dancour,17.784615384615385,33.230769230769226,22.153846153846157,4.653846153846153,4.653846153846153,1.0769230769230769,0.6153846153846154,1.6153846153846154,1.153846153846154,1.2307692307692308
#mademoiselle-desbrosses,11.856410256410259,22.153846153846157,35.1025641025641,7.852564102564103,7.852564102564103,0.717948717948718,0.41025641025641024,1.0769230769230769,0.7692307692307693,0.8205128205128205
#monsieur-dubocage,11.856410256410259,4.653846153846153,7.852564102564103,35.1025641025641,7.852564102564103,0.717948717948718,0.41025641025641024,1.0769230769230769,0.7692307692307693,0.8205128205128205
#momus,2.1564102564102567,4.653846153846153,7.852564102564103,7.852564102564103,35.1025641025641,0.717948717948718,0.41025641025641024,1.0769230769230769,0.7692307692307693,0.8205128205128205
#lisette,1.7948717948717947,1.076923076923077,0.717948717948718,0.717948717948718,0.717948717948718,16.025641025641026,9.157509157509155,0.8037676609105182,1.0560439560439563,0.2748397435897436
#agathe,1.0256410256410255,0.6153846153846154,0.41025641025641024,0.41025641025641024,0.41025641025641024,9.157509157509155,24.641025641025642,0.664835164835165,0.0019230769230769314,0.8992387820512822
#albert,2.692307692307692,1.6153846153846154,1.0769230769230769,1.0769230769230769,1.0769230769230769,0.8037676609105182,0.664835164835165,8.30769230769231,0.0007326007326007275,0.22252747252747268
#crispin,1.9230769230769227,1.153846153846154,0.7692307692307692,0.7692307692307692,0.7692307692307692,1.0560439560439563,0.0019230769230769097,0.0007326007326007275,14.769230769230766,1.3163461538461543
#eraste,2.051282051282051,1.2307692307692308,0.8205128205128205,0.8205128205128205,0.8205128205128205,0.2748397435897436,0.8992387820512822,0.22252747252747268,1.3163461538461534,13.564102564102566
Successions,#mademoiselle-beauval,#monsieur-dancour,#mademoiselle-desbrosses,#monsieur-dubocage,#momus,#lisette,#agathe,#albert,#crispin,#eraste
#mademoiselle-beauval,0.0,0.65,0.15,0.025,0.175,0.0,0.0,0.0,0.0,0.0
#monsieur-dancour,0.8928571428571429,0.0,0.03571428571428571,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0
#mademoiselle-desbrosses,0.7777777777777778,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-dubocage,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
#momus,0.6363636363636364,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0
#lisette,0.0,0.0,0.0,0.0,0.014925373134328358,0.014925373134328358,0.2537313432835821,0.6417910447761194,0.04477611940298507,0.029850746268656716
#agathe,0.0,0.0,0.0,0.0,0.0,0.2692307692307692,0.0,0.4423076923076923,0.11538461538461539,0.17307692307692307
#albert,0.0,0.0,0.0,0.0,0.0,0.34710743801652894,0.17355371900826447,0.049586776859504134,0.2727272727272727,0.15702479338842976
#crispin,0.0,0.0,0.0,0.0,0.0,0.056338028169014086,0.09859154929577464,0.39436619718309857,0.04225352112676056,0.4084507042253521
#eraste,0.0,0.0,0.0,0.0,0.0,0.1016949152542373,0.11864406779661017,0.3389830508474576,0.4406779661016949,0.0
