VALEUR,#lisette,#angelique,#lucile,#oronte,#arlequin,#pierrot,#la-bergere,#octave
Fréquences (scènes),0.875,0.125,0.75,0.375,0.5,0.25,0.25,0.125
Fréquences(répliques),0.013888888888888888,0.0,0.25,0.0,0.16666666666666666,0.0,0.5694444444444444,0.0
Confrontation,0.234375,0.015625,0.21875,0.125,0.171875,0.09375,0.09375,0.046875
Déviations,#lisette,#angelique,#lucile,#oronte,#arlequin,#pierrot,#la-bergere,#octave
#lisette,0.125,0.017857142857142856,0.011904761904761904,0.05357142857142857,0.07142857142857142,0.32142857142857145,0.32142857142857145,0.017857142857142856
#angelique,0.017857142857142856,6.125,0.75,0.375,0.5,0.25,0.25,0.125
#lucile,0.011904761904761904,0.75,0.5,0.027777777777777776,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.75
#oronte,0.05357142857142857,0.375,0.027777777777777776,3.125,0.16666666666666666,0.75,0.08333333333333333,1.0416666666666667
#arlequin,0.07142857142857142,0.5,0.3333333333333333,0.16666666666666666,2.0,1.0,0.0,0.5
#pierrot,0.32142857142857145,0.25,0.16666666666666666,0.75,1.0,4.5,0.5,0.25
#la-bergere,0.32142857142857145,0.25,0.16666666666666666,0.08333333333333333,0.0,0.5,4.5,2.25
#octave,0.017857142857142856,0.125,0.75,1.0416666666666667,0.5,0.25,2.25,6.125
Successions,#lisette,#angelique,#lucile,#oronte,#arlequin,#pierrot,#la-bergere,#octave
#lisette,0.019230769230769232,0.17307692307692307,0.3269230769230769,0.11538461538461539,0.3269230769230769,0.038461538461538464,0.0,0.0
#angelique,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lucile,0.3,0.0,0.0,0.08333333333333333,0.55,0.05,0.016666666666666666,0.0
#oronte,0.3684210526315789,0.0,0.2631578947368421,0.0,0.3684210526315789,0.0,0.0,0.0
#arlequin,0.2542372881355932,0.0,0.5932203389830508,0.11864406779661017,0.0,0.03389830508474576,0.0,0.0
#pierrot,0.42857142857142855,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0
#la-bergere,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666
#octave,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
