VALEUR,#tarquin,#colatin,#sexte,#maxime,#misene,#tullie,#lucrece,#cecilie,#melixene,#brute,#lucretie
Fréquences (scènes),0.2608695652173913,0.34782608695652173,0.34782608695652173,0.30434782608695654,0.13043478260869565,0.13043478260869565,0.30434782608695654,0.08695652173913043,0.08695652173913043,0.21739130434782608,0.17391304347826086
Fréquences(répliques),0.14584654407102093,0.11414077362079898,0.22637920101458464,0.11857958148383006,0.013316423589093214,0.0932149651236525,0.17247939124920736,0.03741280913126189,0.028535193405199746,0.02663284717818643,0.023462270133164237
Confrontation,0.12222222222222222,0.15555555555555556,0.13333333333333333,0.1111111111111111,0.044444444444444446,0.044444444444444446,0.1111111111111111,0.03333333333333333,0.022222222222222223,0.13333333333333333,0.08888888888888889
Déviations,#tarquin,#colatin,#sexte,#maxime,#misene,#tullie,#lucrece,#cecilie,#melixene,#brute,#lucretie
#tarquin,12.56521739130435,0.3994565217391305,0.0036231884057970967,0.3737060041407868,0.7826086956521738,0.7826086956521738,1.8260869565217392,0.5217391304347826,0.5217391304347826,5.571014492753624,0.0018115942028985484
#colatin,0.3994565217391305,9.782608695652174,1.1419836956521738,2.4347826086956523,0.8768115942028987,1.0434782608695652,0.845496894409938,0.6956521739130435,0.6956521739130435,0.9141304347826088,4.891304347826087
#sexte,0.0036231884057970967,1.1419836956521738,9.782608695652174,2.7026397515527947,1.0434782608695652,0.0018115942028985484,0.07763975155279508,0.6956521739130435,0.6956521739130435,0.31413043478260866,1.391304347826087
#maxime,0.3737060041407867,2.4347826086956523,2.7026397515527947,11.130434782608695,0.9130434782608695,0.008281573498964814,0.007985803016858932,0.6086956521739131,0.6086956521739131,0.17888198757763968,1.2173913043478262
#misene,0.7826086956521738,0.8768115942028987,1.0434782608695652,0.9130434782608696,17.39130434782609,0.3913043478260869,0.008281573498964792,2.094202898550724,0.2608695652173913,0.6521739130434783,0.5217391304347826
#tullie,0.7826086956521738,1.0434782608695652,0.0018115942028985484,0.008281573498964792,0.3913043478260869,17.39130434782609,0.9130434782608696,0.2608695652173913,11.594202898550725,0.6521739130434783,0.5217391304347826
#lucrece,1.826086956521739,0.845496894409938,0.07763975155279508,0.007985803016858932,0.008281573498964814,0.9130434782608695,11.130434782608695,3.180124223602484,0.6086956521739131,0.17888198757763968,0.03881987577639754
#cecilie,0.5217391304347826,0.6956521739130435,0.6956521739130435,0.6086956521739131,2.094202898550724,0.2608695652173913,3.180124223602484,19.17391304347826,0.17391304347826086,0.43478260869565216,0.34782608695652173
#melixene,0.5217391304347826,0.6956521739130435,0.6956521739130435,0.6086956521739131,0.2608695652173913,11.594202898550725,0.6086956521739131,0.17391304347826086,19.17391304347826,0.43478260869565216,0.34782608695652173
#brute,5.571014492753624,0.9141304347826088,0.31413043478260866,0.17888198757763982,0.6521739130434783,0.6521739130434783,0.17888198757763982,0.43478260869565216,0.43478260869565216,14.08695652173913,1.4695652173913045
#lucretie,0.0018115942028985484,4.891304347826087,1.391304347826087,1.2173913043478262,0.5217391304347826,0.5217391304347826,0.03881987577639754,0.34782608695652173,0.34782608695652173,1.4695652173913045,15.695652173913043
Successions,#tarquin,#colatin,#sexte,#maxime,#misene,#tullie,#lucrece,#cecilie,#melixene,#brute,#lucretie
#tarquin,0.0,0.15384615384615385,0.46153846153846156,0.0,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.15384615384615385,0.07692307692307693
#colatin,0.2222222222222222,0.0,0.05555555555555555,0.0,0.3333333333333333,0.0,0.05555555555555555,0.0,0.0,0.1111111111111111,0.2222222222222222
#sexte,0.18421052631578946,0.02631578947368421,0.0,0.3157894736842105,0.0,0.15789473684210525,0.2894736842105263,0.0,0.0,0.02631578947368421,0.0
#maxime,0.0,0.0,0.5,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,0.045454545454545456,0.0
#misene,0.0,0.7142857142857143,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
#tullie,0.06666666666666667,0.0,0.4666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.4,0.0,0.0
#lucrece,0.0,0.0,0.3333333333333333,0.2727272727272727,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.24242424242424243,0.0,0.0,0.030303030303030304
#cecilie,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#melixene,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#brute,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
#lucretie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
