VALEUR,#hamilton,#beme,#nevers,#bussi,#desadrets,#tavanne,#gondi,#marsillac,#lavardin,#coligny,#teligni,#pardaillan,#renel,#querchi,#un-garde,#premier-conjure,#second-conjure,#troisieme-conjure,#quatrieme-conjure,#un-protestant
Fréquences (scènes),0.5333333333333333,0.2,0.06666666666666667,0.2,0.06666666666666667,0.2,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.4666666666666667,0.2,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667
Fréquences(répliques),0.3202668890742285,0.045037531276063386,0.008340283569641367,0.007506255212677231,0.004170141784820684,0.03419516263552961,0.0025020850708924102,0.15512927439532945,0.025020850708924104,0.2243536280233528,0.10175145954962468,0.009174311926605505,0.0008340283569641367,0.0008340283569641367,0.012510425354462052,0.011676396997497914,0.008340283569641367,0.013344453711426188,0.011676396997497914,0.003336113427856547
Confrontation,0.10365853658536585,0.036585365853658534,0.03048780487804878,0.09146341463414634,0.03048780487804878,0.09146341463414634,0.03048780487804878,0.054878048780487805,0.018292682926829267,0.13414634146341464,0.054878048780487805,0.042682926829268296,0.024390243902439025,0.024390243902439025,0.006097560975609756,0.06097560975609756,0.06097560975609756,0.06097560975609756,0.024390243902439025,0.018292682926829267
Déviations,#hamilton,#beme,#nevers,#bussi,#desadrets,#tavanne,#gondi,#marsillac,#lavardin,#coligny,#teligni,#pardaillan,#renel,#querchi,#un-garde,#premier-conjure,#second-conjure,#troisieme-conjure,#quatrieme-conjure,#un-protestant
#hamilton,3.266666666666667,1.2249999999999999,0.4083333333333334,1.2249999999999999,0.4083333333333334,1.2249999999999999,0.4083333333333334,2.1333333333333333,1.0666666666666667,0.8047619047619048,1.6000000000000003,1.0666666666666667,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.004166666666666665,0.004166666666666665,0.004166666666666665,0.5333333333333333,0.5333333333333333
#beme,1.2249999999999999,9.599999999999998,0.20000000000000004,0.2666666666666665,0.20000000000000004,0.2666666666666665,0.20000000000000004,0.8000000000000002,0.4000000000000001,0.11428571428571424,0.6000000000000001,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.20000000000000004,0.20000000000000004
#nevers,0.4083333333333334,0.20000000000000004,13.066666666666668,3.2000000000000006,13.066666666666668,3.2000000000000006,13.066666666666668,0.26666666666666666,0.13333333333333333,0.4666666666666667,0.20000000000000004,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667
#bussi,1.2249999999999999,0.2666666666666665,3.2000000000000006,9.599999999999998,3.2000000000000006,9.599999999999998,3.2000000000000006,0.8000000000000002,0.4000000000000001,0.25714285714285723,0.6000000000000001,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.20000000000000004,0.20000000000000004
#nevers,0.4083333333333334,0.20000000000000004,13.066666666666668,3.2000000000000006,13.066666666666668,3.2000000000000006,13.066666666666668,0.26666666666666666,0.13333333333333333,0.4666666666666667,0.20000000000000004,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667
#bussi,1.2249999999999999,0.2666666666666665,3.2000000000000006,9.599999999999998,3.2000000000000006,9.599999999999998,3.2000000000000006,0.8000000000000002,0.4000000000000001,0.25714285714285723,0.6000000000000001,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.20000000000000004,0.20000000000000004
