VALEUR,#chrisalde,#geronte,#pasquin,#angelique,#nerine,#gregoire,#valere,#eraste,#damis,#laquais,#eraste #damis #valere,#eraste #damis
Fréquences (scènes),0.19298245614035087,0.3157894736842105,0.43859649122807015,0.21052631578947367,0.3333333333333333,0.2807017543859649,0.3157894736842105,0.3333333333333333,0.3333333333333333,0.017543859649122806,0.07017543859649122,0.017543859649122806
Fréquences(répliques),0.07874682472480948,0.14987298899237933,0.19898391193903472,0.0863674851820491,0.12616426756985605,0.10203217612193057,0.0859441151566469,0.06435224386113463,0.10499576629974598,0.0004233700254022015,0.001693480101608806,0.0004233700254022015
Confrontation,0.06888888888888889,0.10444444444444445,0.1,0.07333333333333333,0.08666666666666667,0.08444444444444445,0.14222222222222222,0.13777777777777778,0.14444444444444443,0.013333333333333334,0.04,0.0044444444444444444
Déviations,#chrisalde,#geronte,#pasquin,#angelique,#nerine,#gregoire,#valere,#eraste,#damis,#laquais,#eraste #damis #valere,#eraste #damis
#chrisalde,37.12280701754386,5.8979266347687425,0.286379585326954,0.04306220095693782,0.7575757575757575,0.0024920255183412984,0.06459330143540662,0.12121212121212116,0.12121212121212116,0.19298245614035087,0.06738437001594899,0.19298245614035087
#geronte,5.8979266347687425,26.684210526315788,0.0014035087719298333,2.7200292397660824,1.5,0.219298245614035,0.0823586744639376,0.16666666666666666,0.16666666666666666,1.4824561403508774,0.05482456140350875,0.3157894736842105
#pasquin,0.286379585326954,0.0014035087719298333,17.964912280701757,0.9731578947368418,0.01333333333333324,1.2675438596491233,1.9214035087719297,3.413333333333332,3.413333333333332,0.43859649122807015,1.7543859649122806,0.43859649122807015
#angelique,0.04306220095693782,2.7200292397660824,0.9731578947368418,35.526315789473685,0.25,1.665296052631579,0.011695906432748562,0.0,0.25,2.960526315789474,0.029605263157894756,0.21052631578947367
#nerine,0.7575757575757575,1.5,0.01333333333333324,0.25,25.33333333333334,0.08333333333333341,0.6666666666666666,0.2807017543859648,0.2807017543859648,0.3333333333333333,0.0833333333333333,0.3333333333333333
#gregoire,0.0024920255183412984,0.219298245614035,1.2675438596491233,1.665296052631579,0.08333333333333341,29.491228070175442,0.0005482456140350819,0.3333333333333332,0.3333333333333332,0.2807017543859649,0.013432017543859635,0.2807017543859649
#valere,0.06459330143540662,0.0823586744639376,1.9214035087719297,0.011695906432748562,0.6666666666666666,0.0005482456140350819,26.684210526315788,16.666666666666668,20.166666666666668,1.4824561403508774,5.929824561403509,1.4824561403508774
#eraste,0.12121212121212116,0.16666666666666666,3.413333333333332,0.0,0.2807017543859648,0.3333333333333332,16.666666666666668,25.33333333333334,17.964912280701757,1.3333333333333337,5.333333333333335,0.3333333333333333
#damis,0.12121212121212116,0.16666666666666666,3.413333333333332,0.25,0.2807017543859648,0.3333333333333332,20.166666666666668,17.964912280701757,25.33333333333334,1.3333333333333337,5.333333333333335,1.3333333333333337
#laquais,0.19298245614035087,1.4824561403508774,0.43859649122807015,2.960526315789474,0.3333333333333333,0.2807017543859649,1.4824561403508774,1.3333333333333337,1.3333333333333337,55.017543859649116,12.320175438596491,0.017543859649122806
#eraste #damis #valere,0.06738437001594899,0.05482456140350875,1.7543859649122806,0.029605263157894756,0.0833333333333333,0.013432017543859635,5.929824561403509,5.333333333333335,5.333333333333335,12.320175438596491,49.280701754385966,0.07017543859649122
#eraste #damis,0.19298245614035087,0.3157894736842105,0.43859649122807015,0.21052631578947367,0.3333333333333333,0.2807017543859649,1.4824561403508774,0.3333333333333333,1.3333333333333337,0.017543859649122806,0.07017543859649122,55.017543859649116
Successions,#chrisalde,#geronte,#pasquin,#angelique,#nerine,#gregoire,#valere,#eraste,#damis,#laquais,#eraste #damis #valere,#eraste #damis
#chrisalde,0.05263157894736842,0.5789473684210527,0.08771929824561403,0.017543859649122806,0.0,0.0,0.05263157894736842,0.07017543859649122,0.12280701754385964,0.0,0.017543859649122806,0.0
#geronte,0.358695652173913,0.043478260869565216,0.1956521739130435,0.16304347826086957,0.010869565217391304,0.10869565217391304,0.05434782608695652,0.021739130434782608,0.03260869565217391,0.0,0.010869565217391304,0.0
#pasquin,0.0196078431372549,0.0915032679738562,0.026143790849673203,0.0392156862745098,0.45098039215686275,0.1830065359477124,0.058823529411764705,0.0392156862745098,0.0915032679738562,0.0,0.0,0.0
#angelique,0.022222222222222223,0.3111111111111111,0.17777777777777778,0.044444444444444446,0.2,0.022222222222222223,0.06666666666666667,0.0,0.15555555555555556,0.0,0.0,0.0
#nerine,0.0,0.017543859649122806,0.5087719298245614,0.10526315789473684,0.017543859649122806,0.15789473684210525,0.06140350877192982,0.043859649122807015,0.07894736842105263,0.0,0.008771929824561403,0.0
#gregoire,0.024096385542168676,0.1686746987951807,0.3855421686746988,0.0,0.12048192771084337,0.024096385542168676,0.10843373493975904,0.060240963855421686,0.0963855421686747,0.0,0.012048192771084338,0.0
#valere,0.028846153846153848,0.057692307692307696,0.11538461538461539,0.019230769230769232,0.0673076923076923,0.07692307692307693,0.019230769230769232,0.28846153846153844,0.3076923076923077,0.009615384615384616,0.0,0.009615384615384616
#eraste,0.02531645569620253,0.0379746835443038,0.05063291139240506,0.02531645569620253,0.0759493670886076,0.02531645569620253,0.46835443037974683,0.0,0.2911392405063291,0.0,0.0,0.0
#damis,0.09523809523809523,0.01904761904761905,0.11428571428571428,0.047619047619047616,0.08571428571428572,0.12380952380952381,0.2571428571428571,0.23809523809523808,0.01904761904761905,0.0,0.0,0.0
#laquais,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#eraste #damis #valere,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
#laquais,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
