VALEUR,#philemon,#tirsis,#polidor,#dorimene,#lisette,#florice,#guillaume,#olenie,#doripe,#crisere,#ormin
Fréquences (scènes),0.16666666666666666,0.3888888888888889,0.4444444444444444,0.3888888888888889,0.2222222222222222,0.25,0.3611111111111111,0.1388888888888889,0.2222222222222222,0.2222222222222222,0.027777777777777776
Fréquences(répliques),0.05764282038085435,0.17961914565105508,0.16778178075141534,0.14153371075656201,0.09109624292331446,0.0957282552753474,0.08440555841482245,0.02007205352547607,0.050952135872362324,0.1080802882141019,0.003088008234688626
Confrontation,0.05223880597014925,0.12686567164179105,0.14925373134328357,0.1417910447761194,0.06716417910447761,0.09701492537313433,0.12313432835820895,0.048507462686567165,0.08582089552238806,0.07835820895522388,0.029850746268656716
Déviations,#philemon,#tirsis,#polidor,#dorimene,#lisette,#florice,#guillaume,#olenie,#doripe,#crisere,#ormin
#philemon,25.0,5.761904761904761,0.041666666666666706,0.761904761904762,1.3333333333333333,0.16666666666666666,0.32051282051282065,0.8333333333333334,1.3333333333333333,1.3333333333333333,0.16666666666666666
#tirsis,5.761904761904764,13.444444444444445,1.2400793650793658,0.03628117913832203,0.3968253968253966,0.07142857142857142,0.17643467643467653,1.9444444444444446,1.4325396825396823,1.4325396825396823,0.9603174603174606
#polidor,0.041666666666666706,1.240079365079365,11.111111111111112,0.5079365079365079,1.8368055555555554,0.0,0.8547008547008548,0.02222222222222224,0.6805555555555554,0.6805555555555554,0.6944444444444445
#dorimene,0.7619047619047616,0.03628117913832203,0.5079365079365085,13.444444444444445,0.3968253968253966,0.07142857142857142,0.0006105006105006062,2.1730158730158724,0.25396825396825423,0.25396825396825423,0.9603174603174606
#lisette,1.3333333333333333,0.39682539682539686,1.8368055555555554,0.39682539682539686,21.77777777777778,8.0,0.2735042735042735,1.1111111111111112,0.027777777777777804,0.027777777777777804,2.7222222222222223
#florice,0.16666666666666666,0.07142857142857142,0.0,0.07142857142857142,8.0,20.25,0.4807692307692308,0.45,0.0,0.5,2.25
#guillaume,0.32051282051282065,0.17643467643467653,0.8547008547008548,0.0006105006105006062,0.2735042735042735,0.4807692307692308,14.694444444444443,0.02094017094017093,0.2735042735042735,0.2735042735042735,1.13034188034188
#olenie,0.8333333333333333,1.9444444444444444,0.02222222222222224,2.1730158730158724,1.1111111111111112,0.45,0.02094017094017093,26.694444444444443,0.711111111111111,0.01111111111111112,0.1388888888888889
#doripe,1.3333333333333333,1.4325396825396826,0.6805555555555554,0.25396825396825395,0.027777777777777804,0.0,0.2735042735042735,0.711111111111111,21.77777777777778,15.340277777777779,2.7222222222222223
#crisere,1.3333333333333333,1.4325396825396826,0.6805555555555554,0.25396825396825395,0.027777777777777804,0.5,0.2735042735042735,0.01111111111111112,15.340277777777779,21.77777777777778,2.7222222222222223
#ormin,0.16666666666666666,0.9603174603174605,0.6944444444444445,0.9603174603174605,2.7222222222222223,2.25,1.13034188034188,0.1388888888888889,2.7222222222222223,2.7222222222222223,34.02777777777778
Successions,#philemon,#tirsis,#polidor,#dorimene,#lisette,#florice,#guillaume,#olenie,#doripe,#crisere,#ormin
#philemon,0.0,0.8,0.13333333333333333,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0
#tirsis,0.19444444444444445,0.0,0.42592592592592593,0.23148148148148148,0.018518518518518517,0.027777777777777776,0.07407407407407407,0.0,0.0,0.018518518518518517,0.009259259259259259
#polidor,0.06779661016949153,0.4067796610169492,0.0,0.2711864406779661,0.0,0.01694915254237288,0.19491525423728814,0.00847457627118644,0.01694915254237288,0.01694915254237288,0.0
#dorimene,0.0,0.2716049382716049,0.4074074074074074,0.0,0.04938271604938271,0.07407407407407407,0.06172839506172839,0.04938271604938271,0.037037037037037035,0.04938271604938271,0.0
#lisette,0.0,0.06,0.02,0.06,0.0,0.72,0.06,0.0,0.02,0.06,0.0
#florice,0.0,0.07692307692307693,0.07692307692307693,0.09615384615384616,0.6730769230769231,0.0,0.0,0.019230769230769232,0.038461538461538464,0.019230769230769232,0.0
#guillaume,0.0392156862745098,0.13725490196078433,0.49019607843137253,0.11764705882352941,0.11764705882352941,0.0,0.0,0.0196078431372549,0.0,0.0784313725490196,0.0
#olenie,0.0,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.0
#doripe,0.0,0.0,0.08333333333333333,0.0,0.05555555555555555,0.027777777777777776,0.08333333333333333,0.05555555555555555,0.0,0.6944444444444444,0.0
#crisere,0.0,0.0,0.043478260869565216,0.13043478260869565,0.021739130434782608,0.043478260869565216,0.06521739130434782,0.10869565217391304,0.5652173913043478,0.0,0.021739130434782608
#ormin,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
