VALEUR,#prologue,#eugene,#messire-jean,#guillaume,#alix,#florimond,#pierre,#arnault,#helene,#matthieu
Fréquences (scènes),0.05,0.45,0.45,0.35,0.15,0.35,0.1,0.3,0.3,0.2
Fréquences(répliques),0.04374364191251272,0.21566632756866735,0.1958290946083418,0.09155645981688708,0.0335707019328586,0.167853509664293,0.002034587995930824,0.13936927772126145,0.0849440488301119,0.0254323499491353
Confrontation,0.0,0.1513157894736842,0.14473684210526316,0.1513157894736842,0.08552631578947369,0.10526315789473684,0.03289473684210526,0.09868421052631579,0.11842105263157894,0.1118421052631579
Déviations,#prologue,#eugene,#messire-jean,#guillaume,#alix,#florimond,#pierre,#arnault,#helene,#matthieu
#prologue,18.049999999999997,0.45,0.45,0.35,0.15,0.35,0.10000000000000002,0.3,0.3,0.20000000000000004
#eugene,0.45,6.050000000000001,2.1487654320987657,0.2293650793650794,0.09074074074074068,1.4674603174603174,0.9,1.0703703703703702,1.9592592592592597,2.688888888888889
#messire-jean,0.45,2.1487654320987657,6.050000000000001,0.2293650793650794,0.3129629629629631,1.4674603174603174,0.9,1.0703703703703702,0.6259259259259262,0.7999999999999999
#guillaume,0.35000000000000003,0.2293650793650794,0.2293650793650794,8.450000000000005,3.621428571428571,0.0826530612244897,0.1285714285714285,0.00476190476190477,0.3857142857142856,4.8285714285714265
#alix,0.15000000000000002,0.09074074074074079,0.31296296296296283,3.6214285714285728,14.450000000000001,0.8595238095238099,1.6333333333333329,1.3444444444444448,0.011111111111111132,0.2666666666666665
#florimond,0.35000000000000003,1.4674603174603174,1.4674603174603174,0.0826530612244897,0.8595238095238095,8.450000000000005,2.4142857142857133,7.242857142857142,0.5761904761904763,0.11428571428571435
#pierre,0.10000000000000002,0.9,0.9,0.12857142857142861,1.633333333333333,2.4142857142857146,16.2,0.2666666666666667,0.6,0.4000000000000001
#arnault,0.30000000000000004,1.0703703703703704,1.0703703703703704,0.004761904761904729,1.3444444444444448,7.2428571428571455,0.2666666666666665,9.8,0.3555555555555554,0.03333333333333339
#helene,0.30000000000000004,1.9592592592592588,0.6259259259259257,0.38571428571428606,0.011111111111111132,0.5761904761904759,0.6000000000000001,0.3555555555555554,9.8,2.699999999999999
#matthieu,0.20000000000000004,2.688888888888889,0.7999999999999999,4.828571428571429,0.2666666666666667,0.11428571428571424,0.4000000000000001,0.03333333333333332,2.7,12.800000000000002
Successions,#prologue,#eugene,#messire-jean,#guillaume,#alix,#florimond,#pierre,#arnault,#helene,#matthieu
#prologue,,,,,,,,,,
#eugene,0.013888888888888888,0.0,0.4861111111111111,0.08333333333333333,0.0,0.027777777777777776,0.0,0.0,0.2916666666666667,0.09722222222222222
#messire-jean,0.0,0.6862745098039216,0.0392156862745098,0.0196078431372549,0.0784313725490196,0.0196078431372549,0.0,0.0,0.1568627450980392,0.0
#guillaume,0.0,0.15384615384615385,0.11538461538461539,0.0,0.5,0.07692307692307693,0.0,0.0,0.038461538461538464,0.11538461538461539
#alix,0.0,0.14285714285714285,0.09523809523809523,0.5714285714285714,0.0,0.14285714285714285,0.047619047619047616,0.0,0.0,0.0
#florimond,0.0,0.0425531914893617,0.0425531914893617,0.02127659574468085,0.06382978723404255,0.0,0.0,0.8085106382978723,0.0,0.02127659574468085
#pierre,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#arnault,0.0,0.02564102564102564,0.0,0.0,0.02564102564102564,0.9230769230769231,0.02564102564102564,0.0,0.0,0.0
#helene,0.0,0.5588235294117647,0.17647058823529413,0.08823529411764706,0.0,0.029411764705882353,0.0,0.029411764705882353,0.0,0.11764705882352941
#matthieu,0.0,0.4666666666666667,0.06666666666666667,0.2,0.0,0.0,0.0,0.0,0.26666666666666666,0.0
