VALEUR,#sulpice,#alcandre,#premier-paysan,#filipin,#mauricette,#constance,#helene,#licaste,#premier-soldat,#second-soldat,#soldat,#le-roi,#isabelle,#sabine,#paysan,#le-prince
Fréquences (scènes),0.3333333333333333,0.4166666666666667,0.027777777777777776,0.2777777777777778,0.1388888888888889,0.4444444444444444,0.08333333333333333,0.2222222222222222,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.3333333333333333,0.3888888888888889,0.1111111111111111,0.027777777777777776,0.08333333333333333
Fréquences(répliques),0.1027327935222672,0.14423076923076922,0.005566801619433198,0.21811740890688258,0.019230769230769232,0.17257085020242915,0.003036437246963563,0.0652834008097166,0.0005060728744939271,0.0020242914979757085,0.005566801619433198,0.09210526315789473,0.12246963562753037,0.016194331983805668,0.005566801619433198,0.02479757085020243
Confrontation,0.12416107382550336,0.13087248322147652,0.006711409395973154,0.1174496644295302,0.06711409395973154,0.09731543624161074,0.030201342281879196,0.06375838926174497,0.010067114093959731,0.010067114093959731,0.016778523489932886,0.11073825503355705,0.12751677852348994,0.03355704697986577,0.003355704697986577,0.050335570469798654
Déviations,#sulpice,#alcandre,#premier-paysan,#filipin,#mauricette,#constance,#helene,#licaste,#premier-soldat,#second-soldat,#soldat,#le-roi,#isabelle,#sabine,#paysan,#le-prince
#sulpice,16.0,0.8,0.3333333333333333,2.1333333333333333,0.06666666666666664,1.020833333333333,0.0,0.041666666666666706,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.25,0.38095238095238076,0.3333333333333334,0.3333333333333333,1.0
#alcandre,0.8,12.25,0.41666666666666663,0.16666666666666655,0.40333333333333315,0.8166666666666672,0.45,1.633333333333333,0.41666666666666663,0.41666666666666663,0.8333333333333333,0.8,0.004761904761904779,0.26666666666666655,0.41666666666666663,0.45
#premier-paysan,0.3333333333333333,0.4166666666666667,34.02777777777778,1.8777777777777775,5.3388888888888895,0.4444444444444444,0.08333333333333333,0.2222222222222222,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.3333333333333333,0.3888888888888889,0.1111111111111111,0.027777777777777776,0.08333333333333333
#filipin,2.1333333333333337,0.16666666666666655,1.8777777777777775,18.77777777777778,4.908888888888889,1.3444444444444446,0.03333333333333337,0.27222222222222214,0.2777777777777778,0.2777777777777778,0.3555555555555555,0.13333333333333347,0.3174603174603175,0.01111111111111112,0.2777777777777778,1.6333333333333337
#mauricette,0.06666666666666674,0.40333333333333315,5.3388888888888895,4.908888888888889,26.694444444444443,0.02222222222222224,0.8166666666666669,1.1111111111111112,0.1388888888888889,0.1388888888888889,0.2777777777777778,0.06666666666666674,0.0015873015873015888,0.5555555555555556,5.3388888888888895,6.016666666666668
#constance,1.020833333333333,0.8166666666666664,0.4444444444444444,1.3444444444444446,0.02222222222222224,11.111111111111112,2.083333333333334,1.8368055555555554,0.4444444444444444,0.4444444444444444,0.8888888888888888,0.3333333333333332,0.7936507936507937,1.7777777777777777,0.4444444444444444,0.0833333333333333
