VALEUR,#thalie,#momus,#philacte,#callitee,#cephale,#l-aurore,#mercure,#une-nymphe,#un-faune,#un-faune #une-nymphe,#procris,#dione,#une-autre-nymphe,#deux-nymphes,#l-amour
Fréquences (scènes),0.02857142857142857,0.02857142857142857,0.5714285714285714,0.37142857142857144,0.3142857142857143,0.22857142857142856,0.14285714285714285,0.08571428571428572,0.05714285714285714,0.02857142857142857,0.14285714285714285,0.2571428571428571,0.02857142857142857,0.02857142857142857,0.02857142857142857
Fréquences(répliques),0.0426506873457878,0.04652802255904124,0.25837151921043355,0.12795206203736342,0.1254846669016567,0.11314769122312301,0.08600634473034896,0.016214310891787098,0.003172365174480085,0.0021149101163200562,0.07472682410997533,0.09376101515685584,0.005639760310186817,0.0028198801550934085,0.0014099400775467042
Confrontation,0.007462686567164179,0.007462686567164179,0.21641791044776118,0.14925373134328357,0.15671641791044777,0.1044776119402985,0.05970149253731343,0.04477611940298507,0.029850746268656716,0.014925373134328358,0.07462686567164178,0.09701492537313433,0.014925373134328358,0.014925373134328358,0.007462686567164179
Déviations,#thalie,#momus,#philacte,#callitee,#cephale,#l-aurore,#mercure,#une-nymphe,#un-faune,#un-faune #une-nymphe,#procris,#dione,#une-autre-nymphe,#deux-nymphes,#l-amour
#thalie,33.02857142857143,33.02857142857143,0.5714285714285714,0.37142857142857144,0.3142857142857143,0.22857142857142856,0.14285714285714285,0.08571428571428572,0.05714285714285714,0.02857142857142857,0.14285714285714285,0.2571428571428571,0.02857142857142857,0.02857142857142857,0.02857142857142857
#thalie,33.02857142857143,33.02857142857143,0.5714285714285714,0.37142857142857144,0.3142857142857143,0.22857142857142856,0.14285714285714285,0.08571428571428572,0.05714285714285714,0.02857142857142857,0.14285714285714285,0.2571428571428571,0.02857142857142857,0.02857142857142857,0.02857142857142857
#philacte,0.5714285714285714,0.5714285714285714,6.4285714285714315,0.024725274725274752,3.535714285714286,0.5401785714285713,2.8571428571428568,0.2976190476190477,0.017857142857142842,0.5714285714285714,0.25714285714285695,0.25396825396825373,0.5714285714285714,0.5714285714285714,0.5714285714285714
#callitee,0.37142857142857144,0.37142857142857144,0.024725274725274655,13.828571428571424,0.0017982017982017854,3.0868131868131865,0.7032967032967036,1.1142857142857143,0.7428571428571429,0.37142857142857144,1.857142857142857,3.3428571428571425,0.37142857142857144,0.37142857142857144,0.37142857142857144
#cephale,0.3142857142857143,0.3142857142857143,3.535714285714286,0.0017982017982017854,16.457142857142856,0.10519480519480517,1.5714285714285714,0.9428571428571428,0.6285714285714286,0.3142857142857143,0.11688311688311691,0.24271284271284257,0.3142857142857143,0.3142857142857143,0.3142857142857143
#l-aurore,0.22857142857142856,0.22857142857142856,0.5401785714285713,3.0868131868131865,0.10519480519480517,20.82857142857143,0.642857142857143,0.6857142857142857,0.45714285714285713,0.22857142857142856,1.1428571428571428,2.057142857142857,0.22857142857142856,0.22857142857142856,2.6035714285714286
#mercure,0.14285714285714285,0.14285714285714285,2.8571428571428568,0.7032967032967032,1.5714285714285714,0.642857142857143,25.714285714285715,0.4285714285714286,0.2857142857142857,0.14285714285714285,0.11428571428571437,0.396825396825397,0.14285714285714285,0.14285714285714285,0.14285714285714285
#une-nymphe,0.08571428571428572,0.08571428571428572,0.29761904761904756,1.1142857142857143,0.9428571428571428,0.6857142857142857,0.42857142857142855,29.257142857142863,19.504761904761903,9.752380952380951,0.42857142857142855,0.7714285714285714,9.752380952380951,9.752380952380951,0.08571428571428572
#un-faune,0.05714285714285714,0.05714285714285714,0.017857142857142842,0.7428571428571429,0.6285714285714286,0.45714285714285713,0.2857142857142857,19.504761904761903,31.114285714285714,15.557142857142857,0.2857142857142857,0.5142857142857142,0.05714285714285714,0.05714285714285714,0.05714285714285714
#un-faune #une-nymphe,0.02857142857142857,0.02857142857142857,0.5714285714285714,0.37142857142857144,0.3142857142857143,0.22857142857142856,0.14285714285714285,9.752380952380951,15.557142857142857,33.02857142857143,0.14285714285714285,0.2571428571428571,0.02857142857142857,0.02857142857142857,0.02857142857142857
#procris,0.14285714285714285,0.14285714285714285,0.25714285714285695,1.8571428571428572,0.11688311688311691,1.1428571428571428,0.11428571428571437,0.4285714285714286,0.2857142857142857,0.14285714285714285,25.714285714285715,10.730158730158731,0.14285714285714285,0.14285714285714285,0.14285714285714285
#dione,0.2571428571428571,0.2571428571428571,0.25396825396825373,3.342857142857143,0.24271284271284257,2.057142857142857,0.396825396825397,0.7714285714285715,0.5142857142857142,0.2571428571428571,10.730158730158731,19.314285714285717,0.2571428571428571,0.2571428571428571,0.2571428571428571
#une-autre-nymphe,0.02857142857142857,0.02857142857142857,0.5714285714285714,0.37142857142857144,0.3142857142857143,0.22857142857142856,0.14285714285714285,9.752380952380951,0.05714285714285714,0.02857142857142857,0.14285714285714285,0.2571428571428571,33.02857142857143,33.02857142857143,0.02857142857142857
#une-autre-nymphe,0.02857142857142857,0.02857142857142857,0.5714285714285714,0.37142857142857144,0.3142857142857143,0.22857142857142856,0.14285714285714285,9.752380952380951,0.05714285714285714,0.02857142857142857,0.14285714285714285,0.2571428571428571,33.02857142857143,33.02857142857143,0.02857142857142857
#l-amour,0.02857142857142857,0.02857142857142857,0.5714285714285714,0.37142857142857144,0.3142857142857143,2.6035714285714286,0.14285714285714285,0.08571428571428572,0.05714285714285714,0.02857142857142857,0.14285714285714285,0.2571428571428571,0.02857142857142857,0.02857142857142857,33.02857142857143
Successions,#thalie,#momus,#philacte,#callitee,#cephale,#l-aurore,#mercure,#une-nymphe,#un-faune,#un-faune #une-nymphe,#procris,#dione,#une-autre-nymphe,#deux-nymphes,#l-amour
#thalie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#momus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#philacte,0.0,0.005555555555555556,0.005555555555555556,0.3611111111111111,0.24444444444444444,0.1111111111111111,0.0,0.0,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.25555555555555554,0.0,0.0,0.0
#callitee,0.0,0.0,0.6,0.008695652173913044,0.06086956521739131,0.14782608695652175,0.1826086956521739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#cephale,0.0,0.0,0.5,0.09183673469387756,0.0,0.11224489795918367,0.0,0.0,0.0,0.0,0.29591836734693877,0.0,0.0,0.0,0.0
#l-aurore,0.0,0.0,0.1728395061728395,0.24691358024691357,0.19753086419753085,0.0,0.35802469135802467,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.012345679012345678
#mercure,0.0,0.0,0.0,0.296875,0.0,0.5,0.0,0.0,0.0,0.0,0.09375,0.109375,0.0,0.0,0.0
#une-nymphe,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0
#un-faune,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-faune #une-nymphe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#procris,0.0,0.0,0.0,0.0,0.48333333333333334,0.0,0.11666666666666667,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
#dione,0.0,0.0,0.5769230769230769,0.0,0.01282051282051282,0.0,0.08974358974358974,0.0,0.0,0.0,0.3076923076923077,0.01282051282051282,0.0,0.0,0.0
#une-autre-nymphe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
#deux-nymphes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#l-amour,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
