VALEUR,#isabelle,#cleante,#pierrot,#pierrrot,#uranie,#la-sylphide,#l-ile-du-divorce #la-foire-des-poetes,#l-ile-du-divorce,#la-foire-des-poetes,#le-gascon,#tourbillon,#le-roi-des-sylphes,#chanteurs-du-divertissement,#chanteurs-du-vaudeville
Fréquences (scènes),0.4,0.6666666666666666,0.4666666666666667,0.06666666666666667,0.8,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667
Fréquences(répliques),0.09333333333333334,0.11555555555555555,0.2311111111111111,0.0,0.26,0.15777777777777777,0.006666666666666667,0.0,0.0,0.09777777777777778,0.0,0.02666666666666667,0.011111111111111112,0.0
Confrontation,0.15254237288135594,0.2033898305084746,0.16101694915254236,0.025423728813559324,0.22033898305084745,0.03389830508474576,0.03389830508474576,0.03389830508474576,0.03389830508474576,0.05084745762711865,0.01694915254237288,0.03389830508474576,0.0,0.0
Déviations,#isabelle,#cleante,#pierrot,#pierrrot,#uranie,#la-sylphide,#l-ile-du-divorce #la-foire-des-poetes,#l-ile-du-divorce,#la-foire-des-poetes,#le-gascon,#tourbillon,#le-roi-des-sylphes,#chanteurs-du-divertissement,#chanteurs-du-vaudeville
#isabelle,5.399999999999998,1.0,1.7285714285714289,0.8999999999999999,0.13333333333333355,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.049999999999999975,0.4000000000000001,0.8999999999999999,0.0,0.4000000000000001
#cleante,1.0,1.6666666666666672,0.023809523809523767,0.1666666666666667,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333334,0.1666666666666667,0.1666666666666667,0.0,0.6666666666666666
#pierrot,1.728571428571428,0.0238095238095239,4.266666666666667,0.6095238095238095,0.028571428571428494,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.00476190476190476,0.4666666666666667,0.6095238095238095,0.0,0.4666666666666667
#pierrrot,0.8999999999999999,0.1666666666666667,0.6095238095238095,13.066666666666668,0.8000000000000002,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667
#uranie,0.13333333333333355,0.0,0.028571428571428623,0.8000000000000002,0.5999999999999992,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.09999999999999995,0.049999999999999975,0.049999999999999975,0.0,0.8000000000000002
#la-sylphide,0.4000000000000001,0.6666666666666666,0.4666666666666667,0.06666666666666667,0.049999999999999975,13.066666666666668,13.066666666666668,13.066666666666668,13.066666666666668,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667
#la-sylphide,0.4000000000000001,0.6666666666666666,0.4666666666666667,0.06666666666666667,0.049999999999999975,13.066666666666668,13.066666666666668,13.066666666666668,13.066666666666668,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667
#la-sylphide,0.4000000000000001,0.6666666666666666,0.4666666666666667,0.06666666666666667,0.049999999999999975,13.066666666666668,13.066666666666668,13.066666666666668,13.066666666666668,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667
#la-sylphide,0.4000000000000001,0.6666666666666666,0.4666666666666667,0.06666666666666667,0.049999999999999975,13.066666666666668,13.066666666666668,13.066666666666668,13.066666666666668,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667
#le-gascon,0.049999999999999975,0.3333333333333334,0.00476190476190476,0.13333333333333333,0.09999999999999995,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,11.266666666666667,0.13333333333333333,0.13333333333333333,0.0,0.13333333333333333
#tourbillon,0.4000000000000001,0.1666666666666667,0.4666666666666667,0.06666666666666667,0.049999999999999975,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,13.066666666666668,0.06666666666666667,0.0,0.06666666666666667
#le-roi-des-sylphes,0.8999999999999999,0.1666666666666667,0.6095238095238095,0.06666666666666667,0.049999999999999975,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,13.066666666666668,0.0,0.06666666666666667
#chanteurs-du-divertissement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#chanteurs-du-vaudeville,0.4000000000000001,0.6666666666666666,0.4666666666666667,0.06666666666666667,0.8000000000000002,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,13.066666666666668
Successions,#isabelle,#cleante,#pierrot,#pierrrot,#uranie,#la-sylphide,#l-ile-du-divorce #la-foire-des-poetes,#l-ile-du-divorce,#la-foire-des-poetes,#le-gascon,#tourbillon,#le-roi-des-sylphes,#chanteurs-du-divertissement,#chanteurs-du-vaudeville
#isabelle,0.0,0.2916666666666667,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0
#cleante,0.2222222222222222,0.0,0.25,0.027777777777777776,0.3055555555555556,0.0,0.0,0.0,0.0,0.19444444444444445,0.0,0.0,0.0,0.0
#pierrot,0.2857142857142857,0.2857142857142857,0.0,0.0,0.32142857142857145,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.07142857142857142,0.0,0.0
#pierrrot,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#uranie,0.08974358974358974,0.14102564102564102,0.11538461538461539,0.0,0.02564102564102564,0.38461538461538464,0.02564102564102564,0.0,0.01282051282051282,0.10256410256410256,0.02564102564102564,0.07692307692307693,0.0,0.0
#la-sylphide,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-sylphide,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-sylphide,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-foire-des-poetes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-gascon,0.058823529411764705,0.47058823529411764,0.0,0.0,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tourbillon,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-roi-des-sylphes,0.125,0.0,0.25,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-sylphide,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#chanteurs-du-vaudeville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
