VALEUR,#angelique,#philis,#doraste,#cleandre,#alidor,#polymas,#lysis,#lycante
Fréquences (scènes),0.3333333333333333,0.4444444444444444,0.2222222222222222,0.3611111111111111,0.3611111111111111,0.027777777777777776,0.08333333333333333,0.05555555555555555
Fréquences(répliques),0.249667994687915,0.21314741035856574,0.0750332005312085,0.11620185922974767,0.31274900398406374,0.010624169986719787,0.013280212483399735,0.009296148738379814
Confrontation,0.14285714285714285,0.25,0.15476190476190477,0.20238095238095238,0.15476190476190477,0.011904761904761904,0.047619047619047616,0.03571428571428571
Déviations,#angelique,#philis,#doraste,#cleandre,#alidor,#polymas,#lysis,#lycante
#angelique,16.0,1.020833333333333,0.1666666666666666,2.564102564102564,0.10256410256410267,1.3333333333333337,1.0,0.6666666666666666
#philis,1.020833333333333,11.111111111111112,0.5868055555555557,0.25854700854700857,2.47008547008547,0.4444444444444444,2.083333333333334,0.013888888888888902
#doraste,0.1666666666666666,0.5868055555555557,21.77777777777778,0.004273504273504277,1.235042735042735,0.2222222222222222,0.6666666666666666,5.444444444444445
#cleandre,2.564102564102564,0.25854700854700857,0.004273504273504277,14.694444444444443,0.019888231426692937,0.3611111111111111,0.006410256410256399,0.7222222222222222
#alidor,0.10256410256410267,2.47008547008547,1.235042735042735,0.019888231426692937,14.694444444444443,0.3611111111111111,1.0833333333333333,0.7222222222222222
#polymas,1.3333333333333337,0.4444444444444444,0.2222222222222222,0.3611111111111111,0.3611111111111111,34.02777777777778,0.08333333333333333,0.05555555555555555
#lysis,1.0,2.083333333333334,0.6666666666666666,0.006410256410256399,1.0833333333333333,0.08333333333333333,30.25,0.16666666666666666
#lycante,0.6666666666666666,0.013888888888888902,5.444444444444445,0.7222222222222222,0.7222222222222222,0.05555555555555555,0.16666666666666666,32.111111111111114
Successions,#angelique,#philis,#doraste,#cleandre,#alidor,#polymas,#lysis,#lycante
#angelique,0.03333333333333333,0.21666666666666667,0.13333333333333333,0.03333333333333333,0.5,0.08333333333333333,0.0,0.0
#philis,0.27586206896551724,0.034482758620689655,0.1896551724137931,0.3103448275862069,0.034482758620689655,0.0,0.15517241379310345,0.0
#doraste,0.28,0.4,0.0,0.16,0.08,0.0,0.0,0.08
#cleandre,0.02,0.36,0.04,0.02,0.52,0.0,0.02,0.02
#alidor,0.4918032786885246,0.04918032786885246,0.03278688524590164,0.4098360655737705,0.0,0.0,0.01639344262295082,0.0
#polymas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lysis,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#lycante,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
