VALEUR,#hector,#nerine,#valere,#geronte,#toutabas,#angelique,#la-comtesse,#laquais,#le-marquis,#laquais-1er,#laquais-2nd,#laquais-3eme,#madame-la-ressource,#dorante,#madame-adam,#monsieur-galonier,#madame-adam #monsieur-galonier
Fréquences (scènes),0.4852941176470588,0.3235294117647059,0.3235294117647059,0.16176470588235295,0.014705882352941176,0.25,0.17647058823529413,0.014705882352941176,0.19117647058823528,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.11764705882352941,0.19117647058823528,0.014705882352941176,0.014705882352941176,0.014705882352941176
Fréquences(répliques),0.23015873015873015,0.12091503267973856,0.1811391223155929,0.0784313725490196,0.024743230625583566,0.06535947712418301,0.08216619981325864,0.00046685340802987864,0.12418300653594772,0.00046685340802987864,0.0009337068160597573,0.002334267040149393,0.0392156862745098,0.0392156862745098,0.004668534080298786,0.005135387488328665,0.00046685340802987864
Confrontation,0.15806451612903225,0.16129032258064516,0.11612903225806452,0.05161290322580645,0.0032258064516129032,0.14516129032258066,0.07096774193548387,0.0032258064516129032,0.06451612903225806,0.0032258064516129032,0.0032258064516129032,0.0032258064516129032,0.08064516129032258,0.0967741935483871,0.012903225806451613,0.012903225806451613,0.012903225806451613
Déviations,#hector,#nerine,#valere,#geronte,#toutabas,#angelique,#la-comtesse,#laquais,#le-marquis,#laquais-1er,#laquais-2nd,#laquais-3eme,#madame-la-ressource,#dorante,#madame-adam,#monsieur-galonier,#madame-adam #monsieur-galonier
#hector,18.01470588235294,2.0483714146815757,3.7453411116512707,0.5172986549991894,0.4852941176470588,2.1893939393939394,5.8235294117647065,0.4852941176470588,0.8449540655423007,0.4852941176470588,0.4852941176470588,0.4852941176470588,0.003565062388591802,0.8449540655423007,0.5459001782531193,0.5459001782531193,0.5459001782531193
#nerine,2.048371414681575,31.11764705882353,2.3821098687408853,0.08774914924647552,0.3235294117647059,20.045454545454547,1.1550802139037428,0.3235294117647059,1.156931303990127,0.3235294117647059,0.3235294117647059,0.3235294117647059,2.247326203208556,5.464623611682438,0.3235294117647059,0.3235294117647059,0.3235294117647059
#valere,3.7453411116512734,2.3821098687408853,31.11764705882353,0.6827904715605252,0.3235294117647059,1.1363636363636365,2.1399286987522284,0.3235294117647059,0.010078157136980596,0.3235294117647059,0.3235294117647059,0.3235294117647059,0.13368983957219255,2.4436445907034137,1.414438502673797,1.414438502673797,1.414438502673797
#geronte,0.5172986549991899,0.08774914924647552,0.6827904715605252,47.779411764705884,4.343582887700535,1.1136363636363635,1.9411764705882355,0.16176470588235295,2.102941176470588,0.16176470588235295,0.16176470588235295,0.16176470588235295,1.2941176470588236,0.005039078568490298,0.16176470588235295,0.16176470588235295,0.16176470588235295
#toutabas,0.4852941176470588,0.3235294117647059,0.3235294117647059,4.343582887700535,66.01470588235296,0.25,0.17647058823529413,0.014705882352941176,0.1911764705882353,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.11764705882352941,0.1911764705882353,0.014705882352941176,0.014705882352941176,0.014705882352941176
#angelique,2.1893939393939394,20.045454545454547,1.1363636363636365,1.1136363636363635,0.25,38.25,3.0,0.25,0.4807692307692308,0.25,0.25,0.25,8.0,4.326923076923077,0.25,0.25,0.25
#la-comtesse,5.823529411764706,1.1550802139037428,2.1399286987522284,1.9411764705882355,0.1764705882352941,3.0,46.11764705882353,3.843137254901961,1.268476621417798,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.2450980392156864,0.03770739064856708,0.1764705882352941,0.1764705882352941,0.1764705882352941
#laquais,0.4852941176470588,0.3235294117647059,0.3235294117647059,0.16176470588235295,0.014705882352941176,0.25,3.8431372549019605,66.01470588235296,0.1911764705882353,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.11764705882352941,0.1911764705882353,0.014705882352941176,0.014705882352941176,0.014705882352941176
