VALEUR,#eurimedon,#pasithee,#archelas,#falante,#tygrane,#alerine,#celiane,#argamor,#lysanor,#melinte
Fréquences (scènes),0.5714285714285714,0.42857142857142855,0.25,0.14285714285714285,0.32142857142857145,0.17857142857142858,0.35714285714285715,0.03571428571428571,0.03571428571428571,0.07142857142857142
Fréquences(répliques),0.33141361256544505,0.16806282722513088,0.1387434554973822,0.04293193717277487,0.11413612565445026,0.016753926701570682,0.13612565445026178,0.0031413612565445027,0.010471204188481676,0.03821989528795811
Confrontation,0.24615384615384617,0.2,0.13076923076923078,0.06153846153846154,0.1,0.06923076923076923,0.12307692307692308,0.007692307692307693,0.015384615384615385,0.046153846153846156
Déviations,#eurimedon,#pasithee,#archelas,#falante,#tygrane,#alerine,#celiane,#argamor,#lysanor,#melinte
#eurimedon,5.142857142857144,2.5029761904761907,0.25,0.035714285714285685,0.892857142857143,0.4571428571428571,0.08928571428571433,0.5714285714285714,0.3214285714285715,0.017857142857142842
#pasithee,2.5029761904761907,9.142857142857146,0.0,0.04761904761904765,0.8941798941798945,3.8095238095238098,1.219047619047619,0.42857142857142855,0.42857142857142855,0.023809523809523826
#archelas,0.25,0.0,15.75,4.0,0.027777777777777776,1.25,0.1,0.25,0.25,4.5
#falante,0.035714285714285685,0.04761904761904765,4.0,20.571428571428577,0.06349206349206353,0.7142857142857143,1.4285714285714286,0.14285714285714285,0.14285714285714285,0.2857142857142857
#tygrane,0.8928571428571425,0.894179894179894,0.027777777777777776,0.06349206349206343,12.89285714285714,1.6071428571428572,0.19206349206349202,0.3214285714285714,0.3214285714285714,0.1984126984126985
#alerine,0.45714285714285746,3.8095238095238098,1.25,0.7142857142857142,1.6071428571428572,18.89285714285714,1.7857142857142858,0.17857142857142855,0.17857142857142855,0.3571428571428571
#celiane,0.08928571428571411,1.219047619047619,0.1,1.4285714285714284,0.19206349206349202,1.7857142857142858,11.571428571428571,1.1571428571428575,1.1571428571428575,0.11428571428571437
#argamor,0.5714285714285714,0.42857142857142855,0.25,0.14285714285714285,0.32142857142857145,0.17857142857142858,1.1571428571428568,26.03571428571429,0.03571428571428571,0.07142857142857142
#lysanor,0.3214285714285715,0.42857142857142855,0.25,0.14285714285714285,0.32142857142857145,0.17857142857142858,1.1571428571428568,0.03571428571428571,26.03571428571429,0.07142857142857142
#melinte,0.017857142857142842,0.023809523809523826,4.5,0.2857142857142857,0.19841269841269835,0.35714285714285715,0.11428571428571427,0.07142857142857142,0.07142857142857142,24.142857142857146
Successions,#eurimedon,#pasithee,#archelas,#falante,#tygrane,#alerine,#celiane,#argamor,#lysanor,#melinte
#eurimedon,0.010638297872340425,0.5212765957446809,0.22340425531914893,0.0,0.0425531914893617,0.010638297872340425,0.1702127659574468,0.0,0.010638297872340425,0.010638297872340425
#pasithee,0.7246376811594203,0.0,0.08695652173913043,0.0,0.07246376811594203,0.10144927536231885,0.014492753623188406,0.0,0.0,0.0
#archelas,0.41509433962264153,0.11320754716981132,0.018867924528301886,0.18867924528301888,0.07547169811320754,0.0,0.03773584905660377,0.0,0.0,0.1509433962264151
#falante,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
#tygrane,0.08333333333333333,0.2222222222222222,0.1111111111111111,0.1388888888888889,0.0,0.0,0.4444444444444444,0.0,0.0,0.0
#alerine,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#celiane,0.325,0.0,0.05,0.0,0.45,0.0,0.0,0.125,0.025,0.025
#argamor,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#lysanor,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#melinte,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
