VALEUR,#fanchon,#oronte,#le-poete,#le-clerc,#dorante,#angelique,#belise,#le-marquis,#l-intendant,#le-tailleur,#lolive,#le-senechal,#la-comtesse
Fréquences (scènes),0.6170212765957447,0.2978723404255319,0.2765957446808511,0.02127659574468085,0.23404255319148937,0.10638297872340426,0.0851063829787234,0.3829787234042553,0.06382978723404255,0.02127659574468085,0.0425531914893617,0.06382978723404255,0.10638297872340426
Fréquences(répliques),0.020618556701030927,0.0,0.8762886597938144,0.0,0.0,0.0,0.020618556701030927,0.08247422680412371,0.0,0.0,0.0,0.0,0.0
Confrontation,0.24390243902439024,0.12804878048780488,0.13414634146341464,0.012195121951219513,0.10975609756097561,0.036585365853658534,0.042682926829268296,0.16463414634146342,0.03048780487804878,0.012195121951219513,0.018292682926829267,0.024390243902439025,0.042682926829268296
Déviations,#fanchon,#oronte,#le-poete,#le-clerc,#dorante,#angelique,#belise,#le-marquis,#l-intendant,#le-tailleur,#lolive,#le-senechal,#la-comtesse
#fanchon,6.893617021276593,0.31071166544387374,0.1194198318189515,0.23771093176815844,0.2167011271926898,0.3816581071166545,0.11463683052090974,2.347762289068232,1.851063829787234,0.6170212765957447,0.4754218635363169,1.851063829787234,0.3816581071166545
#oronte,0.31071166544387374,23.17021276595745,0.3283843815758709,1.6550151975683893,0.02334899143409783,1.4893617021276595,1.1914893617021276,0.3458291117865587,0.012664640324214804,0.2978723404255319,0.5957446808510638,0.8936170212765957,1.4893617021276595
#le-poete,0.1194198318189515,0.3283843815758709,24.595744680851062,0.2765957446808511,0.000595149531319752,1.3829787234042554,0.7217675941080195,0.786415711947627,0.8297872340425532,0.2765957446808511,0.5531914893617021,0.8297872340425532,1.3829787234042554
#le-clerc,0.23771093176815844,1.6550151975683893,0.2765957446808511,45.02127659574468,0.23404255319148937,0.10638297872340424,0.0851063829787234,0.38297872340425526,0.06382978723404255,0.02127659574468085,0.0425531914893617,0.06382978723404255,0.10638297872340424
#dorante,0.2167011271926898,0.023348991434097754,0.000595149531319752,0.23404255319148937,27.574468085106393,0.02475822050290136,0.9361702127659575,1.1622609069417575,0.702127659574468,0.23404255319148937,0.604448742746615,0.702127659574468,1.1702127659574468
#angelique,0.3816581071166545,1.4893617021276595,1.3829787234042554,0.10638297872340424,0.02475822050290136,37.53191489361703,5.8255319148936175,0.4371158392434987,0.3191489361702127,0.10638297872340424,0.21276595744680848,0.3191489361702127,0.5319148936170213
#belise,0.11463683052090974,1.1914893617021276,0.7217675941080195,0.0851063829787234,0.9361702127659575,5.8255319148936175,39.340425531914896,1.531914893617021,0.2553191489361702,0.0851063829787234,0.1702127659574468,0.2553191489361702,0.42553191489361697
#le-marquis,2.347762289068232,0.3458291117865587,0.786415711947627,0.38297872340425526,1.1622609069417584,0.4371158392434989,1.531914893617021,17.893617021276597,2.9822695035461,0.9940898345153664,0.7659574468085105,2.9822695035461,2.2704491725768317
#l-intendant,1.8510638297872337,0.01266464032421483,0.8297872340425531,0.06382978723404255,0.702127659574468,0.3191489361702127,0.2553191489361702,2.9822695035461,41.19148936170214,13.730496453900711,0.1276595744680851,0.1914893617021276,0.3191489361702127
#le-tailleur,0.6170212765957447,0.2978723404255319,0.2765957446808511,0.02127659574468085,0.23404255319148937,0.10638297872340424,0.0851063829787234,0.9940898345153664,13.730496453900711,45.02127659574468,0.0425531914893617,0.06382978723404255,0.10638297872340424
#lolive,0.4754218635363169,0.5957446808510638,0.5531914893617021,0.0425531914893617,0.604448742746615,0.21276595744680848,0.1702127659574468,0.7659574468085105,0.1276595744680851,0.0425531914893617,43.08510638297873,0.1276595744680851,0.21276595744680848
#le-senechal,1.8510638297872337,0.8936170212765955,0.8297872340425531,0.06382978723404255,0.702127659574468,0.3191489361702127,0.2553191489361702,2.9822695035461,0.1914893617021276,0.06382978723404255,0.1276595744680851,41.19148936170214,1.4524822695035466
#la-comtesse,0.3816581071166545,1.4893617021276595,1.3829787234042554,0.10638297872340424,1.1702127659574468,0.5319148936170213,0.42553191489361697,2.2704491725768325,0.3191489361702127,0.10638297872340424,0.21276595744680848,1.4524822695035466,37.53191489361703
Successions,#fanchon,#oronte,#le-poete,#le-clerc,#dorante,#angelique,#belise,#le-marquis,#l-intendant,#le-tailleur,#lolive,#le-senechal,#la-comtesse
#fanchon,0.01282051282051282,0.2692307692307692,0.14102564102564102,0.0,0.14102564102564102,0.02564102564102564,0.10897435897435898,0.21794871794871795,0.0,0.0,0.07692307692307693,0.0,0.00641025641025641
#oronte,0.4230769230769231,0.0,0.2403846153846154,0.009615384615384616,0.14423076923076922,0.0,0.0,0.18269230769230768,0.0,0.0,0.0,0.0,0.0
#le-poete,0.3,0.35,0.0,0.0,0.025,0.0,0.1375,0.1875,0.0,0.0,0.0,0.0,0.0
#le-clerc,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#dorante,0.26506024096385544,0.14457831325301204,0.024096385542168676,0.0,0.0,0.12048192771084337,0.0,0.24096385542168675,0.0,0.0,0.20481927710843373,0.0,0.0
