VALEUR,#laforet,#chapelle,#moliere,#mignard,#despreaux,#lulli,#la-fontaine,#tous,#isabelle
Fréquences (scènes),0.47368421052631576,0.7368421052631579,0.631578947368421,0.47368421052631576,0.42105263157894735,0.3684210526315789,0.42105263157894735,0.10526315789473684,0.15789473684210525
Fréquences(répliques),0.11411992263056092,0.2504835589941973,0.20502901353965183,0.04448742746615087,0.10735009671179883,0.11218568665377177,0.1286266924564797,0.0019342359767891683,0.035783365570599614
Confrontation,0.08163265306122448,0.16326530612244897,0.1360544217687075,0.14625850340136054,0.13945578231292516,0.1292517006802721,0.11224489795918367,0.04421768707482993,0.047619047619047616
Déviations,#laforet,#chapelle,#moliere,#mignard,#despreaux,#lulli,#la-fontaine,#tous,#isabelle
#laforet,5.263157894736844,0.0601503759398495,0.4990253411306042,0.374269005847953,0.16447368421052624,0.03007518796992475,0.16447368421052624,1.1695906432748542,1.4210526315789473
#chapelle,0.0601503759398495,1.3157894736842104,0.002819548872180485,0.8458646616541359,0.7518796992481206,0.6578947368421052,0.13580827067669166,0.18796992481203015,0.020050125313283165
#moliere,0.4990253411306042,0.002819548872180485,2.5789473684210535,0.3045808966861599,0.17763157894736853,0.07581453634085225,0.0005482456140350819,0.05482456140350875,0.6447368421052634
#mignard,0.374269005847953,0.8458646616541359,0.3045808966861599,5.263157894736844,4.678362573099417,4.093567251461989,0.38669590643274865,1.1695906432748542,0.2358674463937622
#despreaux,0.16447368421052624,0.7518796992481206,0.17763157894736853,4.678362573099417,6.36842105263158,5.572368421052631,0.7902960526315792,1.592105263157895,0.4298245614035089
#lulli,0.03007518796992475,0.6578947368421052,0.07581453634085225,4.093567251461989,5.572368421052631,7.57894736842105,1.4295112781954888,2.1654135338345863,0.7243107769423561
#la-fontaine,0.16447368421052624,0.13580827067669166,0.0005482456140350819,0.38669590643274865,0.7902960526315792,1.4295112781954888,6.36842105263158,1.592105263157895,2.3881578947368425
#tous,1.1695906432748542,0.18796992481203015,0.05482456140350875,1.1695906432748542,1.592105263157895,2.1654135338345863,1.592105263157895,15.210526315789474,0.3157894736842105
#isabelle,1.4210526315789473,0.020050125313283165,0.6447368421052634,0.2358674463937622,0.4298245614035089,0.7243107769423561,2.3881578947368425,0.3157894736842105,13.473684210526315
Successions,#laforet,#chapelle,#moliere,#mignard,#despreaux,#lulli,#la-fontaine,#tous,#isabelle
#laforet,0.0,0.6829268292682927,0.07317073170731707,0.04878048780487805,0.0,0.024390243902439025,0.14634146341463414,0.024390243902439025,0.0
#chapelle,0.2815533980582524,0.009708737864077669,0.2621359223300971,0.07766990291262135,0.0970873786407767,0.17475728155339806,0.05825242718446602,0.0,0.038834951456310676
#moliere,0.04054054054054054,0.36486486486486486,0.0,0.06756756756756757,0.12162162162162163,0.10810810810810811,0.17567567567567569,0.0,0.12162162162162163
#mignard,0.0,0.25,0.28125,0.0,0.15625,0.15625,0.125,0.03125,0.0
#despreaux,0.02631578947368421,0.18421052631578946,0.18421052631578946,0.2631578947368421,0.0,0.07894736842105263,0.23684210526315788,0.0,0.02631578947368421
#lulli,0.023255813953488372,0.5116279069767442,0.09302325581395349,0.11627906976744186,0.18604651162790697,0.0,0.046511627906976744,0.0,0.023255813953488372
#la-fontaine,0.13953488372093023,0.11627906976744186,0.32558139534883723,0.046511627906976744,0.13953488372093023,0.18604651162790697,0.023255813953488372,0.0,0.023255813953488372
#tous,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#isabelle,0.0625,0.25,0.625,0.0,0.0,0.0,0.0625,0.0,0.0
