VALEUR,#frontin,#lisette,#lourdis,#madame-lourdis,#valere,#finot-fils,#madame-finot,#angelique,#bonne-foi
Fréquences (scènes),0.9230769230769231,0.6923076923076923,0.7692307692307693,0.38461538461538464,0.7692307692307693,0.5384615384615384,0.38461538461538464,0.15384615384615385,0.07692307692307693
Fréquences(répliques),0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.3333333333333333,0.0,0.13333333333333333,0.0
Confrontation,0.15693430656934307,0.13503649635036497,0.16058394160583941,0.09854014598540146,0.145985401459854,0.13138686131386862,0.10218978102189781,0.043795620437956206,0.025547445255474453
Déviations,#frontin,#lisette,#lourdis,#madame-lourdis,#valere,#finot-fils,#madame-finot,#angelique,#bonne-foi
#frontin,0.07692307692307697,0.011396011396011317,0.005769230769230816,0.08205128205128218,0.06410256410256394,0.03296703296703298,0.08205128205128218,0.38782051282051294,0.006410256410256401
#lisette,0.011396011396011445,1.2307692307692306,0.0008547008547008486,0.08376068376068373,0.12307692307692314,0.004884004884004906,0.08376068376068373,0.27350427350427353,0.13675213675213677
#lourdis,0.005769230769230816,0.0008547008547008486,0.6923076923076922,0.3461538461538461,0.01230769230769229,0.48461538461538495,0.3461538461538461,0.1384615384615384,0.0692307692307692
#madame-lourdis,0.08205128205128218,0.08376068376068373,0.3461538461538461,4.9230769230769225,0.006153846153846145,0.6351648351648355,0.6030769230769231,1.9692307692307693,0.9846153846153847
#valere,0.06410256410256394,0.12307692307692314,0.01230769230769229,0.006153846153846145,0.6923076923076922,0.07032967032967045,0.006153846153846145,0.1884615384615385,0.0692307692307692
#finot-fils,0.03296703296703298,0.004884004884004906,0.4846153846153844,0.6351648351648349,0.07032967032967023,2.7692307692307696,1.9780219780219774,0.7912087912087908,0.3956043956043954
#madame-finot,0.08205128205128218,0.08376068376068373,0.3461538461538461,0.6030769230769231,0.006153846153846145,1.9780219780219788,4.9230769230769225,1.9692307692307693,0.9846153846153847
#angelique,0.38782051282051294,0.27350427350427353,0.1384615384615384,1.9692307692307693,0.1884615384615385,0.7912087912087914,1.9692307692307693,9.307692307692307,0.15384615384615385
#bonne-foi,0.006410256410256401,0.13675213675213677,0.0692307692307692,0.9846153846153847,0.0692307692307692,0.3956043956043957,0.9846153846153847,0.15384615384615385,11.076923076923078
Successions,#frontin,#lisette,#lourdis,#madame-lourdis,#valere,#finot-fils,#madame-finot,#angelique,#bonne-foi
#frontin,0.0,0.21428571428571427,0.5,0.08333333333333333,0.08333333333333333,0.03571428571428571,0.07142857142857142,0.0,0.011904761904761904
#lisette,0.391304347826087,0.0,0.21739130434782608,0.06521739130434782,0.021739130434782608,0.1956521739130435,0.043478260869565216,0.06521739130434782,0.0
#lourdis,0.46236559139784944,0.12903225806451613,0.010752688172043012,0.053763440860215055,0.07526881720430108,0.12903225806451613,0.021505376344086023,0.043010752688172046,0.07526881720430108
#madame-lourdis,0.43478260869565216,0.043478260869565216,0.2608695652173913,0.0,0.13043478260869565,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0
#valere,0.18518518518518517,0.07407407407407407,0.4074074074074074,0.2222222222222222,0.0,0.0,0.0,0.037037037037037035,0.07407407407407407
#finot-fils,0.14814814814814814,0.18518518518518517,0.2222222222222222,0.037037037037037035,0.14814814814814814,0.0,0.2222222222222222,0.037037037037037035,0.0
#madame-finot,0.058823529411764705,0.17647058823529413,0.47058823529411764,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.0,0.0,0.058823529411764705
#angelique,0.0,0.4,0.3,0.0,0.3,0.0,0.0,0.0,0.0
#bonne-foi,0.2727272727272727,0.09090909090909091,0.5454545454545454,0.0,0.09090909090909091,0.0,0.0,0.0,0.0
