VALEUR,#jacinte,#angelique,#jocrisse,#grognard,#le-clerc,#le-soldat,#barbe,#le-rotisseur,#leandre
Fréquences (scènes),0.7777777777777778,0.7222222222222222,0.2777777777777778,0.5555555555555556,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.1111111111111111
Fréquences(répliques),0.21587301587301588,0.2365079365079365,0.07142857142857142,0.23333333333333334,0.007936507936507936,0.17936507936507937,0.004761904761904762,0.015873015873015872,0.03492063492063492
Confrontation,0.2413793103448276,0.2413793103448276,0.06896551724137931,0.16379310344827586,0.017241379310344827,0.06896551724137931,0.09482758620689655,0.034482758620689655,0.06896551724137931
Déviations,#jacinte,#angelique,#jocrisse,#grognard,#le-clerc,#le-soldat,#barbe,#le-rotisseur,#leandre
#jacinte,0.8888888888888886,0.07814407814407821,0.9174603174603178,0.4063492063492067,0.7777777777777776,0.12698412698412712,0.1904761904761907,0.12698412698412712,0.12698412698412712
#angelique,0.07814407814407821,1.3888888888888884,0.7188034188034188,0.20683760683760685,0.7222222222222222,0.2136752136752137,0.32051282051282065,0.2136752136752137,0.2136752136752137
#jocrisse,0.9174603174603174,0.7188034188034188,9.38888888888889,0.017777777777777795,1.8777777777777775,0.5555555555555556,0.8333333333333333,0.5555555555555556,0.5555555555555556
#grognard,0.40634920634920635,0.20683760683760685,0.017777777777777795,3.5555555555555562,0.3555555555555555,0.01111111111111112,0.26666666666666655,1.1111111111111112,0.01111111111111112
#le-clerc,0.7777777777777778,0.7222222222222222,1.8777777777777775,0.3555555555555555,16.055555555555557,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.1111111111111111
#le-soldat,0.12698412698412698,0.2136752136752137,0.5555555555555556,0.01111111111111112,0.1111111111111111,14.222222222222221,8.333333333333336,0.2222222222222222,2.7222222222222223
#barbe,0.19047619047619038,0.32051282051282065,0.8333333333333334,0.2666666666666667,0.16666666666666666,8.333333333333336,12.5,0.3333333333333333,8.333333333333336
#le-rotisseur,0.12698412698412698,0.2136752136752137,0.5555555555555556,1.1111111111111112,0.1111111111111111,0.2222222222222222,0.3333333333333333,14.222222222222221,0.2222222222222222
#leandre,0.12698412698412698,0.2136752136752137,0.5555555555555556,0.01111111111111112,0.1111111111111111,2.7222222222222223,8.333333333333336,0.2222222222222222,14.222222222222221
Successions,#jacinte,#angelique,#jocrisse,#grognard,#le-clerc,#le-soldat,#barbe,#le-rotisseur,#leandre
#jacinte,0.013333333333333334,0.4266666666666667,0.06666666666666667,0.2,0.0,0.16,0.0,0.10666666666666667,0.02666666666666667
#angelique,0.35051546391752575,0.0,0.030927835051546393,0.3711340206185567,0.0,0.1134020618556701,0.020618556701030927,0.010309278350515464,0.10309278350515463
#jocrisse,0.2631578947368421,0.10526315789473684,0.0,0.631578947368421,0.0,0.0,0.0,0.0,0.0
#grognard,0.14606741573033707,0.4943820224719101,0.12359550561797752,0.0,0.0449438202247191,0.16853932584269662,0.0,0.0,0.02247191011235955
#le-clerc,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#le-soldat,0.325,0.125,0.0,0.525,0.0,0.0,0.025,0.0,0.0
#barbe,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
#le-rotisseur,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#leandre,0.07142857142857142,0.8571428571428571,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0
