VALEUR,#la-marquise,#darmant,#robinson,#clarice,#le-mylord,#le-valet,#le-bordelais,#sudmer,#tous
Fréquences (scènes),0.34782608695652173,0.391304347826087,0.08695652173913043,0.30434782608695654,0.6086956521739131,0.08695652173913043,0.043478260869565216,0.34782608695652173,0.043478260869565216
Fréquences(répliques),0.24253075571177504,0.19507908611599298,0.05975395430579965,0.09402460456942004,0.2390158172231986,0.0017574692442882249,0.0035149384885764497,0.16432337434094904,0.0
Confrontation,0.14444444444444443,0.16666666666666666,0.05555555555555555,0.15555555555555556,0.24444444444444444,0.022222222222222223,0.022222222222222223,0.16666666666666666,0.022222222222222223
Déviations,#la-marquise,#darmant,#robinson,#clarice,#le-mylord,#le-valet,#le-bordelais,#sudmer,#tous
#la-marquise,9.782608695652174,1.1165458937198065,0.1331521739130435,0.07763975155279508,0.7177795031055902,0.6956521739130435,1.2228260869565217,1.1419836956521738,0.34782608695652173
#darmant,1.1165458937198072,8.52173913043478,0.060386473429951744,0.024844720496894377,1.1211180124223605,0.7826086956521738,0.3913043478260869,0.005434782608695627,0.3913043478260869
#robinson,0.1331521739130435,0.06038647342995167,19.17391304347826,0.2515527950310558,0.03881987577639754,0.17391304347826086,0.08695652173913043,0.1331521739130435,0.08695652173913043
#clarice,0.07763975155279508,0.024844720496894377,0.2515527950310558,11.130434782608695,0.1282165039929014,0.6086956521739131,0.30434782608695654,0.13121118012422353,0.30434782608695654
#le-mylord,0.7177795031055902,1.1211180124223605,0.03881987577639754,0.1282165039929014,3.5217391304347814,0.5031055900621116,0.2515527950310558,0.26242236024844706,0.2515527950310558
#le-valet,0.6956521739130435,0.782608695652174,0.17391304347826086,0.6086956521739131,0.5031055900621116,19.17391304347826,0.08695652173913043,0.6956521739130435,0.08695652173913043
#le-bordelais,1.2228260869565217,0.391304347826087,0.08695652173913043,0.30434782608695654,0.2515527950310558,0.08695652173913043,21.043478260869566,0.34782608695652173,0.043478260869565216
#sudmer,1.1419836956521738,0.005434782608695662,0.1331521739130435,0.13121118012422353,0.26242236024844706,0.6956521739130435,0.34782608695652173,9.782608695652174,1.2228260869565217
#tous,0.34782608695652173,0.391304347826087,0.08695652173913043,0.30434782608695654,0.2515527950310558,0.08695652173913043,0.043478260869565216,1.2228260869565217,21.043478260869566
Successions,#la-marquise,#darmant,#robinson,#clarice,#le-mylord,#le-valet,#le-bordelais,#sudmer,#tous
#la-marquise,0.031746031746031744,0.23809523809523808,0.1111111111111111,0.031746031746031744,0.5396825396825397,0.0,0.015873015873015872,0.031746031746031744,0.0
#darmant,0.225,0.0125,0.0875,0.25,0.25,0.0,0.0,0.175,0.0
#robinson,0.21428571428571427,0.2857142857142857,0.0,0.0,0.32142857142857145,0.0,0.0,0.17857142857142858,0.0
#clarice,0.046511627906976744,0.4418604651162791,0.0,0.0,0.4186046511627907,0.0,0.0,0.09302325581395349,0.0
#le-mylord,0.2909090909090909,0.2,0.08181818181818182,0.14545454545454545,0.0,0.01818181818181818,0.02727272727272727,0.22727272727272727,0.00909090909090909
#le-valet,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#le-bordelais,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0
#sudmer,0.038461538461538464,0.28846153846153844,0.09615384615384616,0.09615384615384616,0.46153846153846156,0.0,0.0,0.019230769230769232,0.0
#tous,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
