VALEUR,#michau,#antoinette,#michau #antoinette,#furibon,#furibon #antoinette #michau,#patau,#françoise,#thibaut,#furet
Fréquences (scènes),0.5789473684210527,0.7894736842105263,0.05263157894736842,0.42105263157894735,0.05263157894736842,0.21052631578947367,0.10526315789473684,0.21052631578947367,0.05263157894736842
Fréquences(répliques),0.24386724386724387,0.33044733044733043,0.008658008658008658,0.2178932178932179,0.004329004329004329,0.07792207792207792,0.027417027417027416,0.05627705627705628,0.03318903318903319
Confrontation,0.24444444444444444,0.25555555555555554,0.022222222222222223,0.18888888888888888,0.03333333333333333,0.1,0.03333333333333333,0.08888888888888889,0.03333333333333333
Déviations,#michau,#antoinette,#michau #antoinette,#furibon,#furibon #antoinette #michau,#patau,#françoise,#thibaut,#furet
#michau,3.368421052631579,0.053907496012759154,0.30622009569377984,0.08612440191387565,0.30622009569377984,0.20215311004784683,1.1578947368421053,1.2248803827751193,0.30622009569377984
#antoinette,0.053907496012759154,0.8421052631578942,0.05614035087719297,0.015789473684210537,0.05614035087719297,0.424561403508772,0.11228070175438594,0.424561403508772,0.05614035087719297
#michau #antoinette,0.30622009569377984,0.05614035087719297,17.05263157894737,0.42105263157894735,0.05263157894736842,0.21052631578947367,0.10526315789473684,0.21052631578947367,0.05263157894736842
#furibon,0.08612440191387565,0.015789473684210537,0.42105263157894735,6.36842105263158,0.7960526315789475,1.0279605263157898,0.029605263157894756,0.2779605263157894,0.7960526315789475
#furibon #antoinette #michau,0.30622009569377984,0.05614035087719297,0.05263157894736842,0.7960526315789475,17.05263157894737,0.21052631578947367,0.10526315789473684,0.21052631578947367,0.05263157894736842
#patau,0.20215311004784683,0.424561403508772,0.21052631578947367,1.0279605263157898,0.21052631578947367,11.842105263157896,0.42105263157894735,0.029605263157894756,0.21052631578947367
#françoise,1.1578947368421053,0.11228070175438594,0.10526315789473684,0.029605263157894756,0.10526315789473684,0.42105263157894735,15.210526315789474,0.42105263157894735,0.10526315789473684
#thibaut,1.2248803827751193,0.424561403508772,0.21052631578947367,0.2779605263157894,0.21052631578947367,0.029605263157894756,0.42105263157894735,11.842105263157896,0.21052631578947367
#furet,0.30622009569377984,0.05614035087719297,0.05263157894736842,0.7960526315789475,0.05263157894736842,0.21052631578947367,0.10526315789473684,0.21052631578947367,17.05263157894737
Successions,#michau,#antoinette,#michau #antoinette,#furibon,#furibon #antoinette #michau,#patau,#françoise,#thibaut,#furet
#michau,0.05714285714285714,0.5142857142857142,0.02857142857142857,0.08571428571428572,0.0,0.08571428571428572,0.0,0.2,0.02857142857142857
#antoinette,0.4444444444444444,0.0,0.022222222222222223,0.35555555555555557,0.0,0.022222222222222223,0.13333333333333333,0.0,0.022222222222222223
#michau #antoinette,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#furibon,0.030303030303030304,0.48484848484848486,0.030303030303030304,0.0,0.030303030303030304,0.3333333333333333,0.030303030303030304,0.0,0.06060606060606061
#furibon #antoinette #michau,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#patau,0.2,0.06666666666666667,0.0,0.6666666666666666,0.0,0.0,0.0,0.06666666666666667,0.0
#françoise,0.0,0.8571428571428571,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
#thibaut,0.875,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0
#furet,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
