VALEUR,#zulemar,#osmar,#abendax,#abderamen,#fatime,#alamir,#gazul,#zindarise
Fréquences (scènes),0.5428571428571428,0.17142857142857143,0.11428571428571428,0.2571428571428571,0.22857142857142856,0.4,0.05714285714285714,0.02857142857142857
Fréquences(répliques),0.35154707044107963,0.031599736668861095,0.053982883475971036,0.1619486504279131,0.1382488479262673,0.22646477946017116,0.013166556945358789,0.02304147465437788
Confrontation,0.2833333333333333,0.08333333333333333,0.06666666666666667,0.15,0.15,0.21666666666666667,0.03333333333333333,0.016666666666666666
Déviations,#zulemar,#osmar,#abendax,#abderamen,#fatime,#alamir,#gazul,#zindarise
#zulemar,7.314285714285718,0.4852130325814536,1.5398496240601507,0.7278195488721801,0.02706766917293228,1.7052631578947373,1.0857142857142856,0.5428571428571428
#osmar,0.4852130325814536,24.028571428571432,0.6857142857142857,0.1910052910052909,1.3714285714285714,0.06666666666666678,0.34285714285714286,0.17142857142857143
#abendax,1.5398496240601507,0.6857142857142857,27.457142857142856,1.0285714285714285,0.9142857142857143,1.6000000000000003,0.22857142857142856,0.11428571428571428
#abderamen,0.7278195488721801,0.19100529100529107,1.0285714285714285,19.314285714285717,0.0015873015873015762,0.10000000000000002,0.5142857142857142,0.2571428571428571
#fatime,0.02706766917293228,1.3714285714285714,0.9142857142857143,0.0015873015873015762,20.82857142857143,0.4500000000000001,0.45714285714285713,2.6035714285714286
#alamir,1.7052631578947366,0.06666666666666664,1.5999999999999999,0.0999999999999999,0.4499999999999998,12.599999999999994,1.8000000000000007,0.39999999999999997
#gazul,1.0857142857142856,0.34285714285714286,0.22857142857142856,0.5142857142857142,0.45714285714285713,1.7999999999999998,31.114285714285714,0.05714285714285714
#zindarise,0.5428571428571428,0.17142857142857143,0.11428571428571428,0.2571428571428571,2.6035714285714286,0.4000000000000001,0.05714285714285714,33.02857142857143
Successions,#zulemar,#osmar,#abendax,#abderamen,#fatime,#alamir,#gazul,#zindarise
#zulemar,0.10909090909090909,0.05454545454545454,0.2545454545454545,0.16363636363636364,0.21818181818181817,0.2,0.0,0.0
#osmar,0.3,0.0,0.0,0.1,0.0,0.6,0.0,0.0
#abendax,0.8666666666666667,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0
#abderamen,0.27586206896551724,0.034482758620689655,0.034482758620689655,0.10344827586206896,0.20689655172413793,0.3103448275862069,0.0,0.034482758620689655
#fatime,0.4444444444444444,0.037037037037037035,0.0,0.18518518518518517,0.0,0.25925925925925924,0.037037037037037035,0.037037037037037035
#alamir,0.3333333333333333,0.1282051282051282,0.0,0.23076923076923078,0.20512820512820512,0.0,0.10256410256410256,0.0
#gazul,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#zindarise,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
