VALEUR,#la-folie,#la-raison,#damon,#le-bourgeois,#la-vieille,#le-philosophe,#le-suisse,#la-mere,#la-fille,#l-amant,#la-fille #l-amant
Fréquences (scènes),0.21428571428571427,0.9285714285714286,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07142857142857142
Fréquences(répliques),0.10894020130254589,0.3700414446417999,0.11545293072824156,0.054470100651272946,0.08999407933688573,0.06927175843694494,0.10242747187685021,0.037892243931320305,0.023090586145648313,0.027235050325636473,0.0011841326228537595
Confrontation,0.047619047619047616,0.30952380952380953,0.047619047619047616,0.047619047619047616,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.09523809523809523
Déviations,#la-folie,#la-raison,#damon,#le-bourgeois,#la-vieille,#le-philosophe,#le-suisse,#la-mere,#la-fille,#l-amant,#la-fille #l-amant
#la-folie,8.642857142857144,0.22161172161172157,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.42857142857142855,0.42857142857142855,0.21428571428571427,0.21428571428571427
#la-raison,0.22161172161172157,0.07142857142857147,0.005494505494505508,0.005494505494505508,0.005494505494505508,0.005494505494505508,0.005494505494505508,0.010989010989011016,0.010989010989011016,0.005494505494505508,0.005494505494505508
#damon,0.21428571428571427,0.005494505494505489,12.071428571428573,12.071428571428573,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07142857142857142
#damon,0.21428571428571427,0.005494505494505489,12.071428571428573,12.071428571428573,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07142857142857142
#la-vieille,0.21428571428571427,0.005494505494505489,0.07142857142857142,0.07142857142857142,12.071428571428573,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07142857142857142
#le-philosophe,0.21428571428571427,0.005494505494505489,0.07142857142857142,0.07142857142857142,0.07142857142857142,12.071428571428573,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07142857142857142
#le-suisse,0.21428571428571427,0.005494505494505489,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,12.071428571428573,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07142857142857142
#la-mere,0.42857142857142855,0.010989010989010978,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,10.285714285714288,10.285714285714288,5.142857142857144,5.142857142857144
#la-mere,0.42857142857142855,0.010989010989010978,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,10.285714285714288,10.285714285714288,5.142857142857144,5.142857142857144
#l-amant,0.21428571428571427,0.005494505494505489,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,5.142857142857144,5.142857142857144,12.071428571428573,12.071428571428573
#l-amant,0.21428571428571427,0.005494505494505489,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,5.142857142857144,5.142857142857144,12.071428571428573,12.071428571428573
Successions,#la-folie,#la-raison,#damon,#le-bourgeois,#la-vieille,#le-philosophe,#le-suisse,#la-mere,#la-fille,#l-amant,#la-fille #l-amant
#la-folie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-raison,0.08227848101265822,0.006329113924050633,0.13291139240506328,0.16455696202531644,0.18354430379746836,0.13291139240506328,0.12658227848101267,0.08227848101265822,0.06329113924050633,0.0189873417721519,0.006329113924050633
#la-folie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-folie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-folie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-folie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-folie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-mere,0.0,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0625,0.0
#la-fille,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0
#l-amant,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
#la-fille #l-amant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
