VALEUR,#leandre,#hero,#leandre #hero,#choeur-de-pretresses-de-venus,#le-choeur,#choeur-de-matelots,#choeur-d-habitants,#neptune,#choeur-de-divinites-de-la-mer,#ensemble
Fréquences (scènes),0.375,0.75,0.25,0.125,0.125,0.125,0.125,0.25,0.125,0.125
Fréquences(répliques),0.2807017543859649,0.34502923976608185,0.1111111111111111,0.011695906432748537,0.10526315789473684,0.029239766081871343,0.005847953216374269,0.08187134502923976,0.023391812865497075,0.005847953216374269
Confrontation,0.18181818181818182,0.22727272727272727,0.1590909090909091,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.11363636363636363,0.11363636363636363,0.11363636363636363
Déviations,#leandre,#hero,#leandre #hero,#choeur-de-pretresses-de-venus,#le-choeur,#choeur-de-matelots,#choeur-d-habitants,#neptune,#choeur-de-divinites-de-la-mer,#ensemble
#leandre,3.125,0.25,2.0833333333333335,0.375,0.375,0.375,0.375,0.08333333333333333,1.0416666666666667,1.0416666666666667
#hero,0.25,0.5,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.75,0.75,0.16666666666666666,0.08333333333333333,0.08333333333333333
#leandre #hero,2.0833333333333335,0.16666666666666666,4.5,0.25,0.25,0.25,0.25,0.5,2.25,2.25
#choeur-de-pretresses-de-venus,0.375,0.08333333333333333,0.25,6.125,0.125,0.125,0.125,0.25,0.125,0.125
#le-choeur,0.375,0.08333333333333333,0.25,0.125,6.125,0.125,0.125,0.25,0.125,0.125
#choeur-de-matelots,0.375,0.75,0.25,0.125,0.125,6.125,6.125,0.25,0.125,0.125
#choeur-de-matelots,0.375,0.75,0.25,0.125,0.125,6.125,6.125,0.25,0.125,0.125
#neptune,0.08333333333333333,0.16666666666666666,0.5,0.25,0.25,0.25,0.25,4.5,2.25,2.25
#choeur-de-divinites-de-la-mer,1.0416666666666667,0.08333333333333333,2.25,0.125,0.125,0.125,0.125,2.25,6.125,6.125
#choeur-de-divinites-de-la-mer,1.0416666666666667,0.08333333333333333,2.25,0.125,0.125,0.125,0.125,2.25,6.125,6.125
Successions,#leandre,#hero,#leandre #hero,#choeur-de-pretresses-de-venus,#le-choeur,#choeur-de-matelots,#choeur-d-habitants,#neptune,#choeur-de-divinites-de-la-mer,#ensemble
#leandre,0.0625,0.6875,0.1875,0.0,0.0,0.0625,0.0,0.0,0.0,0.0
#hero,0.7058823529411765,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.0
#leandre #hero,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0
#choeur-de-pretresses-de-venus,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeur-de-pretresses-de-venus,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeur-de-matelots,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
#choeur-d-habitants,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#neptune,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
#choeur-de-divinites-de-la-mer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#ensemble,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
