VALEUR,#agesistrate,#lysander,#un-senateur,#amphares,#agis,#chelonis,#leonidas,#un-spartiate,#second-ephore,#troisieme-ephore,#le-chef,#le-soldat
Fréquences (scènes),0.32142857142857145,0.39285714285714285,0.03571428571428571,0.2857142857142857,0.5,0.32142857142857145,0.42857142857142855,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
Fréquences(répliques),0.175177304964539,0.18865248226950354,0.002127659574468085,0.05673758865248227,0.2453900709219858,0.12056737588652482,0.19787234042553192,0.0007092198581560284,0.0014184397163120568,0.0007092198581560284,0.0035460992907801418,0.0070921985815602835
Confrontation,0.11688311688311688,0.15584415584415584,0.012987012987012988,0.11688311688311688,0.18831168831168832,0.12337662337662338,0.16883116883116883,0.03896103896103896,0.025974025974025976,0.025974025974025976,0.012987012987012988,0.012987012987012988
Déviations,#agesistrate,#lysander,#un-senateur,#amphares,#agis,#chelonis,#leonidas,#un-spartiate,#second-ephore,#troisieme-ephore,#le-chef,#le-soldat
#agesistrate,12.89285714285714,0.6064213564213566,1.4325396825396828,0.12698412698412687,0.05555555555555555,0.003968253968253939,0.894179894179894,1.4325396825396828,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.3214285714285714
#lysander,0.6064213564213562,10.321428571428573,0.9383116883116885,0.23376623376623382,0.045454545454545456,0.06096681096681088,0.6233766233766235,0.9383116883116885,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.9383116883116885
#un-senateur,1.4325396825396826,0.9383116883116885,26.03571428571429,0.2857142857142857,0.5,0.32142857142857145,0.42857142857142855,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#amphares,0.12698412698412706,0.23376623376623382,0.2857142857142857,14.285714285714286,0.25,0.9603174603174606,0.7202380952380955,1.7857142857142858,1.7857142857142858,1.7857142857142858,0.2857142857142857,0.2857142857142857
#agis,0.05555555555555555,0.045454545454545456,0.5,0.25,7.0,0.5,0.16666666666666666,0.5,0.5,0.5,0.5,0.5
#chelonis,0.003968253968253939,0.060966810966811,0.3214285714285714,0.9603174603174602,0.5,12.89285714285714,0.00529100529100532,1.4325396825396828,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.3214285714285714
#leonidas,0.8941798941798945,0.6233766233766235,0.42857142857142855,0.7202380952380955,0.16666666666666666,0.005291005291005253,9.142857142857146,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619
#un-spartiate,1.4325396825396826,0.9383116883116885,0.03571428571428571,1.7857142857142858,0.5,1.4325396825396826,0.7619047619047619,26.03571428571429,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#second-ephore,0.32142857142857145,0.39285714285714285,0.03571428571428571,1.7857142857142858,0.5,0.32142857142857145,0.7619047619047619,0.03571428571428571,26.03571428571429,26.03571428571429,0.03571428571428571,0.03571428571428571
#second-ephore,0.32142857142857145,0.39285714285714285,0.03571428571428571,1.7857142857142858,0.5,0.32142857142857145,0.7619047619047619,0.03571428571428571,26.03571428571429,26.03571428571429,0.03571428571428571,0.03571428571428571
#le-chef,0.32142857142857145,0.39285714285714285,0.03571428571428571,0.2857142857142857,0.5,0.32142857142857145,0.7619047619047619,0.03571428571428571,0.03571428571428571,0.03571428571428571,26.03571428571429,0.03571428571428571
#le-soldat,0.32142857142857145,0.9383116883116885,0.03571428571428571,0.2857142857142857,0.5,0.32142857142857145,0.7619047619047619,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,26.03571428571429
Successions,#agesistrate,#lysander,#un-senateur,#amphares,#agis,#chelonis,#leonidas,#un-spartiate,#second-ephore,#troisieme-ephore,#le-chef,#le-soldat
#agesistrate,0.0,0.26666666666666666,0.1,0.06666666666666667,0.36666666666666664,0.1,0.1,0.0,0.0,0.0,0.0,0.0
#lysander,0.15151515151515152,0.0,0.0,0.24242424242424243,0.22727272727272727,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.015151515151515152
#un-senateur,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#amphares,0.06666666666666667,0.5333333333333333,0.0,0.0,0.16666666666666666,0.0,0.23333333333333334,0.0,0.0,0.0,0.0,0.0
#agis,0.1643835616438356,0.1780821917808219,0.0,0.0684931506849315,0.0136986301369863,0.1095890410958904,0.4657534246575342,0.0,0.0,0.0,0.0,0.0
#chelonis,0.06666666666666667,0.4,0.0,0.0,0.23333333333333334,0.03333333333333333,0.26666666666666666,0.0,0.0,0.0,0.0,0.0
#leonidas,0.030303030303030304,0.21212121212121213,0.0,0.09090909090909091,0.5151515151515151,0.09090909090909091,0.030303030303030304,0.015151515151515152,0.0,0.0,0.015151515151515152,0.0
#un-spartiate,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#second-ephore,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#troisieme-ephore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#le-chef,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#un-spartiate,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
