VALEUR,#isabelle,#paquette,#cleante,#monsieur-godard,#picard,#l-angevin,#torine,#champagne,#oriane,#la-sage-femme
Fréquences (scènes),0.5517241379310345,0.5862068965517241,0.27586206896551724,0.5517241379310345,0.3448275862068966,0.10344827586206896,0.13793103448275862,0.4482758620689655,0.06896551724137931,0.06896551724137931
Fréquences(répliques),0.1351981351981352,0.22727272727272727,0.07925407925407925,0.175990675990676,0.053613053613053616,0.006993006993006993,0.005827505827505828,0.2668997668997669,0.01048951048951049,0.038461538461538464
Confrontation,0.15185185185185185,0.17037037037037037,0.1,0.17037037037037037,0.1111111111111111,0.05925925925925926,0.08148148148148149,0.1259259259259259,0.011111111111111112,0.018518518518518517
Déviations,#isabelle,#paquette,#cleante,#monsieur-godard,#picard,#l-angevin,#torine,#champagne,#oriane,#la-sage-femme
#isabelle,5.8275862068965525,0.6035750507099388,1.5153556034482758,0.0033674568965517287,0.417241379310345,0.07183908045977012,0.28502155172413796,0.004144562334217512,0.7284482758620691,1.103448275862069
#paquette,0.6035750507099388,4.965517241379311,0.3661257606490875,0.2800456389452336,0.0032454361054766443,0.8762677484787019,1.1683569979716029,0.05055390856607894,1.1724137931034482,0.5841784989858014
#cleante,1.5153556034482758,0.3661257606490875,15.20689655172414,0.03879310344827585,0.02112068965517238,0.03591954022988506,0.7284482758620691,0.04774535809018566,0.5517241379310345,0.5517241379310345
#monsieur-godard,0.0033674568965517287,0.2800456389452336,0.03879310344827585,5.8275862068965525,0.04849137931034489,1.0926724137931034,1.4568965517241381,0.004144562334217512,0.009698275862068962,0.7284482758620691
#picard,0.417241379310345,0.0032454361054766864,0.02112068965517238,0.04849137931034489,12.44827586206896,3.7344827586206892,4.979310344827586,0.05968169761273218,0.6896551724137931,0.6896551724137931
#l-angevin,0.07183908045977012,0.8762677484787024,0.03591954022988506,1.0926724137931034,3.7344827586206892,23.310344827586206,16.163793103448278,0.08841732979664015,0.20689655172413793,0.20689655172413793
#torine,0.28502155172413796,1.1683569979716029,0.7284482758620691,1.4568965517241381,4.979310344827586,16.163793103448278,21.551724137931032,0.02387267904509283,0.27586206896551724,0.27586206896551724
#champagne,0.004144562334217512,0.0505539085660788,0.04774535809018566,0.004144562334217512,0.05968169761273196,0.08841732979664015,0.02387267904509283,8.827586206896553,0.896551724137931,0.011936339522546415
#oriane,0.7284482758620691,1.1724137931034482,0.5517241379310345,0.009698275862068962,0.6896551724137931,0.20689655172413793,0.27586206896551724,0.896551724137931,25.137931034482758,0.13793103448275862
#la-sage-femme,1.103448275862069,0.5841784989858014,0.5517241379310345,0.7284482758620691,0.6896551724137931,0.20689655172413793,0.27586206896551724,0.011936339522546415,0.13793103448275862,25.137931034482758
Successions,#isabelle,#paquette,#cleante,#monsieur-godard,#picard,#l-angevin,#torine,#champagne,#oriane,#la-sage-femme
#isabelle,0.0,0.18333333333333332,0.21666666666666667,0.21666666666666667,0.016666666666666666,0.0,0.0,0.2833333333333333,0.08333333333333333,0.0
#paquette,0.09090909090909091,0.022727272727272728,0.3181818181818182,0.20454545454545456,0.07954545454545454,0.0,0.011363636363636364,0.26136363636363635,0.0,0.011363636363636364
#cleante,0.28,0.44,0.0,0.18,0.04,0.0,0.0,0.06,0.0,0.0
#monsieur-godard,0.16666666666666666,0.15384615384615385,0.08974358974358974,0.01282051282051282,0.02564102564102564,0.01282051282051282,0.01282051282051282,0.2948717948717949,0.02564102564102564,0.20512820512820512
#picard,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.027777777777777776,0.08333333333333333,0.4444444444444444,0.0,0.0
#l-angevin,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0
#torine,0.0,0.4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0
#champagne,0.21428571428571427,0.2619047619047619,0.023809523809523808,0.2261904761904762,0.25,0.011904761904761904,0.0,0.0,0.0,0.011904761904761904
#oriane,0.5714285714285714,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
#la-sage-femme,0.0,0.2777777777777778,0.0,0.7222222222222222,0.0,0.0,0.0,0.0,0.0,0.0
