VALEUR,#fauste,#cornelie,#chrispe,#constance,#constantin,#lactance,#une-des-filles,#leonce,#capitaine-des-gardes,#probe
Fréquences (scènes),0.6071428571428571,0.39285714285714285,0.32142857142857145,0.17857142857142858,0.32142857142857145,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
Fréquences(répliques),0.4126126126126126,0.07147147147147147,0.2174174174174174,0.06726726726726727,0.14714714714714713,0.03303303303303303,0.0006006006006006006,0.006606606606606606,0.02942942942942943,0.014414414414414415
Confrontation,0.2571428571428571,0.2,0.17142857142857143,0.11428571428571428,0.14285714285714285,0.02857142857142857,0.04285714285714286,0.014285714285714285,0.014285714285714285,0.014285714285714285
Déviations,#fauste,#cornelie,#chrispe,#constance,#constantin,#lactance,#une-des-filles,#leonce,#capitaine-des-gardes,#probe
#fauste,4.321428571428572,0.2614591291061878,1.111344537815126,1.3651260504201679,0.3923902894491131,1.2142857142857142,0.254201680672269,0.6071428571428571,0.254201680672269,0.6071428571428571
#cornelie,0.26145912910618824,10.321428571428573,0.08116883116883127,0.4733766233766235,3.535714285714286,0.7857142857142857,0.9383116883116885,0.9383116883116885,0.39285714285714285,0.39285714285714285
#chrispe,1.1113445378151254,0.08116883116883113,12.89285714285714,3.562698412698412,0.2755731922398591,0.6428571428571428,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.3214285714285714
#constance,1.3651260504201679,0.47337662337662334,3.562698412698412,18.89285714285714,0.22936507936507938,0.3571428571428571,3.7785714285714285,0.17857142857142855,0.17857142857142855,0.17857142857142855
#constantin,0.39239028944911264,3.5357142857142856,0.2755731922398591,0.22936507936507938,12.89285714285714,2.8650793650793656,0.3214285714285714,0.3214285714285714,0.3214285714285714,1.4325396825396828
#lactance,1.2142857142857142,0.7857142857142857,0.6428571428571429,0.35714285714285715,2.865079365079365,24.142857142857146,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
#une-des-filles,0.254201680672269,0.9383116883116885,0.32142857142857145,3.778571428571428,0.32142857142857145,0.07142857142857142,26.03571428571429,0.03571428571428571,0.03571428571428571,0.03571428571428571
#leonce,0.6071428571428571,0.9383116883116885,0.32142857142857145,0.17857142857142858,0.32142857142857145,0.07142857142857142,0.03571428571428571,26.03571428571429,0.03571428571428571,0.03571428571428571
#capitaine-des-gardes,0.254201680672269,0.39285714285714285,0.32142857142857145,0.17857142857142858,0.32142857142857145,0.07142857142857142,0.03571428571428571,0.03571428571428571,26.03571428571429,0.03571428571428571
#probe,0.6071428571428571,0.39285714285714285,0.32142857142857145,0.17857142857142858,1.4325396825396826,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,26.03571428571429
Successions,#fauste,#cornelie,#chrispe,#constance,#constantin,#lactance,#une-des-filles,#leonce,#capitaine-des-gardes,#probe
#fauste,0.026785714285714284,0.19642857142857142,0.30357142857142855,0.1875,0.24107142857142858,0.0,0.008928571428571428,0.0,0.03571428571428571,0.0
#cornelie,0.7419354838709677,0.0,0.16129032258064516,0.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.0
#chrispe,0.603448275862069,0.08620689655172414,0.017241379310344827,0.20689655172413793,0.08620689655172414,0.0,0.0,0.0,0.0,0.0
#constance,0.5833333333333334,0.0,0.3611111111111111,0.027777777777777776,0.027777777777777776,0.0,0.0,0.0,0.0,0.0
#constantin,0.5531914893617021,0.02127659574468085,0.10638297872340426,0.0425531914893617,0.10638297872340426,0.1276595744680851,0.0,0.0,0.0,0.0425531914893617
#lactance,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#une-des-filles,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#leonce,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#une-des-filles,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lactance,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
