VALEUR,#chimene,#elvire,#l-infante,#leonor,#page,#le-comte,#don-diegue,#don-rodrigue,#don-arias,#don-fernand,#don-sanche,#don-alonse
Fréquences (scènes),0.46875,0.1875,0.25,0.09375,0.0625,0.09375,0.28125,0.28125,0.0625,0.25,0.15625,0.0625
Fréquences(répliques),0.24972436604189635,0.06560088202866593,0.10970231532524807,0.03528114663726571,0.002205071664829107,0.05953693495038589,0.12899669239250275,0.18412348401323042,0.017640573318632856,0.11190738699007717,0.03252480705622933,0.0027563395810363835
Confrontation,0.21818181818181817,0.06363636363636363,0.1,0.03636363636363636,0.03636363636363636,0.02727272727272727,0.11818181818181818,0.1,0.02727272727272727,0.15454545454545454,0.09090909090909091,0.02727272727272727
Déviations,#chimene,#elvire,#l-infante,#leonor,#page,#le-comte,#don-diegue,#don-rodrigue,#don-arias,#don-fernand,#don-sanche,#don-alonse
#chimene,9.03125,1.7013888888888888,0.016666666666666666,1.40625,0.004166666666666667,1.40625,0.35208333333333336,0.35208333333333336,0.9375,0.016666666666666666,1.1704166666666667,0.9375
#elvire,1.7013888888888888,21.125,1.5,0.5625,0.375,0.5625,1.6875,0.05787037037037037,0.375,1.5,0.9375,0.375
#l-infante,0.016666666666666666,1.5,18.0,6.75,4.5,0.75,2.25,0.6944444444444444,0.5,0.5,1.25,0.5
#leonor,1.40625,0.5625,6.75,26.28125,3.5208333333333335,0.28125,0.84375,0.84375,0.1875,0.75,0.46875,0.1875
#page,0.004166666666666667,0.375,4.5,3.5208333333333335,28.125,0.1875,0.5625,0.5625,0.125,0.5,0.3125,0.125
#le-comte,1.40625,0.5625,0.75,0.28125,0.1875,26.28125,0.028935185185185185,0.028935185185185185,3.5208333333333335,0.75,0.46875,0.1875
#don-diegue,0.35208333333333336,1.6875,2.25,0.84375,0.5625,0.028935185185185185,16.53125,0.11149691358024691,0.5625,1.3611111111111112,0.25069444444444444,0.3402777777777778
#don-rodrigue,0.35208333333333336,0.05787037037037037,0.6944444444444444,0.84375,0.5625,0.028935185185185185,0.11149691358024691,16.53125,0.5625,0.027777777777777776,1.40625,0.5625
#don-arias,0.9375,0.375,0.5,0.1875,0.125,3.5208333333333335,0.5625,0.5625,28.125,0.5,1.5125,0.125
#don-fernand,0.016666666666666666,1.5,0.5,0.75,0.5,0.75,1.3611111111111112,0.027777777777777776,0.5,18.0,2.45,4.5
#don-sanche,1.1704166666666667,0.9375,1.25,0.46875,0.3125,0.46875,0.25069444444444444,1.40625,1.5125,2.45,22.78125,0.3125
#don-alonse,0.9375,0.375,0.5,0.1875,0.125,0.1875,0.3402777777777778,0.5625,0.125,4.5,0.3125,28.125
Successions,#chimene,#elvire,#l-infante,#leonor,#page,#le-comte,#don-diegue,#don-rodrigue,#don-arias,#don-fernand,#don-sanche,#don-alonse
#chimene,0.011235955056179775,0.21348314606741572,0.16853932584269662,0.0,0.033707865168539325,0.0,0.06741573033707865,0.30337078651685395,0.0,0.12359550561797752,0.07865168539325842,0.0
#elvire,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0
#l-infante,0.42105263157894735,0.02631578947368421,0.02631578947368421,0.42105263157894735,0.02631578947368421,0.02631578947368421,0.0,0.02631578947368421,0.0,0.02631578947368421,0.0,0.0
#leonor,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#page,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-comte,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.34285714285714286,0.34285714285714286,0.2857142857142857,0.0,0.0,0.0
#don-diegue,0.1891891891891892,0.0,0.0,0.0,0.0,0.35135135135135137,0.05405405405405406,0.21621621621621623,0.0,0.1891891891891892,0.0,0.0
#don-rodrigue,0.48214285714285715,0.07142857142857142,0.017857142857142856,0.0,0.0,0.19642857142857142,0.16071428571428573,0.0,0.0,0.07142857142857142,0.0,0.0
#don-arias,0.0,0.0,0.0,0.0,0.0,0.7692307692307693,0.0,0.0,0.0,0.23076923076923078,0.0,0.0
#don-fernand,0.3235294117647059,0.0,0.029411764705882353,0.0,0.0,0.0,0.20588235294117646,0.08823529411764706,0.08823529411764706,0.029411764705882353,0.14705882352941177,0.08823529411764706
#don-sanche,0.5,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0
#don-alonse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0
