VALEUR,#achitophel,#absalon,#david,#joab,#zamri,#thares,#thamar,#la-reine,#cisai,#l-israelite
Fréquences (scènes),0.3548387096774194,0.6129032258064516,0.3548387096774194,0.0967741935483871,0.0967741935483871,0.3870967741935484,0.16129032258064516,0.1935483870967742,0.22580645161290322,0.03225806451612903
Fréquences(répliques),0.1588957055214724,0.2116564417177914,0.24478527607361963,0.05766871165644172,0.0196319018404908,0.16441717791411042,0.030061349693251534,0.03190184049079755,0.07791411042944785,0.003067484662576687
Confrontation,0.11267605633802817,0.20422535211267606,0.176056338028169,0.056338028169014086,0.035211267605633804,0.15492957746478872,0.06338028169014084,0.08450704225352113,0.1056338028169014,0.007042253521126761
Déviations,#achitophel,#absalon,#david,#joab,#zamri,#thares,#thamar,#la-reine,#cisai,#l-israelite
#achitophel,12.903225806451612,0.7562895508566135,0.9280191948813651,0.0039100684261974515,3.519061583577713,4.258064516129032,1.7741935483870968,2.129032258064516,0.8864683703393381,0.35483870967741943
#absalon,0.7562895508566135,4.645161290322582,0.08164840253125488,0.3825693265421618,0.014148273910582924,0.753961516694963,0.36977928692699485,3.6774193548387095,0.019645888915837947,0.6129032258064516
#david,0.9280191948813651,0.08164840253125488,12.903225806451612,3.519061583577713,1.064516129032258,0.12927663734115358,0.3378299120234604,1.6441837732160316,0.9254294093003771,0.35483870967741943
#joab,0.0039100684261974515,0.3825693265421619,3.519061583577713,25.29032258064517,0.29032258064516125,0.022401433691756237,0.4838709677419355,0.30286738351254494,0.1536098310291859,0.0967741935483871
#zamri,3.519061583577713,0.014148273910582883,1.064516129032258,0.29032258064516125,25.29032258064517,1.161290322580645,0.4838709677419355,0.5806451612903225,0.6774193548387096,0.0967741935483871
#thares,4.258064516129032,0.7539615166949636,0.12927663734115358,0.022401433691756237,1.161290322580645,11.645161290322584,0.5854838709677418,3.08646953405018,0.18586789554531483,0.9704301075268817
#thamar,1.7741935483870972,0.36977928692699485,0.3378299120234605,0.4838709677419355,0.4838709677419355,0.5854838709677418,21.806451612903224,0.0010752688172042991,0.6718894009216592,0.16129032258064516
#la-reine,2.129032258064516,3.67741935483871,1.6441837732160316,0.30286738351254494,0.5806451612903225,3.08646953405018,0.0010752688172042991,20.16129032258065,0.09293394777265741,0.1935483870967742
#cisai,0.8864683703393381,0.019645888915837947,0.9254294093003771,0.1536098310291859,0.6774193548387096,0.18586789554531483,0.6718894009216592,0.09293394777265741,18.580645161290327,0.22580645161290322
#l-israelite,0.35483870967741943,0.6129032258064516,0.35483870967741943,0.0967741935483871,0.0967741935483871,0.9704301075268817,0.16129032258064516,0.1935483870967742,0.22580645161290322,29.03225806451613
Successions,#achitophel,#absalon,#david,#joab,#zamri,#thares,#thamar,#la-reine,#cisai,#l-israelite
#achitophel,0.10714285714285714,0.6071428571428571,0.07142857142857142,0.03571428571428571,0.17857142857142858,0.0,0.0,0.0,0.0,0.0
#absalon,0.2328767123287671,0.0273972602739726,0.2876712328767123,0.0,0.0136986301369863,0.3013698630136986,0.0410958904109589,0.0,0.0958904109589041,0.0
#david,0.01818181818181818,0.43636363636363634,0.01818181818181818,0.10909090909090909,0.0,0.16363636363636364,0.01818181818181818,0.09090909090909091,0.14545454545454545,0.0
#joab,0.0,0.125,0.5,0.0,0.0,0.0,0.0,0.25,0.125,0.0
#zamri,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#thares,0.025,0.5,0.3,0.0,0.0,0.0,0.025,0.075,0.0,0.075
#thamar,0.125,0.375,0.0,0.0,0.0,0.125,0.0,0.125,0.25,0.0
#la-reine,0.0,0.0,0.4166666666666667,0.08333333333333333,0.0,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0
#cisai,0.10526315789473684,0.21052631578947367,0.5263157894736842,0.0,0.0,0.05263157894736842,0.10526315789473684,0.0,0.0,0.0
#l-israelite,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
