VALEUR,#cesene,#iradan,#megatise,#le-grand-pretre,#le-second-pretre,#arzame,#le-jeune-arzemon,#le-vieil-arzemon,#l-empereur
Fréquences (scènes),0.5,0.8,0.3,0.1,0.06666666666666667,0.6666666666666666,0.26666666666666666,0.16666666666666666,0.03333333333333333
Fréquences(répliques),0.17194570135746606,0.29694570135746606,0.07692307692307693,0.03902714932126697,0.005656108597285068,0.19626696832579185,0.09219457013574661,0.08031674208144797,0.04072398190045249
Confrontation,0.17647058823529413,0.24019607843137256,0.10294117647058823,0.0392156862745098,0.024509803921568627,0.22549019607843138,0.09803921568627451,0.07352941176470588,0.0196078431372549
Déviations,#cesene,#iradan,#megatise,#le-grand-pretre,#le-second-pretre,#arzame,#le-jeune-arzemon,#le-vieil-arzemon,#l-empereur
#cesene,7.5,0.3333333333333333,0.05555555555555555,0.16666666666666666,1.0,0.0,0.0,0.1,0.5
#iradan,0.3333333333333333,1.1999999999999984,1.4222222222222216,0.1499999999999998,0.09999999999999995,0.0,0.30625000000000013,0.0,0.049999999999999975
#megatise,0.05555555555555555,1.4222222222222225,14.700000000000006,0.9,0.6,0.0,1.0666666666666669,1.5,0.3
#le-grand-pretre,0.16666666666666666,0.1499999999999998,0.8999999999999999,24.3,16.2,0.0,0.8000000000000002,0.5,0.10000000000000002
#le-second-pretre,1.0,0.09999999999999995,0.6,16.2,26.133333333333336,0.0833333333333333,0.5333333333333333,0.3333333333333333,0.06666666666666667
#arzame,0.0,0.0,0.0,0.0,0.0833333333333333,3.3333333333333344,0.08333333333333341,0.13333333333333347,0.1666666666666667
#le-jeune-arzemon,0.0,0.30625000000000013,1.0666666666666669,0.8000000000000002,0.5333333333333333,0.08333333333333341,16.133333333333336,0.0833333333333333,0.26666666666666666
#le-vieil-arzemon,0.1,0.0,1.5,0.5,0.3333333333333333,0.13333333333333347,0.0833333333333333,20.83333333333334,4.166666666666668
#l-empereur,0.5,0.049999999999999975,0.3,0.10000000000000002,0.06666666666666667,0.1666666666666667,0.26666666666666666,4.166666666666668,28.03333333333333
Successions,#cesene,#iradan,#megatise,#le-grand-pretre,#le-second-pretre,#arzame,#le-jeune-arzemon,#le-vieil-arzemon,#l-empereur
#cesene,0.0,0.49295774647887325,0.07042253521126761,0.028169014084507043,0.0,0.28169014084507044,0.028169014084507043,0.08450704225352113,0.014084507042253521
#iradan,0.32432432432432434,0.009009009009009009,0.036036036036036036,0.09009009009009009,0.036036036036036036,0.24324324324324326,0.16216216216216217,0.07207207207207207,0.02702702702702703
#megatise,0.0784313725490196,0.0784313725490196,0.0,0.0,0.0,0.1568627450980392,0.3333333333333333,0.35294117647058826,0.0
#le-grand-pretre,0.058823529411764705,0.7058823529411765,0.0,0.0,0.0,0.23529411764705882,0.0,0.0,0.0
#le-second-pretre,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0
#arzame,0.20652173913043478,0.3695652173913043,0.08695652173913043,0.021739130434782608,0.010869565217391304,0.010869565217391304,0.2608695652173913,0.03260869565217391,0.0
#le-jeune-arzemon,0.11290322580645161,0.22580645161290322,0.25806451612903225,0.0,0.0,0.4032258064516129,0.0,0.0,0.0
#le-vieil-arzemon,0.1388888888888889,0.16666666666666666,0.5,0.0,0.0,0.16666666666666666,0.027777777777777776,0.0,0.0
#l-empereur,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0
