VALEUR,#olimbre,#ursace,#olicharsis,#eudoxe,#imperatrice,#genseric,#aspar,#placidie,#thrasimond,#talerbal
Fréquences (scènes),0.4,0.44,0.2,0.28,0.36,0.36,0.16,0.2,0.4,0.04
Fréquences(répliques),0.0794392523364486,0.3280373831775701,0.035981308411214954,0.012149532710280374,0.2,0.197196261682243,0.013551401869158878,0.004672897196261682,0.12663551401869158,0.002336448598130841
Confrontation,0.15060240963855423,0.15060240963855423,0.060240963855421686,0.0963855421686747,0.14457831325301204,0.10843373493975904,0.04216867469879518,0.09036144578313253,0.15060240963855423,0.006024096385542169
Déviations,#olimbre,#ursace,#olicharsis,#eudoxe,#imperatrice,#genseric,#aspar,#placidie,#thrasimond,#talerbal
#olimbre,9.0,4.809090909090908,0.5,1.1571428571428575,0.0999999999999999,0.7111111111111108,1.6000000000000003,0.5,1.0,0.4000000000000001
#ursace,4.809090909090908,7.84,0.29090909090909073,1.4046753246753247,0.0004040404040404048,2.2125252525252526,1.76,0.6545454545454547,0.5818181818181815,0.44
#olicharsis,0.5,0.29090909090909073,16.0,1.4000000000000001,1.7999999999999998,0.022222222222222265,0.049999999999999975,1.0,0.5,0.20000000000000004
#eudoxe,1.1571428571428577,1.4046753246753252,1.4000000000000004,12.959999999999992,2.440634920634921,0.10730158730158731,1.12,9.257142857142853,0.22857142857142893,0.28
#imperatrice,0.10000000000000002,0.0004040404040404048,1.8,2.440634920634919,10.24,0.017777777777777743,0.13444444444444442,2.688888888888889,0.04444444444444442,0.36
#genseric,0.7111111111111112,2.2125252525252526,0.02222222222222221,0.10730158730158747,0.017777777777777743,10.24,4.551111111111111,0.02222222222222221,0.7111111111111112,0.36
#aspar,1.6000000000000003,1.76,0.049999999999999975,1.12,0.13444444444444442,4.551111111111111,17.639999999999997,0.8000000000000002,0.22500000000000006,0.16
#placidie,0.5,0.6545454545454547,1.0,9.257142857142854,2.6888888888888896,0.022222222222222265,0.8000000000000002,16.0,0.0,0.20000000000000004
#thrasimond,1.0,0.5818181818181815,0.5,0.2285714285714287,0.04444444444444453,0.7111111111111108,0.22500000000000006,0.0,9.0,0.8999999999999999
#talerbal,0.4000000000000001,0.44,0.20000000000000004,0.28,0.36,0.36,0.16,0.20000000000000004,0.8999999999999999,23.04
Successions,#olimbre,#ursace,#olicharsis,#eudoxe,#imperatrice,#genseric,#aspar,#placidie,#thrasimond,#talerbal
#olimbre,0.0,0.5869565217391305,0.021739130434782608,0.0,0.06521739130434782,0.1956521739130435,0.0,0.021739130434782608,0.10869565217391304,0.0
#ursace,0.345679012345679,0.04938271604938271,0.13580246913580246,0.0,0.19753086419753085,0.024691358024691357,0.0,0.012345679012345678,0.2345679012345679,0.0
#olicharsis,0.08695652173913043,0.5217391304347826,0.0,0.0,0.0,0.043478260869565216,0.34782608695652173,0.0,0.0,0.0
#eudoxe,0.0,0.08333333333333333,0.08333333333333333,0.0,0.25,0.0,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.0
#imperatrice,0.08955223880597014,0.23880597014925373,0.0,0.08955223880597014,0.029850746268656716,0.47761194029850745,0.0,0.0,0.07462686567164178,0.0
#genseric,0.13846153846153847,0.015384615384615385,0.06153846153846154,0.046153846153846156,0.47692307692307695,0.046153846153846156,0.09230769230769231,0.0,0.12307692307692308,0.0
#aspar,0.0,0.0,0.3125,0.0,0.0625,0.625,0.0,0.0,0.0,0.0
#placidie,0.0,0.14285714285714285,0.0,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,0.0
#thrasimond,0.044444444444444446,0.4,0.022222222222222223,0.044444444444444446,0.15555555555555556,0.15555555555555556,0.022222222222222223,0.022222222222222223,0.044444444444444446,0.08888888888888889
#talerbal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
