VALEUR,#olivette,#diamantine,#monsieur-francoeur,#monsieur-minutin,#le-laquais,#octave,#arlequin,#scaramouche,#monsieur-pepin,#madame-pepin,#olivette #arlequin
Fréquences (scènes),0.7333333333333333,0.5333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.2,0.4,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667
Fréquences(répliques),0.4863013698630137,0.0273972602739726,0.1095890410958904,0.06164383561643835,0.0,0.0,0.1780821917808219,0.0136986301369863,0.04794520547945205,0.07534246575342465,0.0
Confrontation,0.22093023255813954,0.18604651162790697,0.03488372093023256,0.03488372093023256,0.011627906976744186,0.10465116279069768,0.13953488372093023,0.03488372093023256,0.06976744186046512,0.09302325581395349,0.06976744186046512
Déviations,#olivette,#diamantine,#monsieur-francoeur,#monsieur-minutin,#le-laquais,#octave,#arlequin,#scaramouche,#monsieur-pepin,#madame-pepin,#olivette #arlequin
#olivette,1.0666666666666669,0.0030303030303030494,0.09696969696969701,0.09696969696969701,0.7333333333333333,0.018181818181818212,0.036363636363636424,0.14848484848484844,0.09696969696969701,0.19393939393939402,0.09696969696969701
#diamantine,0.0030303030303030494,3.266666666666667,0.4083333333333334,0.4083333333333334,0.4083333333333334,0.09999999999999995,1.5125000000000002,1.0666666666666667,0.4083333333333334,0.8166666666666668,0.4083333333333334
#monsieur-francoeur,0.09696969696969701,0.4083333333333334,13.066666666666668,13.066666666666668,0.06666666666666667,0.20000000000000004,0.4000000000000001,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667
#monsieur-francoeur,0.09696969696969701,0.4083333333333334,13.066666666666668,13.066666666666668,0.06666666666666667,0.20000000000000004,0.4000000000000001,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667
#le-laquais,0.7333333333333333,0.4083333333333334,0.06666666666666667,0.06666666666666667,13.066666666666668,0.20000000000000004,0.4000000000000001,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667
#octave,0.018181818181818136,0.09999999999999995,0.20000000000000004,0.20000000000000004,0.20000000000000004,9.599999999999998,0.533333333333333,0.4000000000000001,3.2000000000000006,0.8999999999999999,3.2000000000000006
#arlequin,0.03636363636363627,1.5125000000000002,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.533333333333333,5.399999999999998,1.7999999999999998,0.8999999999999999,0.049999999999999975,0.8999999999999999
#scaramouche,0.14848484848484844,1.0666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.4000000000000001,1.7999999999999998,11.266666666666667,0.13333333333333333,0.26666666666666666,0.13333333333333333
#monsieur-pepin,0.09696969696969701,0.4083333333333334,0.06666666666666667,0.06666666666666667,0.06666666666666667,3.2000000000000006,0.8999999999999999,0.13333333333333333,13.066666666666668,5.633333333333334,13.066666666666668
#madame-pepin,0.19393939393939402,0.8166666666666668,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.8999999999999999,0.049999999999999975,0.26666666666666666,5.633333333333334,11.266666666666667,5.633333333333334
#monsieur-pepin,0.09696969696969701,0.4083333333333334,0.06666666666666667,0.06666666666666667,0.06666666666666667,3.2000000000000006,0.8999999999999999,0.13333333333333333,13.066666666666668,5.633333333333334,13.066666666666668
Successions,#olivette,#diamantine,#monsieur-francoeur,#monsieur-minutin,#le-laquais,#octave,#arlequin,#scaramouche,#monsieur-pepin,#madame-pepin,#olivette #arlequin
#olivette,0.020833333333333332,0.375,0.125,0.020833333333333332,0.0,0.041666666666666664,0.22916666666666666,0.0625,0.041666666666666664,0.08333333333333333,0.0
#diamantine,0.5714285714285714,0.0,0.05714285714285714,0.11428571428571428,0.02857142857142857,0.14285714285714285,0.0,0.0,0.0,0.05714285714285714,0.02857142857142857
#monsieur-francoeur,0.2,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-minutin,0.18181818181818182,0.18181818181818182,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-laquais,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#octave,0.3,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.1,0.0
#arlequin,0.35294117647058826,0.029411764705882353,0.0,0.0,0.0,0.058823529411764705,0.0,0.5,0.029411764705882353,0.029411764705882353,0.0
#scaramouche,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0
#monsieur-pepin,0.0625,0.25,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.5625,0.0
#madame-pepin,0.23529411764705882,0.0,0.0,0.0,0.0,0.058823529411764705,0.11764705882352941,0.0,0.5882352941176471,0.0,0.0
#olivette #arlequin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
