VALEUR,#don-carlos,#fabrice,#leonore,#don-louis,#cardille,#don-sanche,#marine,#flore,#don-pedre
Fréquences (scènes),0.40625,0.09375,0.375,0.34375,0.21875,0.40625,0.34375,0.5625,0.15625
Fréquences(répliques),0.221505376344086,0.005913978494623656,0.1817204301075269,0.1349462365591398,0.044623655913978495,0.1295698924731183,0.06451612903225806,0.16774193548387098,0.04946236559139785
Confrontation,0.13675213675213677,0.021367521367521368,0.13675213675213677,0.11965811965811966,0.09401709401709402,0.13247863247863248,0.1282051282051282,0.16666666666666666,0.0641025641025641
Déviations,#don-carlos,#fabrice,#leonore,#don-louis,#cardille,#don-sanche,#marine,#flore,#don-pedre
#don-carlos,11.28125,2.6033653846153846,0.9262820512820513,1.433784965034965,0.2503434065934066,0.31083579881656803,1.3638548951048952,1.500534188034188,0.4620192307692308
#fabrice,2.6033653846153846,26.28125,0.013888888888888888,0.000946969696969697,0.65625,1.21875,1.03125,1.6875,0.46875
#leonore,0.9262820512820513,0.013888888888888888,12.5,0.1856060606060606,0.1488095238095238,0.7211538461538461,0.003787878787878788,0.009259259259259259,0.675
#don-louis,1.433784965034965,0.000946969696969697,0.1856060606060606,13.78125,0.06858766233766234,1.3638548951048952,0.16141528925619836,0.22790404040404041,0.9551136363636363
#cardille,0.2503434065934066,0.65625,0.1488095238095238,0.06858766233766234,19.53125,6.074519230769231,1.0556006493506493,0.000992063492063492,0.008035714285714285
#don-sanche,0.31083579881656803,1.21875,0.7211538461538461,1.3638548951048952,6.074519230769231,11.28125,0.5246940559440559,0.06463675213675214,0.5235576923076923
#marine,1.3638548951048952,1.03125,0.003787878787878788,0.16141528925619836,1.0556006493506493,0.5246940559440559,13.78125,1.2784090909090908,0.04602272727272727
#flore,1.500534188034188,1.6875,0.009259259259259259,0.22790404040404041,0.000992063492063492,0.06463675213675214,1.2784090909090908,6.125,0.23472222222222222
#don-pedre,0.4620192307692308,0.46875,0.675,0.9551136363636363,0.008035714285714285,0.5235576923076923,0.04602272727272727,0.23472222222222222,22.78125
Successions,#don-carlos,#fabrice,#leonore,#don-louis,#cardille,#don-sanche,#marine,#flore,#don-pedre
#don-carlos,0.023809523809523808,0.05952380952380952,0.32142857142857145,0.38095238095238093,0.0,0.09523809523809523,0.023809523809523808,0.03571428571428571,0.05952380952380952
#fabrice,0.7142857142857143,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
#leonore,0.47619047619047616,0.015873015873015872,0.0,0.015873015873015872,0.0,0.031746031746031744,0.0,0.42857142857142855,0.031746031746031744
#don-louis,0.3835616438356164,0.0,0.0273972602739726,0.0136986301369863,0.0136986301369863,0.1095890410958904,0.0273972602739726,0.2191780821917808,0.2054794520547945
#cardille,0.0,0.0,0.058823529411764705,0.0,0.0,0.7941176470588235,0.11764705882352941,0.029411764705882353,0.0
#don-sanche,0.08433734939759036,0.0,0.024096385542168676,0.10843373493975904,0.30120481927710846,0.0,0.07228915662650602,0.40963855421686746,0.0
#marine,0.0,0.0,0.045454545454545456,0.045454545454545456,0.11363636363636363,0.11363636363636363,0.022727272727272728,0.6363636363636364,0.022727272727272728
#flore,0.05357142857142857,0.008928571428571428,0.21428571428571427,0.125,0.026785714285714284,0.2857142857142857,0.24107142857142858,0.008928571428571428,0.03571428571428571
#don-pedre,0.25925925925925924,0.0,0.07407407407407407,0.5185185185185185,0.0,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.0
