VALEUR,#sabine,#julie,#camille,#curiace,#horace,#flavian,#le-vieil-horace,#valere,#procule,#tulle
Fréquences (scènes),0.39285714285714285,0.25,0.42857142857142855,0.25,0.35714285714285715,0.03571428571428571,0.35714285714285715,0.10714285714285714,0.03571428571428571,0.07142857142857142
Fréquences(répliques),0.20741150442477876,0.07577433628318585,0.16482300884955753,0.12555309734513273,0.1388274336283186,0.00497787610619469,0.1620575221238938,0.07245575221238938,0.0011061946902654867,0.04701327433628318
Confrontation,0.16346153846153846,0.09615384615384616,0.17307692307692307,0.10576923076923077,0.14423076923076922,0.009615384615384616,0.16346153846153846,0.07692307692307693,0.009615384615384616,0.057692307692307696
Déviations,#sabine,#julie,#camille,#curiace,#horace,#flavian,#le-vieil-horace,#valere,#procule,#tulle
#sabine,10.321428571428573,0.5681818181818182,0.10822510822510827,1.1136363636363635,0.946753246753247,0.39285714285714285,0.0012987012987012894,0.027056277056277066,0.39285714285714285,0.058441558441558454
#julie,0.5681818181818182,15.75,0.3333333333333333,0.32142857142857145,2.5,0.25,0.9,0.75,0.25,0.5
#camille,0.10822510822510827,0.3333333333333333,9.142857142857146,0.0,0.3857142857142856,0.42857142857142855,0.3857142857142856,0.06349206349206343,0.42857142857142855,0.8571428571428571
#curiace,1.1136363636363635,0.32142857142857145,0.0,15.75,0.9,2.25,0.9,0.75,0.25,0.5
#horace,0.9467532467532467,2.5,0.3857142857142856,0.9,11.571428571428571,0.3571428571428571,0.09142857142857148,0.004761904761904758,1.1571428571428575,0.11428571428571437
#flavian,0.39285714285714285,0.25,0.42857142857142855,2.25,0.35714285714285715,26.03571428571429,0.35714285714285715,0.10714285714285714,0.03571428571428571,0.07142857142857142
#le-vieil-horace,0.0012987012987013056,0.9,0.3857142857142856,0.9,0.09142857142857148,0.3571428571428571,11.571428571428571,3.471428571428572,0.3571428571428571,2.314285714285715
#valere,0.027056277056277066,0.75,0.06349206349206343,0.75,0.004761904761904758,0.10714285714285714,3.471428571428572,22.321428571428577,0.10714285714285714,14.880952380952383
#procule,0.39285714285714285,0.25,0.42857142857142855,0.25,1.1571428571428568,0.03571428571428571,0.35714285714285715,0.10714285714285714,26.03571428571429,0.07142857142857142
#tulle,0.058441558441558454,0.5,0.8571428571428571,0.5,0.11428571428571427,0.07142857142857142,2.3142857142857136,14.880952380952383,0.07142857142857142,24.142857142857146
Successions,#sabine,#julie,#camille,#curiace,#horace,#flavian,#le-vieil-horace,#valere,#procule,#tulle
#sabine,0.07407407407407407,0.37037037037037035,0.14814814814814814,0.037037037037037035,0.18518518518518517,0.0,0.18518518518518517,0.0,0.0,0.0
#julie,0.3333333333333333,0.0,0.4583333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.041666666666666664
#camille,0.18421052631578946,0.21052631578947367,0.0,0.3157894736842105,0.21052631578947367,0.0,0.05263157894736842,0.02631578947368421,0.0,0.0
#curiace,0.0,0.08,0.44,0.04,0.2,0.2,0.04,0.0,0.0,0.0
#horace,0.21739130434782608,0.0,0.34782608695652173,0.21739130434782608,0.043478260869565216,0.0,0.043478260869565216,0.0,0.08695652173913043,0.043478260869565216
#flavian,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-vieil-horace,0.2,0.1,0.1,0.03333333333333333,0.06666666666666667,0.0,0.1,0.36666666666666664,0.0,0.03333333333333333
#valere,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.7857142857142857,0.0,0.0,0.14285714285714285
#procule,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#tulle,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0
