VALEUR,#petit-jean,#antoine,#laforest,#ensemble,#tous,#arlequin,#laforest #antoine #petit-jean,#boileau,#moliere,#moliere #boileau,#laforest #antoine,#le-choeur
Fréquences (scènes),0.8571428571428571,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285
Fréquences(répliques),0.24119241192411925,0.0921409214092141,0.0921409214092141,0.018970189701897018,0.01084010840108401,0.37669376693766937,0.0,0.07859078590785908,0.08401084010840108,0.0,0.0,0.005420054200542005
Confrontation,0.15079365079365079,0.12698412698412698,0.12698412698412698,0.031746031746031744,0.031746031746031744,0.1349206349206349,0.031746031746031744,0.09523809523809523,0.07936507936507936,0.06349206349206349,0.06349206349206349,0.06349206349206349
Déviations,#petit-jean,#antoine,#laforest,#ensemble,#tous,#arlequin,#laforest #antoine #petit-jean,#boileau,#moliere,#moliere #boileau,#laforest #antoine,#le-choeur
#petit-jean,0.14285714285714304,0.07142857142857152,0.07142857142857152,0.023809523809523826,0.023809523809523826,0.019047619047619032,0.023809523809523826,0.12698412698412687,0.29761904761904756,0.023809523809523826,0.023809523809523826,0.023809523809523826
#antoine,0.07142857142857152,2.2857142857142865,2.2857142857142865,0.7619047619047619,0.7619047619047619,0.009523809523809516,0.7619047619047619,0.06349206349206343,0.023809523809523826,0.7619047619047619,0.7619047619047619,0.7619047619047619
#antoine,0.07142857142857152,2.2857142857142865,2.2857142857142865,0.7619047619047619,0.7619047619047619,0.009523809523809516,0.7619047619047619,0.06349206349206343,0.023809523809523826,0.7619047619047619,0.7619047619047619,0.7619047619047619
#ensemble,0.023809523809523826,0.7619047619047619,0.7619047619047619,5.142857142857144,5.142857142857144,0.7142857142857143,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285
#ensemble,0.023809523809523826,0.7619047619047619,0.7619047619047619,5.142857142857144,5.142857142857144,0.7142857142857143,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285
#arlequin,0.019047619047619032,0.009523809523809516,0.009523809523809516,0.7142857142857142,0.7142857142857142,0.5714285714285713,0.11428571428571437,0.3428571428571429,0.22857142857142873,0.11428571428571437,0.11428571428571437,0.11428571428571437
#laforest #antoine #petit-jean,0.023809523809523826,0.7619047619047619,0.7619047619047619,0.14285714285714285,0.14285714285714285,0.11428571428571427,5.142857142857144,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285
#boileau,0.12698412698412687,0.06349206349206343,0.06349206349206343,0.42857142857142855,0.42857142857142855,0.3428571428571429,0.42857142857142855,2.2857142857142865,1.5238095238095237,0.7619047619047619,0.7619047619047619,0.7619047619047619
#moliere,0.29761904761904756,0.023809523809523826,0.023809523809523826,0.2857142857142857,0.2857142857142857,0.22857142857142854,0.2857142857142857,1.5238095238095237,3.5714285714285716,1.7857142857142858,1.7857142857142858,1.7857142857142858
#moliere #boileau,0.023809523809523826,0.7619047619047619,0.7619047619047619,0.14285714285714285,0.14285714285714285,0.11428571428571427,0.14285714285714285,0.7619047619047619,1.7857142857142858,5.142857142857144,5.142857142857144,5.142857142857144
#moliere #boileau,0.023809523809523826,0.7619047619047619,0.7619047619047619,0.14285714285714285,0.14285714285714285,0.11428571428571427,0.14285714285714285,0.7619047619047619,1.7857142857142858,5.142857142857144,5.142857142857144,5.142857142857144
#moliere #boileau,0.023809523809523826,0.7619047619047619,0.7619047619047619,0.14285714285714285,0.14285714285714285,0.11428571428571427,0.14285714285714285,0.7619047619047619,1.7857142857142858,5.142857142857144,5.142857142857144,5.142857142857144
Successions,#petit-jean,#antoine,#laforest,#ensemble,#tous,#arlequin,#laforest #antoine #petit-jean,#boileau,#moliere,#moliere #boileau,#laforest #antoine,#le-choeur
#petit-jean,0.0,0.2653061224489796,0.22448979591836735,0.02040816326530612,0.0,0.3877551020408163,0.0,0.061224489795918366,0.04081632653061224,0.0,0.0,0.0
#antoine,0.5,0.0,0.2857142857142857,0.03571428571428571,0.0,0.17857142857142858,0.0,0.0,0.0,0.0,0.0,0.0
#laforest,0.3,0.3,0.0,0.0,0.03333333333333333,0.3,0.0,0.03333333333333333,0.0,0.0,0.0,0.03333333333333333
#ensemble,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tous,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#arlequin,0.4107142857142857,0.05357142857142857,0.17857142857142858,0.0,0.0,0.0,0.017857142857142856,0.19642857142857142,0.125,0.017857142857142856,0.0,0.0
#laforest #antoine #petit-jean,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#boileau,0.05263157894736842,0.0,0.0,0.0,0.0,0.6842105263157895,0.0,0.0,0.21052631578947367,0.0,0.05263157894736842,0.0
#moliere,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.4666666666666667,0.0,0.26666666666666666,0.06666666666666667,0.0,0.0,0.06666666666666667
#laforest #antoine #petit-jean,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#ensemble,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-choeur,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
