VALEUR,#fortune,#aglante,#hylas,#menandre,#lerice,#sylvanire,#fossinde,#adraste,#choeur,#satyre,#tirinte,#alciron,#echo,#aglante #tirinte,#messager
Fréquences (scènes),0.0196078431372549,0.4117647058823529,0.29411764705882354,0.19607843137254902,0.17647058823529413,0.4117647058823529,0.35294117647058826,0.0392156862745098,0.13725490196078433,0.0784313725490196,0.35294117647058826,0.11764705882352941,0.0392156862745098,0.0196078431372549,0.058823529411764705
Fréquences(répliques),0.022858341197441543,0.1593792597252805,0.1259305861381986,0.10003145643284052,0.019083569256579638,0.12697913389954912,0.09237705777498165,0.0142602495543672,0.01667190940547342,0.059662367620845126,0.10904896718045506,0.13012477718360071,0.002306805074971165,0.0002097095522701059,0.021075810003145644
Confrontation,0.0,0.1424731182795699,0.10752688172043011,0.0967741935483871,0.0913978494623656,0.1478494623655914,0.11559139784946236,0.016129032258064516,0.07526881720430108,0.016129032258064516,0.11021505376344086,0.04032258064516129,0.005376344086021506,0.008064516129032258,0.026881720430107527
Déviations,#fortune,#aglante,#hylas,#menandre,#lerice,#sylvanire,#fossinde,#adraste,#choeur,#satyre,#tirinte,#alciron,#echo,#aglante #tirinte,#messager
#fortune,49.01960784313725,0.4117647058823529,0.29411764705882354,0.19607843137254902,0.17647058823529413,0.4117647058823529,0.35294117647058826,0.0392156862745098,0.13725490196078433,0.0784313725490196,0.35294117647058826,0.11764705882352941,0.0392156862745098,0.0196078431372549,0.058823529411764705
#aglante,0.4117647058823529,17.647058823529417,5.4907563025210075,0.18907563025210103,0.4519140989729224,0.6402561024409766,1.5704948646125119,0.8235294117647058,0.004801920768307288,1.6470588235294117,0.022875816993464086,0.08963585434173672,0.037815126050420186,0.8403361344537816,0.47338935574229685
#hylas,0.29411764705882354,5.49075630252101,25.41176470588235,0.0011764705882353038,0.04705882352941166,0.005042016806722654,0.016339869281045832,0.5882352941176471,0.0016806722689075764,1.1764705882352942,0.016339869281045832,0.33137254901960783,0.5882352941176471,1.6941176470588233,1.415686274509804
#menandre,0.19607843137254902,0.18907563025210103,0.0011764705882352856,32.96078431372549,29.664705882352937,2.0176470588235302,0.06274509803921559,0.39215686274509803,0.2868347338935574,0.7843137254901961,0.07941176470588245,0.5764705882352941,0.39215686274509803,0.19607843137254902,0.28823529411764703
#lerice,0.1764705882352941,0.45191409897292273,0.047058823529411785,29.66470588235294,34.588235294117645,2.9281045751633994,0.21350762527233103,0.3529411764705882,0.47338935574229685,0.7058823529411764,0.4357298474945535,0.0032679738562091517,0.3529411764705882,0.1764705882352941,0.41830065359477125
#sylvanire,0.4117647058823529,0.6402561024409766,0.005042016806722704,2.0176470588235302,2.9281045751633985,17.647058823529417,0.34033613445378136,0.037815126050420186,0.43337334933973554,1.6470588235294117,0.022875816993464086,0.08963585434173672,0.8235294117647058,0.4117647058823529,0.04481792717086836
#fossinde,0.3529411764705882,1.5704948646125112,0.016339869281045735,0.06274509803921571,0.21350762527233103,0.3403361344537818,21.352941176470587,2.3725490196078436,2.5896358543417364,1.7867647058823533,0.2881263616557736,0.5898692810457516,0.1225490196078432,0.3529411764705882,1.0588235294117647
#adraste,0.0392156862745098,0.8235294117647058,0.5882352941176471,0.39215686274509803,0.35294117647058826,0.037815126050420186,2.3725490196078427,47.07843137254902,10.84593837535014,4.531862745098039,0.7058823529411765,0.23529411764705882,0.0784313725490196,0.0392156862745098,0.11764705882352941
#choeur,0.13725490196078433,0.004801920768307288,0.0016806722689075764,0.2868347338935572,0.4733893557422965,0.43337334933973554,2.589635854341735,10.84593837535014,37.960784313725476,3.8347338935574222,0.946778711484593,0.03781512605042013,0.27450980392156865,0.13725490196078433,0.8403361344537812
#satyre,0.0784313725490196,1.6470588235294117,1.1764705882352942,0.7843137254901961,0.7058823529411765,1.6470588235294117,1.7867647058823526,4.531862745098039,3.8347338935574222,43.313725490196084,1.411764705882353,0.47058823529411764,0.1568627450980392,0.0784313725490196,0.23529411764705882
#tirinte,0.3529411764705882,0.02287581699346399,0.016339869281045735,0.07941176470588233,0.4357298474945535,0.02287581699346399,0.2881263616557736,0.7058823529411764,0.9467787114845937,1.4117647058823528,21.352941176470587,3.923202614379085,0.7058823529411764,1.1862745098039218,0.8366013071895425
#alciron,0.11764705882352941,0.08963585434173672,0.33137254901960783,0.5764705882352941,0.0032679738562091517,0.08963585434173672,0.5898692810457516,0.23529411764705882,0.03781512605042013,0.47058823529411764,3.923202614379085,39.70588235294118,0.23529411764705882,0.11764705882352941,0.3529411764705882
#echo,0.0392156862745098,0.037815126050420186,0.5882352941176471,0.39215686274509803,0.35294117647058826,0.8235294117647058,0.1225490196078431,0.0784313725490196,0.27450980392156865,0.1568627450980392,0.7058823529411765,0.23529411764705882,47.07843137254902,0.0392156862745098,0.11764705882352941
