VALEUR,#chapelle,#un-seigneur,#ninon,#tous,#un-valet,#saint-alban,#laforet,#moliere,#corneille,#la-fontaine,#boileau,#racine,#le-prince,#un-page
Fréquences (scènes),0.375,0.1875,0.6875,0.1875,0.1875,0.375,0.5,0.375,0.25,0.125,0.125,0.125,0.1875,0.0625
Fréquences(répliques),0.057534246575342465,0.019178082191780823,0.3178082191780822,0.00410958904109589,0.00410958904109589,0.16575342465753426,0.14657534246575343,0.1684931506849315,0.019178082191780823,0.009589041095890411,0.021917808219178082,0.03287671232876712,0.030136986301369864,0.0027397260273972603
Confrontation,0.07142857142857142,0.04642857142857143,0.1392857142857143,0.06428571428571428,0.060714285714285714,0.075,0.11071428571428571,0.08571428571428572,0.1,0.04642857142857143,0.04642857142857143,0.039285714285714285,0.08214285714285714,0.03214285714285714
Déviations,#chapelle,#un-seigneur,#ninon,#tous,#un-valet,#saint-alban,#laforet,#moliere,#corneille,#la-fontaine,#boileau,#racine,#le-prince,#un-page
#chapelle,6.25,0.6805555555555556,0.1856060606060606,0.013888888888888888,0.013888888888888888,0.6944444444444444,1.3333333333333333,0.6944444444444444,0.16666666666666666,2.0833333333333335,2.0833333333333335,0.08333333333333333,0.013888888888888888,0.375
#un-seigneur,0.6805555555555556,10.5625,0.001893939393939394,3.673611111111111,0.3402777777777778,0.013888888888888888,0.16666666666666666,0.013888888888888888,0.08333333333333333,0.375,0.375,0.375,0.3402777777777778,3.5208333333333335
#ninon,0.1856060606060606,0.001893939393939394,1.5625,0.42613636363636365,0.42613636363636365,0.3068181818181818,0.045454545454545456,0.003787878787878788,0.5681818181818182,0.2840909090909091,0.2840909090909091,0.2840909090909091,0.42613636363636365,0.14204545454545456
#tous,0.013888888888888888,3.673611111111111,0.42613636363636365,10.5625,3.673611111111111,0.013888888888888888,0.16666666666666666,0.013888888888888888,2.0833333333333335,0.375,0.375,1.0416666666666667,3.673611111111111,3.5208333333333335
#un-valet,0.013888888888888888,0.3402777777777778,0.42613636363636365,3.673611111111111,10.5625,0.013888888888888888,0.16666666666666666,0.013888888888888888,2.0833333333333335,0.375,0.375,1.0416666666666667,3.673611111111111,3.5208333333333335
#saint-alban,0.6944444444444444,0.013888888888888888,0.3068181818181818,0.013888888888888888,0.013888888888888888,6.25,0.3333333333333333,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.75,0.6805555555555556,1.0416666666666667
#laforet,1.3333333333333333,0.16666666666666666,0.045454545454545456,0.16666666666666666,0.16666666666666666,0.3333333333333333,4.0,3.0,0.5,0.0,0.0,0.0,1.5,0.5
