VALEUR,#mathurin,#monsieur-robinot,#madame-brillard,#claudine,#lepine,#eraste,#angelique,#le-bailli
Fréquences (scènes),0.48,0.28,0.36,0.52,0.24,0.4,0.24,0.04
Fréquences(répliques),0.5735294117647058,0.4264705882352941,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.1875,0.109375,0.140625,0.1875,0.0859375,0.15625,0.109375,0.0234375
Déviations,#mathurin,#monsieur-robinot,#madame-brillard,#claudine,#lepine,#eraste,#angelique,#le-bailli
#mathurin,6.760000000000001,0.03857142857142864,0.4033333333333335,0.009230769230769247,0.005000000000000009,0.2999999999999996,0.26888888888888884,0.5633333333333335
#monsieur-robinot,0.03857142857142864,12.959999999999992,0.8692063492063492,0.03560439560439549,1.6800000000000002,2.8000000000000007,0.06095238095238088,1.8514285714285712
#madame-brillard,0.4033333333333335,0.8692063492063484,10.24,0.603076923076923,0.32666666666666655,0.10000000000000002,0.011851851851851872,0.36
#claudine,0.009230769230769247,0.03560439560439549,0.603076923076923,5.760000000000001,3.12,0.276923076923077,2.6584615384615384,0.44307692307692303
#lepine,0.005000000000000009,1.6800000000000002,0.32666666666666655,3.12,14.440000000000005,2.8166666666666655,1.44,0.24
#eraste,0.3000000000000001,2.8000000000000003,0.0999999999999999,0.276923076923077,2.816666666666667,9.0,0.06666666666666664,0.4000000000000001
#angelique,0.26888888888888884,0.06095238095238088,0.011851851851851872,2.6584615384615384,1.44,0.06666666666666678,14.440000000000005,0.24
#le-bailli,0.5633333333333335,1.8514285714285712,0.36,0.44307692307692303,0.24,0.4000000000000001,0.24,23.04
Successions,#mathurin,#monsieur-robinot,#madame-brillard,#claudine,#lepine,#eraste,#angelique,#le-bailli
#mathurin,0.0,0.2032520325203252,0.06504065040650407,0.1951219512195122,0.2926829268292683,0.21138211382113822,0.024390243902439025,0.008130081300813009
#monsieur-robinot,0.32432432432432434,0.0,0.24324324324324326,0.2972972972972973,0.0,0.0,0.10810810810810811,0.02702702702702703
#madame-brillard,0.11290322580645161,0.27419354838709675,0.0,0.1774193548387097,0.3709677419354839,0.03225806451612903,0.03225806451612903,0.0
#claudine,0.25,0.21875,0.10416666666666667,0.0,0.020833333333333332,0.21875,0.1875,0.0
#lepine,0.45454545454545453,0.0,0.2727272727272727,0.0,0.0,0.2727272727272727,0.0,0.0
#eraste,0.40789473684210525,0.0,0.05263157894736842,0.2236842105263158,0.21052631578947367,0.0,0.10526315789473684,0.0
#angelique,0.02564102564102564,0.23076923076923078,0.02564102564102564,0.5641025641025641,0.0,0.15384615384615385,0.0,0.0
#le-bailli,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
