VALEUR,#le-grand-bramine,#le-jeune-bramine,#le-bramine,#l-officier,#fatime,#la-veuve,#le-general,#un-bramine
Fréquences (scènes),0.42424242424242425,0.42424242424242425,0.030303030303030304,0.12121212121212122,0.15151515151515152,0.3939393939393939,0.3333333333333333,0.030303030303030304
Fréquences(répliques),0.20502645502645503,0.28174603174603174,0.010582010582010581,0.037037037037037035,0.06084656084656084,0.20171957671957672,0.2003968253968254,0.0026455026455026454
Confrontation,0.21052631578947367,0.2236842105263158,0.02631578947368421,0.05263157894736842,0.07894736842105263,0.19736842105263158,0.18421052631578946,0.02631578947368421
Déviations,#le-grand-bramine,#le-jeune-bramine,#le-bramine,#l-officier,#fatime,#la-veuve,#le-general,#un-bramine
#le-grand-bramine,10.93939393939394,0.14857761286332716,0.7813852813852812,0.28625541125541126,2.121212121212121,1.1470196470196468,0.0238095238095239,0.7813852813852812
#le-jeune-bramine,0.14857761286332716,10.93939393939394,0.7813852813852812,1.6969696969696972,0.006926406926406914,0.04262404262404271,0.5952380952380949,0.4242424242424243
#le-bramine,0.7813852813852812,0.7813852813852812,31.03030303030303,0.12121212121212122,0.15151515151515152,0.3939393939393939,0.3333333333333333,0.030303030303030304
#l-officier,0.28625541125541126,1.6969696969696972,0.12121212121212122,25.484848484848484,0.6060606060606061,1.5757575757575757,2.083333333333334,0.12121212121212122
#fatime,2.121212121212121,0.006926406926406914,0.15151515151515152,0.6060606060606061,23.757575757575754,2.092773892773893,1.6666666666666665,0.15151515151515152
#la-veuve,1.1470196470196472,0.04262404262404255,0.3939393939393939,1.5757575757575757,2.092773892773893,12.121212121212121,1.2564102564102562,0.3939393939393939
#le-general,0.023809523809523767,0.5952380952380953,0.33333333333333337,2.0833333333333326,1.6666666666666667,1.2564102564102562,14.66666666666667,1.333333333333333
#un-bramine,0.7813852813852812,0.4242424242424243,0.030303030303030304,0.12121212121212122,0.15151515151515152,0.3939393939393939,1.3333333333333337,31.03030303030303
Successions,#le-grand-bramine,#le-jeune-bramine,#le-bramine,#l-officier,#fatime,#la-veuve,#le-general,#un-bramine
#le-grand-bramine,0.06666666666666667,0.4222222222222222,0.022222222222222223,0.06666666666666667,0.0,0.1111111111111111,0.28888888888888886,0.022222222222222223
#le-jeune-bramine,0.27631578947368424,0.05263157894736842,0.013157894736842105,0.0,0.05263157894736842,0.3684210526315789,0.23684210526315788,0.0
#le-bramine,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-officier,0.25,0.0,0.0,0.0,0.0,0.0,0.75,0.0
#fatime,0.09090909090909091,0.13636363636363635,0.0,0.0,0.045454545454545456,0.7272727272727273,0.0,0.0
#la-veuve,0.03773584905660377,0.5660377358490566,0.0,0.0,0.32075471698113206,0.0,0.07547169811320754,0.0
#le-general,0.2549019607843137,0.39215686274509803,0.0,0.17647058823529413,0.0,0.0784313725490196,0.09803921568627451,0.0
#un-bramine,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
