VALEUR,#clarimonde,#lydiane,#melidor,#almazan,#solimont,#alcandre,#argiran,#lycas,#chef
Fréquences (scènes),0.5384615384615384,0.4230769230769231,0.3076923076923077,0.5384615384615384,0.3076923076923077,0.4230769230769231,0.15384615384615385,0.038461538461538464,0.038461538461538464
Fréquences(répliques),0.27193460490463217,0.061580381471389646,0.11335149863760217,0.2321525885558583,0.05122615803814714,0.2435967302452316,0.0223433242506812,0.0016348773841961854,0.0021798365122615805
Confrontation,0.17567567567567569,0.16216216216216217,0.0945945945945946,0.19594594594594594,0.12837837837837837,0.16891891891891891,0.05405405405405406,0.006756756756756757,0.013513513513513514
Déviations,#clarimonde,#lydiane,#melidor,#almazan,#solimont,#alcandre,#argiran,#lycas,#chef
#clarimonde,5.538461538461539,2.806193806193806,2.5398351648351656,0.8547880690737832,0.02197802197802207,0.0009990009990009918,2.153846153846154,0.5384615384615385,0.5384615384615385
#lydiane,2.806193806193807,8.653846153846152,1.6800699300699304,0.6243756243756241,0.043706293706293795,0.38938334392879825,1.6923076923076925,0.42307692307692313,0.42307692307692313
#melidor,2.5398351648351647,1.68006993006993,12.46153846153846,0.02197802197802195,0.8677884615384617,0.770979020979021,0.04326923076923079,0.3076923076923077,1.5576923076923075
#almazan,0.8547880690737832,0.6243756243756245,0.02197802197802207,5.538461538461539,0.6648351648351642,0.6243756243756245,1.5824175824175817,0.3956043956043954,0.3956043956043954
#solimont,0.02197802197802195,0.0437062937062937,0.8677884615384617,0.664835164835165,12.46153846153846,0.0437062937062937,0.48076923076923067,0.3076923076923077,0.3076923076923077
#alcandre,0.000999000999001015,0.38938334392879825,0.7709790209790206,0.6243756243756241,0.043706293706293795,8.653846153846152,0.28321678321678334,0.42307692307692313,0.42307692307692313
#argiran,2.1538461538461537,1.6923076923076923,0.04326923076923079,1.5824175824175828,0.48076923076923067,0.2832167832167832,18.615384615384613,0.15384615384615385,0.15384615384615385
#lycas,0.5384615384615384,0.4230769230769231,0.3076923076923077,0.3956043956043957,0.3076923076923077,0.4230769230769231,0.15384615384615385,24.038461538461537,0.038461538461538464
#chef,0.5384615384615384,0.4230769230769231,1.5576923076923075,0.3956043956043957,0.3076923076923077,0.4230769230769231,0.15384615384615385,0.038461538461538464,24.038461538461537
Successions,#clarimonde,#lydiane,#melidor,#almazan,#solimont,#alcandre,#argiran,#lycas,#chef
#clarimonde,0.0,0.28431372549019607,0.0784313725490196,0.20588235294117646,0.09803921568627451,0.3333333333333333,0.0,0.0,0.0
#lydiane,0.825,0.0,0.025,0.0,0.0,0.15,0.0,0.0,0.0
#melidor,0.14583333333333334,0.020833333333333332,0.0,0.5208333333333334,0.0,0.2708333333333333,0.020833333333333332,0.0,0.020833333333333332
#almazan,0.2222222222222222,0.011111111111111112,0.2777777777777778,0.022222222222222223,0.1,0.23333333333333334,0.1111111111111111,0.022222222222222223,0.0
#solimont,0.45,0.0,0.0,0.45,0.0,0.05,0.05,0.0,0.0
#alcandre,0.44,0.12,0.17333333333333334,0.25333333333333335,0.013333333333333334,0.0,0.0,0.0,0.0
#argiran,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#argiran,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#chef,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
