VALEUR,#feignant,#milady,#mordonc,#caramel,#fortos,#pathos,#cromwell,#le-garçon,#tous,#caramel #fortos
Fréquences (scènes),0.9090909090909091,0.6363636363636364,0.6363636363636364,0.7272727272727273,0.7272727272727273,0.18181818181818182,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.09090909090909091
Fréquences(répliques),0.37251356238698013,0.13200723327305605,0.20253164556962025,0.08318264014466546,0.09041591320072333,0.0108499095840868,0.09584086799276673,0.007233273056057866,0.003616636528028933,0.0018083182640144665
Confrontation,0.18269230769230768,0.125,0.1201923076923077,0.16346153846153846,0.16346153846153846,0.052884615384615384,0.07692307692307693,0.028846153846153848,0.057692307692307696,0.028846153846153848
Déviations,#feignant,#milady,#mordonc,#caramel,#fortos,#pathos,#cromwell,#le-garçon,#tous,#caramel #fortos
#feignant,0.09090909090909112,0.02077922077922074,0.02077922077922074,0.07272727272727258,0.07272727272727258,0.018181818181818146,0.03636363636363629,0.009090909090909073,0.018181818181818146,0.009090909090909073
#milady,0.02077922077922074,1.4545454545454553,0.06679035250463833,0.0016233766233766204,0.0016233766233766204,0.05844155844155843,0.11688311688311687,0.2077922077922078,0.05844155844155843,0.6363636363636364
#mordonc,0.02077922077922074,0.06679035250463833,1.4545454545454553,0.23376623376623373,0.23376623376623373,0.4155844155844156,0.11688311688311687,0.6363636363636364,0.05844155844155843,0.2077922077922078
#caramel,0.07272727272727278,0.0016233766233766204,0.23376623376623373,0.818181818181818,0.818181818181818,0.2045454545454545,0.0028409090909090854,0.10227272727272725,0.2045454545454545,0.10227272727272725
#caramel,0.07272727272727278,0.0016233766233766204,0.23376623376623373,0.818181818181818,0.818181818181818,0.2045454545454545,0.0028409090909090854,0.10227272727272725,0.2045454545454545,0.10227272727272725
#pathos,0.018181818181818195,0.05844155844155843,0.4155844155844156,0.2045454545454545,0.2045454545454545,7.363636363636362,0.7272727272727273,0.18181818181818182,1.1136363636363635,3.681818181818181
#cromwell,0.03636363636363639,0.11688311688311687,0.11688311688311687,0.0028409090909090854,0.0028409090909090854,0.7272727272727273,4.454545454545454,1.1136363636363635,0.10227272727272725,0.36363636363636365
#le-garçon,0.009090909090909097,0.2077922077922078,0.6363636363636364,0.10227272727272725,0.10227272727272725,0.18181818181818182,1.1136363636363635,9.09090909090909,3.681818181818181,0.09090909090909091
#tous,0.018181818181818195,0.05844155844155843,0.05844155844155843,0.2045454545454545,0.2045454545454545,1.1136363636363635,0.10227272727272725,3.681818181818181,7.363636363636362,3.681818181818181
#caramel #fortos,0.009090909090909097,0.6363636363636364,0.2077922077922078,0.10227272727272725,0.10227272727272725,3.681818181818181,0.36363636363636365,0.09090909090909091,3.681818181818181,9.09090909090909
Successions,#feignant,#milady,#mordonc,#caramel,#fortos,#pathos,#cromwell,#le-garçon,#tous,#caramel #fortos
#feignant,0.011764705882352941,0.23529411764705882,0.25882352941176473,0.11764705882352941,0.21176470588235294,0.058823529411764705,0.09411764705882353,0.011764705882352941,0.0,0.0
#milady,0.6216216216216216,0.0,0.16216216216216217,0.10810810810810811,0.0,0.0,0.08108108108108109,0.0,0.02702702702702703,0.0
#mordonc,0.32727272727272727,0.10909090909090909,0.01818181818181818,0.14545454545454545,0.09090909090909091,0.0,0.2727272727272727,0.0,0.01818181818181818,0.01818181818181818
#caramel,0.41935483870967744,0.12903225806451613,0.22580645161290322,0.0,0.12903225806451613,0.03225806451612903,0.06451612903225806,0.0,0.0,0.0
#fortos,0.45161290322580644,0.12903225806451613,0.12903225806451613,0.1935483870967742,0.0,0.0,0.03225806451612903,0.06451612903225806,0.0,0.0
#pathos,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
#cromwell,0.36666666666666664,0.06666666666666667,0.4666666666666667,0.03333333333333333,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,0.0
#le-garçon,0.5,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0
#tous,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
#caramel #fortos,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
