VALEUR,#isabelle,#valere,#paillardet,#agnes,#bibi,#pousse,#barbe,#branlard
Fréquences (scènes),0.5,0.5833333333333334,0.4166666666666667,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.25
Fréquences(répliques),0.2,0.2847826086956522,0.09565217391304348,0.12173913043478261,0.08260869565217391,0.09130434782608696,0.02391304347826087,0.1
Confrontation,0.15384615384615385,0.25,0.15384615384615385,0.15384615384615385,0.09615384615384616,0.07692307692307693,0.019230769230769232,0.09615384615384616
Déviations,#isabelle,#valere,#paillardet,#agnes,#bibi,#pousse,#barbe,#branlard
#isabelle,3.0,0.07142857142857142,0.9,2.0,1.0,0.5,0.5,0.16666666666666666
#valere,0.07142857142857142,2.083333333333332,0.002380952380952364,0.04761904761904754,0.02380952380952377,0.2976190476190477,0.5833333333333333,0.03571428571428571
#paillardet,0.9,0.002380952380952364,4.083333333333332,0.06666666666666674,0.03333333333333337,0.8166666666666669,0.41666666666666663,1.25
#agnes,2.0,0.04761904761904766,0.06666666666666664,5.333333333333335,2.6666666666666674,1.3333333333333337,0.3333333333333333,0.0
#bibi,1.0,0.02380952380952383,0.03333333333333332,2.6666666666666674,8.333333333333336,4.166666666666668,0.16666666666666666,0.5
#pousse,0.5,0.29761904761904756,0.8166666666666664,1.3333333333333337,4.166666666666668,10.083333333333332,0.08333333333333333,0.25
#barbe,0.5,0.5833333333333334,0.4166666666666667,0.3333333333333333,0.16666666666666666,0.08333333333333333,10.083333333333332,0.25
#branlard,0.16666666666666666,0.03571428571428571,1.25,0.0,0.5,0.25,0.25,6.75
Successions,#isabelle,#valere,#paillardet,#agnes,#bibi,#pousse,#barbe,#branlard
#isabelle,0.0,0.5853658536585366,0.0,0.0,0.0,0.0,0.024390243902439025,0.3902439024390244
#valere,0.5813953488372093,0.0,0.23255813953488372,0.09302325581395349,0.023255813953488372,0.023255813953488372,0.0,0.046511627906976744
#paillardet,0.0,0.6875,0.0,0.25,0.0,0.0625,0.0,0.0
#agnes,0.0,0.2222222222222222,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.1111111111111111
#bibi,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#pousse,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
#barbe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#branlard,0.7,0.15,0.0,0.1,0.0,0.0,0.05,0.0
