VALEUR,#iphigenie,#ismenie,#eumene,#thoas,#oreste,#pilade,#l-esclave,#ensemble,#arbas,#oreste #iphigenie
Fréquences (scènes),0.7916666666666666,0.375,0.20833333333333334,0.20833333333333334,0.3333333333333333,0.3333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
Fréquences(répliques),0.4164305949008499,0.0679886685552408,0.0169971671388102,0.14305949008498584,0.20538243626062322,0.10339943342776203,0.0169971671388102,0.0084985835694051,0.00424929178470255,0.0169971671388102
Confrontation,0.2980769230769231,0.14423076923076922,0.10576923076923077,0.08653846153846154,0.1346153846153846,0.1346153846153846,0.028846153846153848,0.019230769230769232,0.009615384615384616,0.038461538461538464
Déviations,#iphigenie,#ismenie,#eumene,#thoas,#oreste,#pilade,#l-esclave,#ensemble,#arbas,#oreste #iphigenie
#iphigenie,1.041666666666667,0.1074561403508772,0.27412280701754377,0.0004385964912280671,0.2807017543859648,0.017543859649122775,0.05482456140350879,0.05482456140350879,0.7916666666666666,0.05482456140350879
#ismenie,0.1074561403508772,9.375,5.208333333333333,1.875,3.0,1.3333333333333333,1.0416666666666667,0.375,0.375,0.375
#eumene,0.27412280701754405,5.208333333333333,15.041666666666663,1.0416666666666667,1.6666666666666665,1.6666666666666665,3.008333333333334,0.20833333333333331,0.20833333333333331,0.20833333333333331
#thoas,0.0004385964912280764,1.875,1.0416666666666667,15.041666666666663,0.06666666666666674,0.26666666666666655,0.20833333333333331,0.20833333333333331,3.008333333333334,3.008333333333334
#oreste,0.2807017543859648,3.0,1.6666666666666667,0.06666666666666664,10.66666666666667,2.0416666666666674,0.3333333333333333,1.3333333333333337,0.3333333333333333,1.3333333333333337
#pilade,0.017543859649122775,1.3333333333333333,1.6666666666666667,0.2666666666666667,2.0416666666666674,10.66666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333337
#l-esclave,0.05482456140350879,1.0416666666666667,3.008333333333333,0.20833333333333334,0.3333333333333333,0.3333333333333333,22.04166666666667,0.041666666666666664,0.041666666666666664,0.041666666666666664
#ensemble,0.05482456140350879,0.375,0.20833333333333334,0.20833333333333334,1.3333333333333337,0.3333333333333333,0.041666666666666664,22.04166666666667,0.041666666666666664,0.041666666666666664
#arbas,0.7916666666666666,0.375,0.20833333333333334,3.008333333333333,0.3333333333333333,0.3333333333333333,0.041666666666666664,0.041666666666666664,22.04166666666667,0.041666666666666664
#oreste #iphigenie,0.05482456140350879,0.375,0.20833333333333334,3.008333333333333,1.3333333333333337,1.3333333333333337,0.041666666666666664,0.041666666666666664,0.041666666666666664,22.04166666666667
Successions,#iphigenie,#ismenie,#eumene,#thoas,#oreste,#pilade,#l-esclave,#ensemble,#arbas,#oreste #iphigenie
#iphigenie,0.05154639175257732,0.16494845360824742,0.05154639175257732,0.17525773195876287,0.29896907216494845,0.24742268041237114,0.010309278350515464,0.0,0.0,0.0
#ismenie,0.8095238095238095,0.047619047619047616,0.0,0.047619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0
#eumene,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#thoas,0.68,0.08,0.0,0.0,0.08,0.04,0.0,0.0,0.08,0.04
#oreste,0.5333333333333333,0.0,0.0,0.05,0.03333333333333333,0.35,0.0,0.03333333333333333,0.0,0.0
#pilade,0.425531914893617,0.0,0.0,0.02127659574468085,0.5531914893617021,0.0,0.0,0.0,0.0,0.0
#l-esclave,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ensemble,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0
#arbas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#oreste #iphigenie,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
