VALEUR,#elisabeth,#le-comte-d-essex,#alix,#le-capitaine-des-gardes,#le-comte-de-soubtantonne,#le-capitaine,#cecile,#le-comte-de-salisbury,#madame-cecile,#raleig,#popham,#l-huissier,#leonore
Fréquences (scènes),0.5185185185185185,0.3333333333333333,0.25925925925925924,0.037037037037037035,0.18518518518518517,0.07407407407407407,0.14814814814814814,0.037037037037037035,0.2962962962962963,0.18518518518518517,0.037037037037037035,0.037037037037037035,0.07407407407407407
Fréquences(répliques),0.3103448275862069,0.26738270209157716,0.03674392312040701,0.0005652911249293386,0.11192764273600904,0.007348784624081402,0.05822498586772187,0.013566986998304126,0.12832108535895986,0.01921989824759751,0.029960429621254947,0.0022611644997173543,0.014132278123233465
Confrontation,0.1956521739130435,0.14130434782608695,0.10869565217391304,0.021739130434782608,0.10869565217391304,0.043478260869565216,0.08695652173913043,0.021739130434782608,0.07608695652173914,0.10869565217391304,0.043478260869565216,0.010869565217391304,0.03260869565217391
Déviations,#elisabeth,#le-comte-d-essex,#alix,#le-capitaine-des-gardes,#le-comte-de-soubtantonne,#le-capitaine,#cecile,#le-comte-de-salisbury,#madame-cecile,#raleig,#popham,#l-huissier,#leonore
#elisabeth,6.259259259259261,2.88095238095238,3.1296296296296306,0.44708994708994715,0.9783068783068783,1.037037037037037,0.5562169312169312,0.44708994708994715,1.1124338624338623,0.9783068783068783,0.5185185185185185,0.44708994708994715,0.8941798941798943
#le-comte-d-essex,2.88095238095238,12.0,2.333333333333333,0.3333333333333333,1.0666666666666669,2.6666666666666674,0.0833333333333333,0.3333333333333333,0.1666666666666666,1.0666666666666669,1.3333333333333337,0.3333333333333333,0.6666666666666666
#alix,3.1296296296296306,2.333333333333333,14.814814814814815,2.1164021164021163,1.2962962962962963,0.5185185185185185,1.037037037037037,0.25925925925925924,0.5562169312169312,1.2962962962962963,0.25925925925925924,0.25925925925925924,0.44708994708994715
#le-capitaine-des-gardes,0.44708994708994715,0.3333333333333333,2.1164021164021163,25.03703703703704,0.18518518518518517,0.07407407407407407,0.14814814814814814,0.037037037037037035,0.2962962962962963,0.18518518518518517,0.037037037037037035,0.037037037037037035,0.07407407407407407
#le-comte-de-soubtantonne,0.9783068783068783,1.0666666666666669,1.2962962962962963,0.18518518518518517,17.92592592592593,1.0703703703703706,0.09074074074074077,0.18518518518518517,1.4814814814814814,4.645925925925928,3.5851851851851864,0.18518518518518517,0.37037037037037035
#le-capitaine,1.037037037037037,2.6666666666666674,0.5185185185185185,0.07407407407407407,1.0703703703703706,23.148148148148152,0.2962962962962963,0.07407407407407407,0.5925925925925926,1.0703703703703706,0.07407407407407407,0.07407407407407407,0.14814814814814814
#cecile,0.5562169312169312,0.0833333333333333,1.037037037037037,0.14814814814814814,0.09074074074074077,0.2962962962962963,19.59259259259259,4.898148148148148,0.5601851851851853,0.09074074074074077,4.898148148148148,0.14814814814814814,0.2962962962962963
#le-comte-de-salisbury,0.44708994708994715,0.3333333333333333,0.25925925925925924,0.037037037037037035,0.18518518518518517,0.07407407407407407,4.898148148148148,25.03703703703704,0.2962962962962963,0.18518518518518517,0.037037037037037035,0.037037037037037035,0.07407407407407407
#madame-cecile,1.1124338624338623,0.1666666666666666,0.5562169312169312,0.2962962962962963,1.4814814814814814,0.5925925925925926,0.5601851851851853,0.2962962962962963,13.370370370370372,1.4814814814814814,0.2962962962962963,0.2962962962962963,0.5925925925925926
#raleig,0.9783068783068783,1.0666666666666669,1.2962962962962963,0.18518518518518517,4.645925925925928,1.0703703703703706,0.09074074074074077,0.18518518518518517,1.4814814814814814,17.92592592592593,3.5851851851851864,0.18518518518518517,0.37037037037037035
#popham,0.5185185185185185,1.3333333333333337,0.25925925925925924,0.037037037037037035,3.5851851851851864,0.07407407407407407,4.898148148148148,0.037037037037037035,0.2962962962962963,3.5851851851851864,25.03703703703704,0.037037037037037035,0.07407407407407407
