VALEUR,#arcas,#danaüs,#hypermnestre,#le-choeur,#un-du-choeur,#l-ombre,#le-choeur-des-matelots,#lyncee,#hypermnestre #lyncee,#le-grand-pretre,#un-paysan,#une-bergere,#hyypermnestre,#choeur-des-fils-d-egyptus,#l-egyptien,#choeur-des-argiens
Fréquences (scènes),0.1111111111111111,0.5,0.6111111111111112,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.4444444444444444,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
Fréquences(répliques),0.05783132530120482,0.24819277108433735,0.3204819277108434,0.021686746987951807,0.014457831325301205,0.01927710843373494,0.004819277108433735,0.19759036144578312,0.007228915662650603,0.00963855421686747,0.012048192771084338,0.02650602409638554,0.01927710843373494,0.016867469879518072,0.00963855421686747,0.014457831325301205
Confrontation,0.031914893617021274,0.1702127659574468,0.20212765957446807,0.1276595744680851,0.031914893617021274,0.031914893617021274,0.010638297872340425,0.19148936170212766,0.031914893617021274,0.0425531914893617,0.02127659574468085,0.02127659574468085,0.0,0.02127659574468085,0.031914893617021274,0.031914893617021274
Déviations,#arcas,#danaüs,#hypermnestre,#le-choeur,#un-du-choeur,#l-ombre,#le-choeur-des-matelots,#lyncee,#hypermnestre #lyncee,#le-grand-pretre,#un-paysan,#une-bergere,#hyypermnestre,#choeur-des-fils-d-egyptus,#l-egyptien,#choeur-des-argiens
#arcas,14.222222222222221,1.0,1.2222222222222223,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.013888888888888902,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
#danaüs,1.0,4.5,0.045454545454545456,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
#hypermnestre,1.222222222222222,0.045454545454545456,2.722222222222221,0.08080808080808072,0.611111111111111,0.611111111111111,0.2474747474747476,0.25252525252525276,0.2474747474747476,0.2474747474747476,0.611111111111111,0.611111111111111,0.611111111111111,0.2474747474747476,0.2474747474747476,0.2474747474747476
#le-choeur,0.4444444444444444,0.0,0.08080808080808087,10.88888888888889,2.7222222222222223,2.7222222222222223,0.2222222222222222,0.027777777777777804,2.7222222222222223,2.7222222222222223,2.7222222222222223,2.7222222222222223,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222
#un-du-choeur,0.1111111111111111,0.5,0.6111111111111112,2.7222222222222223,16.055555555555557,16.055555555555557,0.05555555555555555,0.4444444444444444,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
#un-du-choeur,0.1111111111111111,0.5,0.6111111111111112,2.7222222222222223,16.055555555555557,16.055555555555557,0.05555555555555555,0.4444444444444444,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
#le-choeur-des-matelots,0.1111111111111111,0.5,0.24747474747474738,0.2222222222222222,0.05555555555555555,0.05555555555555555,16.055555555555557,0.4444444444444444,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
#lyncee,0.013888888888888902,0.0,0.2525252525252523,0.027777777777777804,0.4444444444444444,0.4444444444444444,0.4444444444444444,5.555555555555556,0.6944444444444445,0.6944444444444445,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.6944444444444445,0.6944444444444445,0.6944444444444445
#hypermnestre #lyncee,0.1111111111111111,0.5,0.24747474747474738,2.7222222222222223,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.6944444444444445,16.055555555555557,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
#le-grand-pretre,0.1111111111111111,0.5,0.24747474747474738,2.7222222222222223,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.6944444444444445,0.05555555555555555,16.055555555555557,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
#un-paysan,0.1111111111111111,0.5,0.6111111111111112,2.7222222222222223,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.4444444444444444,0.05555555555555555,0.05555555555555555,16.055555555555557,16.055555555555557,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
#un-paysan,0.1111111111111111,0.5,0.6111111111111112,2.7222222222222223,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.4444444444444444,0.05555555555555555,0.05555555555555555,16.055555555555557,16.055555555555557,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
#hyypermnestre,0.1111111111111111,0.5,0.6111111111111112,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.4444444444444444,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,16.055555555555557,0.05555555555555555,0.05555555555555555,0.05555555555555555
#choeur-des-fils-d-egyptus,0.1111111111111111,0.5,0.24747474747474738,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.6944444444444445,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,16.055555555555557,0.05555555555555555,0.05555555555555555
#l-egyptien,0.1111111111111111,0.5,0.24747474747474738,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.6944444444444445,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,16.055555555555557,16.055555555555557
