VALEUR,#hidaspe,#tirsis,#calistene,#clitophon,#clinias,#lucipe,#hippias,#satire,#panthie,#menelas,#soldat,#busire,#leonte,#timandre,#heraut,#charmide,#cheree,#eriphile,#melite,#prisonnier,#le-geolier,#tersandre,#polemon,#le-juge,#sostrate
Fréquences (scènes),0.034482758620689655,0.034482758620689655,0.034482758620689655,0.5517241379310345,0.20689655172413793,0.27586206896551724,0.017241379310344827,0.3103448275862069,0.017241379310344827,0.10344827586206896,0.06896551724137931,0.05172413793103448,0.05172413793103448,0.1206896551724138,0.034482758620689655,0.10344827586206896,0.034482758620689655,0.05172413793103448,0.1206896551724138,0.034482758620689655,0.017241379310344827,0.05172413793103448,0.017241379310344827,0.08620689655172414,0.06896551724137931
Fréquences(répliques),0.0350609756097561,0.009146341463414634,0.017276422764227643,0.2815040650406504,0.06402439024390244,0.12703252032520326,0.0040650406504065045,0.12347560975609756,0.003048780487804878,0.041158536585365856,0.013719512195121951,0.023373983739837397,0.011178861788617886,0.03404471544715447,0.0040650406504065045,0.04065040650406504,0.009146341463414634,0.009146341463414634,0.0508130081300813,0.020833333333333332,0.0005081300813008131,0.031504065040650404,0.009146341463414634,0.023373983739837397,0.012703252032520325
Confrontation,0.011029411764705883,0.011029411764705883,0.01838235294117647,0.20955882352941177,0.08455882352941177,0.11397058823529412,0.011029411764705883,0.1323529411764706,0.011029411764705883,0.029411764705882353,0.022058823529411766,0.022058823529411766,0.022058823529411766,0.04044117647058824,0.007352941176470588,0.03676470588235294,0.011029411764705883,0.022058823529411766,0.04779411764705882,0.014705882352941176,0.003676470588235294,0.029411764705882353,0.007352941176470588,0.04044117647058824,0.04044117647058824
Déviations,#hidaspe,#tirsis,#calistene,#clitophon,#clinias,#lucipe,#hippias,#satire,#panthie,#menelas,#soldat,#busire,#leonte,#timandre,#heraut,#charmide,#cheree,#eriphile,#melite,#prisonnier,#le-geolier,#tersandre,#polemon,#le-juge,#sostrate
#hidaspe,54.06896551724139,54.06896551724139,12.568965517241379,1.103448275862069,0.41379310344827586,0.5517241379310345,0.034482758620689655,0.6206896551724138,0.034482758620689655,0.20689655172413793,0.13793103448275862,0.10344827586206896,0.10344827586206896,0.2413793103448276,0.06896551724137931,0.20689655172413793,0.06896551724137931,0.10344827586206896,0.2413793103448276,0.06896551724137931,0.034482758620689655,0.10344827586206896,0.034482758620689655,0.1724137931034483,0.13793103448275862
#hidaspe,54.06896551724139,54.06896551724139,12.568965517241379,1.103448275862069,0.41379310344827586,0.5517241379310345,0.034482758620689655,0.6206896551724138,0.034482758620689655,0.20689655172413793,0.13793103448275862,0.10344827586206896,0.10344827586206896,0.2413793103448276,0.06896551724137931,0.20689655172413793,0.06896551724137931,0.10344827586206896,0.2413793103448276,0.06896551724137931,0.034482758620689655,0.10344827586206896,0.034482758620689655,0.1724137931034483,0.13793103448275862
#calistene,12.568965517241379,12.568965517241379,54.06896551724139,1.103448275862069,0.41379310344827586,0.5517241379310345,27.034482758620694,0.23180076628352486,27.034482758620694,0.20689655172413793,0.13793103448275862,0.10344827586206896,0.10344827586206896,0.2413793103448276,0.06896551724137931,0.20689655172413793,0.06896551724137931,0.10344827586206896,0.2413793103448276,0.06896551724137931,0.034482758620689655,0.10344827586206896,0.034482758620689655,0.1724137931034483,0.13793103448275862
#clitophon,1.103448275862069,1.103448275862069,1.103448275862069,11.655172413793105,0.8550646551724138,0.5346174568965517,0.5517241379310345,0.1150622605363984,0.5517241379310345,1.6124281609195403,2.206896551724138,0.2593390804597701,0.2593390804597701,0.004926108374384224,1.103448275862069,0.14367816091954025,0.009698275862068962,0.07183908045977012,0.1924261083743843,0.009698275862068962,0.36422413793103453,0.2593390804597701,0.5517241379310345,0.02112068965517238,0.28502155172413796
#clinias,0.41379310344827586,0.41379310344827586,0.41379310344827586,0.8550646551724138,36.48275862068966,0.14367816091954025,0.20689655172413793,4.909323116219666,0.20689655172413793,1.2413793103448276,0.8275862068965517,0.6206896551724138,0.6206896551724138,1.4482758620689657,0.41379310344827586,1.2413793103448276,0.41379310344827586,0.23180076628352486,1.4482758620689657,0.8304597701149428,0.20689655172413793,0.6206896551724138,0.20689655172413793,1.0344827586206897,0.8275862068965517
#lucipe,0.5517241379310345,0.5517241379310345,0.5517241379310345,0.5346174568965517,0.14367816091954025,30.41379310344828,0.27586206896551724,0.18773946360153262,0.27586206896551724,0.2593390804597701,0.009698275862068962,0.8275862068965517,0.8275862068965517,1.9310344827586208,0.5517241379310345,1.6551724137931034,0.36422413793103453,0.03591954022988506,0.5917487684729063,0.5517241379310345,0.27586206896551724,0.03591954022988506,0.27586206896551724,0.2793103448275861,0.7284482758620691
#hippias,0.034482758620689655,0.034482758620689655,27.034482758620694,0.5517241379310345,0.20689655172413793,0.27586206896551724,56.01724137931034,1.5325670498084292,56.01724137931034,0.10344827586206896,0.06896551724137931,0.05172413793103448,0.05172413793103448,0.1206896551724138,0.034482758620689655,0.10344827586206896,0.034482758620689655,0.05172413793103448,0.1206896551724138,0.034482758620689655,0.017241379310344827,0.05172413793103448,0.017241379310344827,0.08620689655172414,0.06896551724137931
#satire,0.6206896551724138,0.6206896551724138,0.23180076628352486,0.1150622605363984,4.909323116219669,0.18773946360153262,1.5325670498084292,27.586206896551726,1.5325670498084292,2.4546615581098346,0.046934865900383156,0.9310344827586207,0.005108556832694768,0.6327312534209087,0.6206896551724138,1.8620689655172413,0.6206896551724138,0.005108556832694768,2.1724137931034484,0.23180076628352486,0.3103448275862069,0.9310344827586207,0.3103448275862069,1.5517241379310347,0.046934865900383156
#hippias,0.034482758620689655,0.034482758620689655,27.034482758620694,0.5517241379310345,0.20689655172413793,0.27586206896551724,56.01724137931034,1.5325670498084292,56.01724137931034,0.10344827586206896,0.06896551724137931,0.05172413793103448,0.05172413793103448,0.1206896551724138,0.034482758620689655,0.10344827586206896,0.034482758620689655,0.05172413793103448,0.1206896551724138,0.034482758620689655,0.017241379310344827,0.05172413793103448,0.017241379310344827,0.08620689655172414,0.06896551724137931
#menelas,0.20689655172413793,0.20689655172413793,0.20689655172413793,1.6124281609195403,1.2413793103448276,0.2593390804597701,0.10344827586206896,2.454661558109833,0.10344827586206896,46.62068965517241,6.080459770114944,0.3103448275862069,0.3103448275862069,0.7241379310344829,0.20689655172413793,0.6206896551724138,0.20689655172413793,0.3103448275862069,0.7241379310344829,0.20689655172413793,0.10344827586206896,0.3103448275862069,0.10344827586206896,0.5172413793103449,0.41379310344827586
#soldat,0.13793103448275862,0.13793103448275862,0.13793103448275862,2.206896551724138,0.8275862068965517,0.009698275862068962,0.06896551724137931,0.046934865900383156,0.06896551724137931,6.080459770114944,50.275862068965516,3.040229885057472,3.040229885057472,0.4827586206896552,0.13793103448275862,0.41379310344827586,0.13793103448275862,0.20689655172413793,0.4827586206896552,0.13793103448275862,0.06896551724137931,0.20689655172413793,0.06896551724137931,0.3448275862068966,0.27586206896551724
#busire,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.2593390804597701,0.6206896551724138,0.8275862068965517,0.05172413793103448,0.9310344827586208,0.05172413793103448,0.3103448275862069,3.040229885057472,52.15517241379309,21.93295019157088,1.1239737274220036,0.10344827586206896,1.5325670498084292,0.10344827586206896,0.15517241379310345,0.36206896551724144,0.10344827586206896,0.05172413793103448,0.15517241379310345,0.05172413793103448,0.25862068965517243,0.20689655172413793
#leonte,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.2593390804597701,0.6206896551724138,0.8275862068965517,0.05172413793103448,0.005108556832694751,0.05172413793103448,0.3103448275862069,3.040229885057472,21.93295019157088,52.15517241379309,1.1239737274220036,0.10344827586206896,0.3103448275862069,0.10344827586206896,0.15517241379310345,0.36206896551724144,0.10344827586206896,0.05172413793103448,0.15517241379310345,0.05172413793103448,0.25862068965517243,0.20689655172413793
#timandre,0.24137931034482757,0.24137931034482757,0.24137931034482757,0.0049261083743842565,1.4482758620689657,1.9310344827586206,0.12068965517241378,0.6327312534209087,0.12068965517241378,0.7241379310344829,0.48275862068965514,1.1239737274220036,1.1239737274220036,44.8448275862069,2.38423645320197,7.152709359605912,0.24137931034482757,0.36206896551724144,0.8448275862068967,0.24137931034482757,0.12068965517241378,0.36206896551724144,0.12068965517241378,0.603448275862069,0.48275862068965514
#heraut,0.06896551724137931,0.06896551724137931,0.06896551724137931,1.103448275862069,0.41379310344827586,0.5517241379310345,0.034482758620689655,0.6206896551724138,0.034482758620689655,0.20689655172413793,0.13793103448275862,0.10344827586206896,0.10344827586206896,2.38423645320197,54.06896551724139,3.040229885057472,0.06896551724137931,0.10344827586206896,0.2413793103448276,0.06896551724137931,0.034482758620689655,0.10344827586206896,0.034482758620689655,0.1724137931034483,0.13793103448275862
#charmide,0.20689655172413793,0.20689655172413793,0.20689655172413793,0.14367816091954025,1.2413793103448276,1.6551724137931034,0.10344827586206896,1.8620689655172415,0.10344827586206896,0.6206896551724138,0.41379310344827586,1.5325670498084292,0.3103448275862069,7.152709359605912,3.040229885057472,46.62068965517241,3.040229885057472,0.3103448275862069,0.7241379310344829,0.20689655172413793,0.10344827586206896,0.3103448275862069,0.10344827586206896,0.5172413793103449,0.41379310344827586
#cheree,0.06896551724137931,0.06896551724137931,0.06896551724137931,0.009698275862068962,0.41379310344827586,0.36422413793103453,0.034482758620689655,0.6206896551724138,0.034482758620689655,0.20689655172413793,0.13793103448275862,0.10344827586206896,0.10344827586206896,0.2413793103448276,0.06896551724137931,3.040229885057472,54.06896551724139,0.10344827586206896,0.2413793103448276,0.06896551724137931,0.034482758620689655,0.10344827586206896,0.034482758620689655,0.1724137931034483,0.13793103448275862
