VALEUR,#cassander,#perdiccas,#roxane,#hesione,#peucestas,#leonatus,#statira,#cleone
Fréquences (scènes),0.25,0.2222222222222222,0.5555555555555556,0.1388888888888889,0.08333333333333333,0.2777777777777778,0.5,0.1388888888888889
Fréquences(répliques),0.13529411764705881,0.15058823529411763,0.2723529411764706,0.01411764705882353,0.010588235294117647,0.15176470588235294,0.24823529411764705,0.017058823529411765
Confrontation,0.12264150943396226,0.11320754716981132,0.25471698113207547,0.05660377358490566,0.02830188679245283,0.1509433962264151,0.2169811320754717,0.05660377358490566
Déviations,#cassander,#perdiccas,#roxane,#hesione,#peucestas,#leonatus,#statira,#cleone
#cassander,20.25,0.0,0.0,0.05,0.08333333333333333,0.1,1.3888888888888888,1.25
#perdiccas,0.0,21.77777777777778,0.4694444444444445,1.1111111111111112,0.1666666666666667,0.27222222222222214,0.25,1.1111111111111112
#roxane,0.0,0.4694444444444445,7.1111111111111125,1.7777777777777781,0.26666666666666655,0.05555555555555552,0.4,2.7777777777777777
#hesione,0.05,1.1111111111111112,1.7777777777777781,26.694444444444443,0.41666666666666663,1.3888888888888888,2.5,0.6944444444444444
#peucestas,0.08333333333333333,0.1666666666666667,0.2666666666666667,0.4166666666666667,30.25,0.8333333333333334,1.5,0.4166666666666667
#leonatus,0.1,0.27222222222222214,0.05555555555555552,1.3888888888888888,0.8333333333333333,18.77777777777778,0.0,0.10888888888888885
#statira,1.3888888888888888,0.25,0.4,2.5,1.5,0.0,9.0,2.5
#cleone,1.25,1.1111111111111112,2.7777777777777777,0.6944444444444444,0.41666666666666663,0.10888888888888885,2.5,26.694444444444443
Successions,#cassander,#perdiccas,#roxane,#hesione,#peucestas,#leonatus,#statira,#cleone
#cassander,0.0,0.06896551724137931,0.6551724137931034,0.0,0.034482758620689655,0.034482758620689655,0.20689655172413793,0.0
#perdiccas,0.11538461538461539,0.0,0.23076923076923078,0.038461538461538464,0.07692307692307693,0.3076923076923077,0.23076923076923078,0.0
#roxane,0.26153846153846155,0.09230769230769231,0.03076923076923077,0.07692307692307693,0.015384615384615385,0.23076923076923078,0.2923076923076923,0.0
#hesione,0.14285714285714285,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0
#peucestas,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0
#leonatus,0.022727272727272728,0.1590909090909091,0.3181818181818182,0.0,0.0,0.022727272727272728,0.4772727272727273,0.0
#statira,0.12903225806451613,0.14516129032258066,0.25806451612903225,0.016129032258064516,0.0,0.27419354838709675,0.016129032258064516,0.16129032258064516
#cleone,0.0,0.0,0.1,0.0,0.0,0.1,0.8,0.0
