VALEUR,#reine-d-angleterre,#conseiller,#choeur-des-etats,#davison,#suivantes-de-la-reine-d-ecosse-,#reine-d-ecosse,#suivantes-de-la-reine-d-ecosse,#page,#maitre-d-hotel,#messager
Fréquences (scènes),0.4,0.2,0.4,0.2,0.6,0.4,0.2,0.2,0.2,0.2
Fréquences(répliques),0.1826086956521739,0.08695652173913043,0.10683229813664596,0.03850931677018633,0.21801242236024845,0.26211180124223604,0.0012422360248447205,0.002484472049689441,0.024844720496894408,0.07639751552795031
Confrontation,0.08333333333333333,0.05555555555555555,0.08333333333333333,0.1111111111111111,0.19444444444444445,0.1388888888888889,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.05555555555555555
Déviations,#reine-d-angleterre,#conseiller,#choeur-des-etats,#davison,#suivantes-de-la-reine-d-ecosse-,#reine-d-ecosse,#suivantes-de-la-reine-d-ecosse,#page,#maitre-d-hotel,#messager
#reine-d-angleterre,1.7999999999999998,0.8999999999999999,1.7999999999999998,0.4000000000000001,1.2,0.8000000000000002,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001
#conseiller,0.8999999999999999,3.2000000000000006,0.8999999999999999,0.20000000000000004,0.6,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#reine-d-angleterre,1.7999999999999998,0.8999999999999999,1.7999999999999998,0.4000000000000001,1.2,0.8000000000000002,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001
#davison,0.4000000000000001,0.20000000000000004,0.4000000000000001,3.2000000000000006,0.2666666666666667,0.8999999999999999,3.2000000000000006,3.2000000000000006,0.20000000000000004,0.20000000000000004
#suivantes-de-la-reine-d-ecosse-,1.2000000000000002,0.6000000000000001,1.2000000000000002,0.2666666666666665,0.8000000000000003,0.533333333333333,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665
#reine-d-ecosse,0.8000000000000002,0.4000000000000001,0.8000000000000002,0.8999999999999999,0.5333333333333334,1.7999999999999998,0.8999999999999999,0.8999999999999999,0.4000000000000001,0.4000000000000001
#davison,0.4000000000000001,0.20000000000000004,0.4000000000000001,3.2000000000000006,0.2666666666666667,0.8999999999999999,3.2000000000000006,3.2000000000000006,0.20000000000000004,0.20000000000000004
#davison,0.4000000000000001,0.20000000000000004,0.4000000000000001,3.2000000000000006,0.2666666666666667,0.8999999999999999,3.2000000000000006,3.2000000000000006,0.20000000000000004,0.20000000000000004
#maitre-d-hotel,0.4000000000000001,0.20000000000000004,0.4000000000000001,0.20000000000000004,0.2666666666666667,0.4000000000000001,0.20000000000000004,0.20000000000000004,3.2000000000000006,3.2000000000000006
#maitre-d-hotel,0.4000000000000001,0.20000000000000004,0.4000000000000001,0.20000000000000004,0.2666666666666667,0.4000000000000001,0.20000000000000004,0.20000000000000004,3.2000000000000006,3.2000000000000006
Successions,#reine-d-angleterre,#conseiller,#choeur-des-etats,#davison,#suivantes-de-la-reine-d-ecosse-,#reine-d-ecosse,#suivantes-de-la-reine-d-ecosse,#page,#maitre-d-hotel,#messager
#reine-d-angleterre,0.0,0.8076923076923077,0.19230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#conseiller,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeur-des-etats,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#davison,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
#suivantes-de-la-reine-d-ecosse-,0.0,0.0,0.0,0.041666666666666664,0.0,0.7083333333333334,0.0,0.0,0.041666666666666664,0.20833333333333334
#reine-d-ecosse,0.0,0.0,0.0,0.05,0.8,0.0,0.1,0.05,0.0,0.0
#suivantes-de-la-reine-d-ecosse,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#suivantes-de-la-reine-d-ecosse,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#maitre-d-hotel,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#maitre-d-hotel,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
