VALEUR,#damon,#constance,#argant,#sophie,#florine,#durval,#clitandre,#damis,#durval #argant #damon,#henri,#le-masque,#durva5l
Fréquences (scènes),0.36,0.36,0.14,0.16,0.22,0.5,0.1,0.18,0.02,0.1,0.02,0.02
Fréquences(répliques),0.1609922178988327,0.16731517509727625,0.08365758754863813,0.0958171206225681,0.0651750972762646,0.2840466926070039,0.052042801556420236,0.05933852140077821,0.00048638132295719845,0.029182879377431907,0.0014591439688715954,0.00048638132295719845
Confrontation,0.1527777777777778,0.1527777777777778,0.10185185185185185,0.09259259259259259,0.08796296296296297,0.19907407407407407,0.06481481481481481,0.07407407407407407,0.027777777777777776,0.018518518518518517,0.013888888888888888,0.013888888888888888
Déviations,#damon,#constance,#argant,#sophie,#florine,#durval,#clitandre,#damis,#durval #argant #damon,#henri,#le-masque,#durva5l
#damon,20.48,0.3380246913580245,0.8692063492063484,0.005000000000000009,0.23272727272727273,1.0,0.02222222222222221,0.017777777777777743,1.1377777777777778,1.8,0.36,0.36
#constance,0.3380246913580245,20.48,0.8692063492063484,3.3800000000000003,1.050909090909091,0.4444444444444444,0.3555555555555556,1.5486419753086418,1.1377777777777778,1.8,1.1377777777777778,1.1377777777777778
#argant,0.8692063492063492,0.8692063492063492,36.97999999999998,3.1557142857142852,0.13740259740259722,0.07142857142857129,2.414285714285713,0.4346031746031746,5.282857142857142,0.7000000000000002,0.14,0.14
#sophie,0.005000000000000009,3.3800000000000003,3.1557142857142852,35.279999999999994,5.964545454545456,0.25,0.8000000000000002,1.44,0.16,0.8000000000000002,0.16,0.16
#florine,0.23272727272727273,1.050909090909091,0.13740259740259736,5.964545454545456,30.42,1.1363636363636365,1.1,1.98,0.22,1.1,0.22,0.22
#durval,1.0,0.4444444444444444,0.07142857142857129,0.25,1.1363636363636365,12.5,0.1,0.05555555555555555,0.5,0.9,0.5,0.5
#clitandre,0.022222222222222265,0.3555555555555554,2.4142857142857133,0.8000000000000002,1.1,0.1,40.5,18.677777777777777,8.1,0.5,0.10000000000000002,0.10000000000000002
#damis,0.017777777777777743,1.5486419753086418,0.4346031746031742,1.44,1.98,0.05555555555555555,18.677777777777777,33.62,3.7355555555555564,0.9,0.18,0.18
#durval #argant #damon,1.1377777777777778,1.1377777777777778,5.282857142857142,0.16,0.22,0.5,8.1,3.7355555555555564,48.019999999999996,0.10000000000000002,0.02,0.02
#henri,1.7999999999999998,1.7999999999999998,0.7000000000000001,0.8000000000000002,1.1,0.9,0.5,0.8999999999999999,0.10000000000000002,40.5,0.10000000000000002,0.10000000000000002
#le-masque,0.36,1.1377777777777778,0.14,0.16,0.22,0.5,0.10000000000000002,0.18,0.02,0.10000000000000002,48.019999999999996,48.019999999999996
#le-masque,0.36,1.1377777777777778,0.14,0.16,0.22,0.5,0.10000000000000002,0.18,0.02,0.10000000000000002,48.019999999999996,48.019999999999996
Successions,#damon,#constance,#argant,#sophie,#florine,#durval,#clitandre,#damis,#durval #argant #damon,#henri,#le-masque,#durva5l
#damon,0.00819672131147541,0.08196721311475409,0.02459016393442623,0.2786885245901639,0.00819672131147541,0.5491803278688525,0.00819672131147541,0.040983606557377046,0.0,0.0,0.0,0.0
#constance,0.11607142857142858,0.026785714285714284,0.13392857142857142,0.14285714285714285,0.20535714285714285,0.30357142857142855,0.017857142857142856,0.008928571428571428,0.0,0.008928571428571428,0.026785714285714284,0.008928571428571428
#argant,0.05084745762711865,0.288135593220339,0.01694915254237288,0.2033898305084746,0.0,0.13559322033898305,0.1864406779661017,0.11864406779661017,0.0,0.0,0.0,0.0
#sophie,0.425,0.2,0.15,0.0,0.1375,0.0875,0.0,0.0,0.0,0.0,0.0,0.0
#florine,0.045454545454545456,0.5,0.045454545454545456,0.20454545454545456,0.06818181818181818,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0
#durval,0.36,0.21714285714285714,0.05142857142857143,0.05142857142857143,0.02857142857142857,0.045714285714285714,0.045714285714285714,0.09714285714285714,0.0,0.10285714285714286,0.0,0.0
#clitandre,0.03278688524590164,0.03278688524590164,0.16393442622950818,0.0,0.0,0.16393442622950818,0.0,0.5901639344262295,0.01639344262295082,0.0,0.0,0.0
#damis,0.07462686567164178,0.0,0.08955223880597014,0.0,0.014925373134328358,0.23880597014925373,0.5671641791044776,0.014925373134328358,0.0,0.0,0.0,0.0
#durval #argant #damon,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#henri,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-masque,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-masque,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
