VALEUR,#atalante,#isidore,#philemon,#polydas,#flaminie,#sicandre,#mainalte,#tharzinte,#calliante
Fréquences (scènes),0.2857142857142857,0.07142857142857142,0.10714285714285714,0.5357142857142857,0.35714285714285715,0.35714285714285715,0.39285714285714285,0.21428571428571427,0.07142857142857142
Fréquences(répliques),0.12372982665869695,0.041243275552898986,0.05319784817692767,0.28451882845188287,0.13568439928272563,0.13568439928272563,0.12552301255230125,0.0657501494321578,0.034668260609683206
Confrontation,0.1417910447761194,0.022388059701492536,0.029850746268656716,0.16417910447761194,0.17164179104477612,0.1865671641791045,0.14925373134328357,0.11194029850746269,0.022388059701492536
Déviations,#atalante,#isidore,#philemon,#polydas,#flaminie,#sicandre,#mainalte,#tharzinte,#calliante
#atalante,14.285714285714286,3.5714285714285716,1.5238095238095237,0.019047619047619032,0.007142857142857136,0.4571428571428571,0.41558441558441556,0.04761904761904765,0.5714285714285714
#isidore,3.5714285714285716,24.142857142857146,2.880952380952381,1.0714285714285714,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.42857142857142855,0.14285714285714285
#philemon,1.5238095238095237,2.880952380952381,22.321428571428577,1.6071428571428572,1.0714285714285714,1.0714285714285714,0.027056277056277066,0.6428571428571428,0.21428571428571427
#polydas,0.019047619047619032,1.0714285714285714,1.607142857142857,6.035714285714288,1.303809523809523,0.07714285714285701,1.42012987012987,1.5253968253968253,1.0714285714285714
#flaminie,0.007142857142857182,0.7142857142857142,1.0714285714285714,1.3038095238095242,11.571428571428571,1.651428571428571,0.0012987012987013056,0.009523809523809516,0.7142857142857142
#sicandre,0.45714285714285746,0.7142857142857142,1.0714285714285714,0.07714285714285725,1.651428571428571,11.571428571428571,0.2922077922077923,1.6095238095238096,0.7142857142857142
#mainalte,0.41558441558441556,0.7857142857142857,0.027056277056277066,1.42012987012987,0.0012987012987012894,0.292207792207792,10.321428571428573,1.1450216450216448,0.058441558441558454
#tharzinte,0.04761904761904765,0.42857142857142855,0.6428571428571428,1.5253968253968255,0.009523809523809516,1.6095238095238096,1.1450216450216448,17.28571428571429,5.761904761904762
#calliante,0.5714285714285714,0.14285714285714285,0.21428571428571427,1.0714285714285714,0.7142857142857143,0.7142857142857143,0.058441558441558454,5.761904761904762,24.142857142857146
Successions,#atalante,#isidore,#philemon,#polydas,#flaminie,#sicandre,#mainalte,#tharzinte,#calliante
#atalante,0.0,0.11764705882352941,0.14705882352941177,0.38235294117647056,0.08823529411764706,0.11764705882352941,0.11764705882352941,0.029411764705882353,0.0
#isidore,0.7142857142857143,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
#philemon,0.3333333333333333,0.25,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0
#polydas,0.2318840579710145,0.0,0.0,0.014492753623188406,0.3188405797101449,0.2753623188405797,0.10144927536231885,0.043478260869565216,0.014492753623188406
#flaminie,0.08888888888888889,0.0,0.0,0.5333333333333333,0.0,0.2,0.15555555555555556,0.022222222222222223,0.0
#sicandre,0.0625,0.0,0.0,0.4166666666666667,0.3125,0.0,0.16666666666666666,0.041666666666666664,0.0
#mainalte,0.05,0.0,0.125,0.15,0.125,0.3,0.0,0.15,0.1
#tharzinte,0.045454545454545456,0.0,0.0,0.22727272727272727,0.0,0.13636363636363635,0.2727272727272727,0.0,0.3181818181818182
#calliante,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0
