VALEUR,#hippolite,#le-choeur,#la-pretresse,#choeur-de-chasseurs,#oenone,#phedre,#la-grande-pretresse,#choeur-general,#choeur-des-femmes,#choeur-de-pretresses,#un-coriphee,#le-peuple #les-grands,#un-coriphee #choeurs,#le-peuple,#phedre #hippolite,#choeur-de-guerriers,#choeurs-de-femmes,#thesee,#choeur-du-peuple,#hippolite-et-chasseurs,#un-chasseur
Fréquences (scènes),0.3333333333333333,0.23809523809523808,0.047619047619047616,0.19047619047619047,0.38095238095238093,0.5714285714285714,0.047619047619047616,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.2857142857142857,0.14285714285714285,0.047619047619047616,0.047619047619047616
Fréquences(répliques),0.1412037037037037,0.04513888888888889,0.004629629629629629,0.020833333333333332,0.12731481481481483,0.38078703703703703,0.013888888888888888,0.020833333333333332,0.006944444444444444,0.0011574074074074073,0.020833333333333332,0.0023148148148148147,0.004629629629629629,0.01273148148148148,0.0011574074074074073,0.004629629629629629,0.004629629629629629,0.15046296296296297,0.018518518518518517,0.0023148148148148147,0.015046296296296295
Confrontation,0.08256880733944955,0.0963302752293578,0.013761467889908258,0.05504587155963303,0.0963302752293578,0.11926605504587157,0.027522935779816515,0.0779816513761468,0.05504587155963303,0.027522935779816515,0.027522935779816515,0.027522935779816515,0.027522935779816515,0.045871559633027525,0.013761467889908258,0.027522935779816515,0.027522935779816515,0.0779816513761468,0.03669724770642202,0.013761467889908258,0.022935779816513763
Déviations,#hippolite,#le-choeur,#la-pretresse,#choeur-de-chasseurs,#oenone,#phedre,#la-grande-pretresse,#choeur-general,#choeur-des-femmes,#choeur-de-pretresses,#un-coriphee,#le-peuple #les-grands,#un-coriphee #choeurs,#le-peuple,#phedre #hippolite,#choeur-de-guerriers,#choeurs-de-femmes,#thesee,#choeur-du-peuple,#hippolite-et-chasseurs,#un-chasseur
#hippolite,9.333333333333336,0.06666666666666674,1.3333333333333337,2.083333333333334,1.0416666666666665,1.0,0.3333333333333333,0.0,0.1666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.3333333333333337,1.3333333333333337,1.3333333333333337,0.0,0.0,1.3333333333333337,0.3333333333333333
#le-choeur,0.06666666666666674,12.19047619047619,2.438095238095238,1.1523809523809525,0.004761904761904773,0.007142857142857182,2.438095238095238,2.314285714285715,0.5761904761904763,2.438095238095238,2.438095238095238,2.438095238095238,2.438095238095238,0.11428571428571437,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.12857142857142848,0.7142857142857142,0.23809523809523808,2.438095238095238
#la-pretresse,1.3333333333333337,2.438095238095238,19.047619047619047,3.4404761904761907,0.38095238095238093,0.5714285714285714,0.047619047619047616,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.2857142857142857,0.14285714285714285,0.047619047619047616,0.047619047619047616
#choeur-de-chasseurs,2.083333333333334,1.1523809523809525,3.4404761904761907,13.761904761904763,1.5238095238095237,0.7232142857142856,0.19047619047619047,0.3214285714285715,0.38095238095238093,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.5714285714285714,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.642857142857143,0.5714285714285714,3.4404761904761907,3.4404761904761907
#oenone,1.0416666666666665,0.004761904761904773,0.38095238095238093,1.5238095238095237,8.04761904761905,1.2901785714285716,1.0059523809523812,0.017857142857142842,0.07440476190476193,1.0059523809523812,1.0059523809523812,1.0059523809523812,1.0059523809523812,0.642857142857143,1.0059523809523812,0.38095238095238093,0.38095238095238093,0.7232142857142856,1.1428571428571428,0.38095238095238093,0.38095238095238093
#phedre,1.0,0.007142857142857182,0.5714285714285714,0.7232142857142856,1.2901785714285716,3.857142857142858,0.3214285714285715,0.04761904761904765,0.017857142857142842,0.3214285714285715,0.3214285714285715,0.3214285714285715,0.3214285714285715,0.04761904761904765,0.3214285714285715,0.5714285714285714,0.5714285714285714,1.7202380952380951,1.7142857142857142,0.5714285714285714,0.3214285714285715
