VALEUR,#alizon,#gilles,#maitre-adam,#leonard,#un-ramoneur,#maitre-simon,#maitre-maugier,#maitre-seraphin,#catherine,#mademoiselle-de-la-garandiere
Fréquences (scènes),0.5,0.5,0.625,1.0,0.125,0.375,0.25,0.375,0.25,0.25
Fréquences(répliques),0.0,0.0,0.0,0.8484848484848485,0.0,0.15151515151515152,0.0,0.0,0.0,0.0
Confrontation,0.13076923076923078,0.1,0.12307692307692308,0.2,0.015384615384615385,0.11538461538461539,0.06923076923076923,0.11538461538461539,0.06923076923076923,0.06153846153846154
Déviations,#alizon,#gilles,#maitre-adam,#leonard,#un-ramoneur,#maitre-simon,#maitre-maugier,#maitre-seraphin,#catherine,#mademoiselle-de-la-garandiere
#alizon,2.0,0.5,0.1,0.0,0.5,0.16666666666666666,0.0,0.16666666666666666,1.0,0.0
#gilles,0.5,2.0,0.9,0.0,0.5,0.16666666666666666,0.0,0.16666666666666666,0.0,1.0
#maitre-adam,0.1,0.9,1.125,0.0,0.625,0.008333333333333333,0.05,0.008333333333333333,0.05,0.45
#leonard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-ramoneur,0.5,0.5,0.625,0.0,6.125,0.375,0.25,0.375,0.25,0.25
#maitre-simon,0.16666666666666666,0.16666666666666666,0.008333333333333333,0.0,0.375,3.125,2.0833333333333335,3.125,0.08333333333333333,0.08333333333333333
#maitre-maugier,0.0,0.0,0.05,0.0,0.25,2.0833333333333335,4.5,2.0833333333333335,0.5,0.5
#maitre-simon,0.16666666666666666,0.16666666666666666,0.008333333333333333,0.0,0.375,3.125,2.0833333333333335,3.125,0.08333333333333333,0.08333333333333333
#catherine,1.0,0.0,0.05,0.0,0.25,0.08333333333333333,0.5,0.08333333333333333,4.5,0.5
#mademoiselle-de-la-garandiere,0.0,1.0,0.45,0.0,0.25,0.08333333333333333,0.5,0.08333333333333333,0.5,4.5
Successions,#alizon,#gilles,#maitre-adam,#leonard,#un-ramoneur,#maitre-simon,#maitre-maugier,#maitre-seraphin,#catherine,#mademoiselle-de-la-garandiere
#alizon,0.0,0.2,0.0,0.4,0.0,0.2,0.0,0.2,0.0,0.0
#gilles,0.1111111111111111,0.0,0.2222222222222222,0.5555555555555556,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
#maitre-adam,0.023255813953488372,0.046511627906976744,0.0,0.813953488372093,0.0,0.09302325581395349,0.0,0.023255813953488372,0.0,0.0
#leonard,0.01904761904761905,0.0380952380952381,0.37142857142857144,0.02857142857142857,0.0,0.20952380952380953,0.01904761904761905,0.0,0.29523809523809524,0.01904761904761905
#un-ramoneur,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#maitre-simon,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.5853658536585366,0.0,0.024390243902439025,0.12195121951219512,0.0975609756097561,0.0975609756097561,0.0
#maitre-maugier,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0
#maitre-seraphin,0.14285714285714285,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0
#catherine,0.0,0.02857142857142857,0.0,0.8,0.0,0.11428571428571428,0.0,0.02857142857142857,0.0,0.02857142857142857
#mademoiselle-de-la-garandiere,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
