VALEUR,#calander,#lyzidor,#pyrocle,#bazyle,#dametas,#pamele,#gynecie,#phyloclee,#zelmane,#amphyale,#lycas,#cecropie,#soldats,#le-prevot,#courrier
Fréquences (scènes),0.08108108108108109,0.2702702702702703,0.21621621621621623,0.2702702702702703,0.1891891891891892,0.32432432432432434,0.2702702702702703,0.43243243243243246,0.32432432432432434,0.16216216216216217,0.08108108108108109,0.10810810810810811,0.05405405405405406,0.02702702702702703,0.02702702702702703
Fréquences(répliques),0.0556792873051225,0.10189309576837416,0.08685968819599109,0.13418708240534521,0.060690423162583516,0.04510022271714922,0.04955456570155902,0.13028953229398663,0.13028953229398663,0.09910913140311804,0.030623608017817373,0.07071269487750557,0.0027839643652561247,0.0011135857461024498,0.0011135857461024498
Confrontation,0.04746835443037975,0.07278481012658228,0.06329113924050633,0.10443037974683544,0.08544303797468354,0.14556962025316456,0.11392405063291139,0.1518987341772152,0.0949367088607595,0.015822784810126583,0.04430379746835443,0.012658227848101266,0.015822784810126583,0.00949367088607595,0.022151898734177215
Déviations,#calander,#lyzidor,#pyrocle,#bazyle,#dametas,#pamele,#gynecie,#phyloclee,#zelmane,#amphyale,#lycas,#cecropie,#soldats,#le-prevot,#courrier
#calander,31.24324324324324,5.910810810810809,2.8153153153153148,1.7441441441441434,0.3294723294723295,1.084084084084084,1.7441441441441434,0.3806306306306305,0.972972972972973,0.4864864864864865,0.24324324324324326,0.32432432432432434,0.16216216216216217,0.08108108108108109,10.414414414414413
#lyzidor,5.910810810810809,19.702702702702705,0.3246621621621621,0.032702702702702716,0.4204633204633206,0.01824324324324327,0.18270270270270267,0.40557432432432444,0.4765765765765767,0.23828828828828835,0.8108108108108109,1.0810810810810811,0.39054054054054044,0.2702702702702703,1.9702702702702701
#pyrocle,2.8153153153153148,0.3246621621621621,22.72972972972973,1.5621621621621617,1.4599420849420846,0.1362612612612613,0.012162162162162178,0.06102195945945951,2.5945945945945947,1.2972972972972974,0.6486486486486487,0.8648648648648649,0.43243243243243246,0.21621621621621623,2.8412162162162162
#bazyle,1.7441441441441434,0.032702702702702716,1.5621621621621617,19.702702702702705,5.106177606177605,0.9515765765765762,4.022702702702703,0.024324324324324357,0.4765765765765767,1.6216216216216217,0.044144144144144117,1.0810810810810811,0.5405405405405406,0.2702702702702703,1.9702702702702701
#dametas,0.3294723294723295,0.4204633204633206,1.4599420849420846,5.106177606177605,24.324324324324323,3.2821750321750325,2.349034749034748,0.3127413127413126,0.032175032175032155,1.135135135135135,3.615186615186616,0.7567567567567567,0.37837837837837834,0.18918918918918917,0.18918918918918917
#pamele,1.084084084084084,0.01824324324324327,0.1362612612612613,0.9515765765765762,3.2821750321750325,16.891891891891895,2.3432432432432426,6.5068975225225225,1.1418918918918914,1.945945945945946,4.222972972972974,1.2972972972972974,0.19031531531531526,1.4076576576576574,1.4076576576576574
#gynecie,1.7441441441441434,0.18270270270270267,0.012162162162162178,4.022702702702703,2.349034749034748,2.3432432432432426,19.702702702702705,0.6493243243243242,0.9515765765765762,1.6216216216216217,1.7441441441441434,1.0810810810810811,0.5405405405405406,0.2702702702702703,1.9702702702702701
#phyloclee,0.3806306306306305,0.40557432432432444,0.06102195945945951,0.024324324324324357,0.3127413127413126,6.5068975225225225,0.6493243243243242,11.918918918918918,1.522522522522522,2.5945945945945947,2.234797297297297,0.30785472972972977,0.02111486486486485,0.7449324324324323,0.7449324324324323
#zelmane,0.972972972972973,0.4765765765765767,2.5945945945945947,0.4765765765765767,0.032175032175032155,1.1418918918918914,0.9515765765765762,1.522522522522522,16.891891891891895,1.945945945945946,4.222972972972974,1.2972972972972974,0.19031531531531526,1.4076576576576574,0.32432432432432434
#amphyale,0.4864864864864865,0.23828828828828835,1.2972972972972974,1.6216216216216217,1.135135135135135,1.945945945945946,1.6216216216216217,2.5945945945945947,1.945945945945946,25.972972972972972,0.4864864864864865,8.52364864864865,1.4076576576576574,0.16216216216216217,0.16216216216216217
#lycas,0.24324324324324326,0.8108108108108109,0.6486486486486487,0.044144144144144117,3.615186615186616,4.222972972972974,1.7441441441441434,2.234797297297297,4.222972972972974,0.4864864864864865,31.24324324324324,0.32432432432432434,0.16216216216216217,0.08108108108108109,0.08108108108108109
