VALEUR,#ortalque,#alinde,#arcade,#evandre,#phocas,#canope,#iris,#perside,#isaspe,#chrysane,#phenix,#leontin
Fréquences (scènes),0.4318181818181818,0.13636363636363635,0.18181818181818182,0.29545454545454547,0.09090909090909091,0.18181818181818182,0.13636363636363635,0.2727272727272727,0.29545454545454547,0.18181818181818182,0.11363636363636363,0.045454545454545456
Fréquences(répliques),0.2595226003047232,0.05840528186896902,0.042153377348908075,0.07719654647028949,0.006094464195022855,0.11782630777044185,0.06094464195022854,0.20924327069578466,0.08633824276282377,0.018791264601320468,0.025393600812595226,0.03809040121889284
Confrontation,0.13063063063063063,0.0945945945945946,0.1036036036036036,0.1036036036036036,0.03153153153153153,0.036036036036036036,0.05855855855855856,0.07207207207207207,0.13063063063063063,0.1036036036036036,0.08558558558558559,0.04954954954954955
Déviations,#ortalque,#alinde,#arcade,#evandre,#phocas,#canope,#iris,#perside,#isaspe,#chrysane,#phenix,#leontin
#ortalque,14.204545454545453,0.1347687400318979,0.059808612440191394,2.042786161207213,0.9377990430622009,3.4545454545454546,0.1347687400318979,1.9537480063795853,1.2168752300331251,0.6124401913875598,0.011722488038277523,0.021531100478468897
#alinde,0.1347687400318979,32.81818181818182,3.3409090909090917,0.33682983682983697,0.5454545454545454,0.007575757575757562,0.040404040404040435,1.6363636363636362,5.875291375291374,3.3409090909090917,7.881818181818184,10.939393939393941
#arcade,0.059808612440191394,3.3409090909090917,29.45454545454545,1.1328671328671327,0.7272727272727273,0.14204545454545456,3.3409090909090917,0.640151515151515,0.05594405594405598,0.14204545454545456,4.809090909090909,7.363636363636362
#evandre,2.0427861612072142,0.33682983682983664,1.1328671328671327,21.840909090909083,0.5664335664335663,2.3636363636363638,0.33682983682983664,3.545454545454545,2.10126412049489,0.7867132867132868,1.5695804195804195,0.2832167832167832
#phocas,0.9377990430622009,0.5454545454545454,0.7272727272727273,0.5664335664335663,36.36363636363636,0.7272727272727273,0.5454545454545454,0.007575757575757562,1.1818181818181819,0.10227272727272725,0.45454545454545453,0.18181818181818182
#canope,3.4545454545454546,0.007575757575757562,0.14204545454545456,2.3636363636363638,0.7272727272727273,29.45454545454545,0.7575757575757578,0.015151515151515124,0.05594405594405598,1.4545454545454546,0.9090909090909091,0.36363636363636365
#iris,0.1347687400318979,0.040404040404040435,3.3409090909090917,0.33682983682983697,0.5454545454545454,0.7575757575757578,32.81818181818182,0.2474747474747474,0.33682983682983697,0.007575757575757562,0.14848484848484855,0.2727272727272727
#perside,1.9537480063795853,1.6363636363636362,0.640151515151515,3.545454545454546,0.007575757575757562,0.015151515151515124,0.2474747474747474,23.27272727272727,0.05827505827505817,3.640151515151516,1.3636363636363635,0.5454545454545454
#isaspe,1.2168752300331245,5.875291375291377,0.05594405594405598,2.10126412049489,1.1818181818181819,0.05594405594405598,0.33682983682983664,0.05827505827505841,21.840909090909083,5.594405594405593,1.5695804195804195,3.3601398601398604
#chrysane,0.6124401913875598,3.3409090909090917,0.14204545454545456,0.7867132867132868,0.10227272727272725,1.4545454545454546,0.007575757575757562,3.640151515151516,5.594405594405593,29.45454545454545,1.3090909090909089,1.1136363636363635
#phenix,0.011722488038277523,7.881818181818184,4.809090909090908,1.5695804195804195,0.4545454545454546,0.9090909090909092,0.14848484848484855,1.3636363636363635,1.5695804195804195,1.3090909090909089,34.56818181818182,13.827272727272726
#leontin,0.021531100478468897,10.939393939393941,7.363636363636362,0.2832167832167832,0.18181818181818182,0.36363636363636365,0.2727272727272727,0.5454545454545454,3.3601398601398604,1.1136363636363635,13.827272727272728,40.09090909090909
Successions,#ortalque,#alinde,#arcade,#evandre,#phocas,#canope,#iris,#perside,#isaspe,#chrysane,#phenix,#leontin
#ortalque,0.06930693069306931,0.009900990099009901,0.0891089108910891,0.24752475247524752,0.04950495049504951,0.0,0.13861386138613863,0.15841584158415842,0.15841584158415842,0.0297029702970297,0.0297029702970297,0.019801980198019802
#alinde,0.13636363636363635,0.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.6363636363636364
#arcade,0.30434782608695654,0.043478260869565216,0.0,0.21739130434782608,0.0,0.0,0.17391304347826086,0.043478260869565216,0.0,0.0,0.17391304347826086,0.043478260869565216
#evandre,0.7027027027027027,0.02702702702702703,0.10810810810810811,0.05405405405405406,0.02702702702702703,0.0,0.02702702702702703,0.0,0.0,0.0,0.05405405405405406,0.0
#phocas,0.7142857142857143,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
#canope,0.02631578947368421,0.0,0.02631578947368421,0.02631578947368421,0.0,0.05263157894736842,0.34210526315789475,0.3684210526315789,0.15789473684210525,0.0,0.0,0.0
#iris,0.35,0.05,0.1,0.025,0.0,0.375,0.0,0.075,0.025,0.0,0.0,0.0
#perside,0.22727272727272727,0.0,0.0,0.0,0.0,0.21212121212121213,0.07575757575757576,0.045454545454545456,0.3484848484848485,0.09090909090909091,0.0,0.0
#isaspe,0.2982456140350877,0.03508771929824561,0.0,0.017543859649122806,0.0,0.10526315789473684,0.0,0.40350877192982454,0.03508771929824561,0.08771929824561403,0.0,0.017543859649122806
#chrysane,0.06666666666666667,0.13333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.3333333333333333,0.4,0.0,0.0,0.0
#phenix,0.3,0.1,0.3,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0
#leontin,0.16666666666666666,0.6666666666666666,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0
